sample,universe,target,horizon,outcome,metric,n,spearman
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,5,spread,FH_A_HEALTHY_BREADTH,291,0.018630937434308048
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,5,spread,FH_B_NET_BREADTH,291,0.015663436360646453
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,5,spread,FH_C_CONTINUOUS,291,0.05443513238437977
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,20,top,FH_A_HEALTHY_BREADTH,291,0.028909255419037907
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,20,top,FH_B_NET_BREADTH,291,-0.05306033804252046
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,20,top,FH_C_CONTINUOUS,291,-0.11226059050689316
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,20,spread,FH_A_HEALTHY_BREADTH,291,0.03580686061131404
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,20,spread,FH_B_NET_BREADTH,291,0.07135951834925182
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,20,spread,FH_C_CONTINUOUS,291,0.11174634402894584
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,5,top,FH_A_HEALTHY_BREADTH,291,0.05731559834344528
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,5,top,FH_B_NET_BREADTH,291,0.07007454408358739
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,5,top,FH_C_CONTINUOUS,291,0.045276090947606276
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,5,spread,FH_A_HEALTHY_BREADTH,291,0.08700206418852009
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,5,spread,FH_B_NET_BREADTH,291,0.07337674661619929
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,5,spread,FH_C_CONTINUOUS,291,0.058822297649367666
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,20,top,FH_A_HEALTHY_BREADTH,291,0.0755989080659176
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,20,top,FH_B_NET_BREADTH,291,-0.0028453632398966026
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,20,top,FH_C_CONTINUOUS,291,-0.018394538079075137
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,20,spread,FH_A_HEALTHY_BREADTH,291,0.1506822888307459
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,20,spread,FH_B_NET_BREADTH,291,0.13146789067652392
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,20,spread,FH_C_CONTINUOUS,291,0.10009593423878373
TRAIN_2017_2022,KOSPI_ALL,FLOW,5,top,FH_A_HEALTHY_BREADTH,291,0.044478714428251166
TRAIN_2017_2022,KOSPI_ALL,FLOW,5,top,FH_B_NET_BREADTH,291,0.04596312671843541
TRAIN_2017_2022,KOSPI_ALL,FLOW,5,top,FH_C_CONTINUOUS,291,0.03668194147524458
TRAIN_2017_2022,KOSPI_ALL,FLOW,5,spread,FH_A_HEALTHY_BREADTH,291,0.017452763335002758
TRAIN_2017_2022,KOSPI_ALL,FLOW,5,spread,FH_B_NET_BREADTH,291,0.06511583442544239
TRAIN_2017_2022,KOSPI_ALL,FLOW,5,spread,FH_C_CONTINUOUS,291,0.030929782954871955
