sample,spec,universe,lag_steps,approx_trading_days,from_state,to_state,n_from,count,probability
TRAIN,MAIN_F20_L5_20,K200,4,20,C_FLOW_LHIGH,C_FLOW_LHIGH,56,10,0.17857142857142858
TRAIN,MAIN_F20_L5_20,K200,4,20,C_FLOW_LHIGH,D_FLOW_LLOW,56,12,0.21428571428571427
TRAIN,MAIN_F20_L5_20,K200,4,20,D_FLOW_LLOW,A_FHIGH_LHIGH,59,22,0.3728813559322034
TRAIN,MAIN_F20_L5_20,K200,4,20,D_FLOW_LLOW,B_FHIGH_LLOW,59,20,0.3389830508474576
TRAIN,MAIN_F20_L5_20,K200,4,20,D_FLOW_LLOW,C_FLOW_LHIGH,59,8,0.13559322033898305
TRAIN,MAIN_F20_L5_20,K200,4,20,D_FLOW_LLOW,D_FLOW_LLOW,59,9,0.15254237288135594
OOS,MAIN_F20_L5_20,K200,1,5,A_FHIGH_LHIGH,A_FHIGH_LHIGH,65,39,0.6
OOS,MAIN_F20_L5_20,K200,1,5,A_FHIGH_LHIGH,B_FHIGH_LLOW,65,19,0.2923076923076923
OOS,MAIN_F20_L5_20,K200,1,5,A_FHIGH_LHIGH,C_FLOW_LHIGH,65,6,0.09230769230769231
OOS,MAIN_F20_L5_20,K200,1,5,A_FHIGH_LHIGH,D_FLOW_LLOW,65,1,0.015384615384615385
OOS,MAIN_F20_L5_20,K200,1,5,B_FHIGH_LLOW,A_FHIGH_LHIGH,65,18,0.27692307692307694
OOS,MAIN_F20_L5_20,K200,1,5,B_FHIGH_LLOW,B_FHIGH_LLOW,65,36,0.5538461538461539
OOS,MAIN_F20_L5_20,K200,1,5,B_FHIGH_LLOW,C_FLOW_LHIGH,65,3,0.046153846153846156
OOS,MAIN_F20_L5_20,K200,1,5,B_FHIGH_LLOW,D_FLOW_LLOW,65,8,0.12307692307692308
OOS,MAIN_F20_L5_20,K200,1,5,C_FLOW_LHIGH,A_FHIGH_LHIGH,20,5,0.25
OOS,MAIN_F20_L5_20,K200,1,5,C_FLOW_LHIGH,B_FHIGH_LLOW,20,5,0.25
OOS,MAIN_F20_L5_20,K200,1,5,C_FLOW_LHIGH,C_FLOW_LHIGH,20,6,0.3
OOS,MAIN_F20_L5_20,K200,1,5,C_FLOW_LHIGH,D_FLOW_LLOW,20,4,0.2
OOS,MAIN_F20_L5_20,K200,1,5,D_FLOW_LLOW,A_FHIGH_LHIGH,24,3,0.125
OOS,MAIN_F20_L5_20,K200,1,5,D_FLOW_LLOW,B_FHIGH_LLOW,24,5,0.20833333333333334
OOS,MAIN_F20_L5_20,K200,1,5,D_FLOW_LLOW,C_FLOW_LHIGH,24,5,0.20833333333333334
OOS,MAIN_F20_L5_20,K200,1,5,D_FLOW_LLOW,D_FLOW_LLOW,24,11,0.4583333333333333
OOS,MAIN_F20_L5_20,K200,4,20,A_FHIGH_LHIGH,A_FHIGH_LHIGH,65,25,0.38461538461538464
OOS,MAIN_F20_L5_20,K200,4,20,A_FHIGH_LHIGH,B_FHIGH_LLOW,65,25,0.38461538461538464
OOS,MAIN_F20_L5_20,K200,4,20,A_FHIGH_LHIGH,C_FLOW_LHIGH,65,7,0.1076923076923077
OOS,MAIN_F20_L5_20,K200,4,20,A_FHIGH_LHIGH,D_FLOW_LLOW,65,8,0.12307692307692308
OOS,MAIN_F20_L5_20,K200,4,20,B_FHIGH_LLOW,A_FHIGH_LHIGH,62,23,0.3709677419354839
OOS,MAIN_F20_L5_20,K200,4,20,B_FHIGH_LLOW,B_FHIGH_LLOW,62,22,0.3548387096774194
OOS,MAIN_F20_L5_20,K200,4,20,B_FHIGH_LLOW,C_FLOW_LHIGH,62,5,0.08064516129032258
OOS,MAIN_F20_L5_20,K200,4,20,B_FHIGH_LLOW,D_FLOW_LLOW,62,12,0.1935483870967742
OOS,MAIN_F20_L5_20,K200,4,20,C_FLOW_LHIGH,A_FHIGH_LHIGH,20,7,0.35
OOS,MAIN_F20_L5_20,K200,4,20,C_FLOW_LHIGH,B_FHIGH_LLOW,20,11,0.55
OOS,MAIN_F20_L5_20,K200,4,20,C_FLOW_LHIGH,C_FLOW_LHIGH,20,1,0.05
OOS,MAIN_F20_L5_20,K200,4,20,C_FLOW_LHIGH,D_FLOW_LLOW,20,1,0.05
OOS,MAIN_F20_L5_20,K200,4,20,D_FLOW_LLOW,A_FHIGH_LHIGH,24,10,0.4166666666666667
OOS,MAIN_F20_L5_20,K200,4,20,D_FLOW_LLOW,B_FHIGH_LLOW,24,7,0.2916666666666667
OOS,MAIN_F20_L5_20,K200,4,20,D_FLOW_LLOW,C_FLOW_LHIGH,24,5,0.20833333333333334
OOS,MAIN_F20_L5_20,K200,4,20,D_FLOW_LLOW,D_FLOW_LLOW,24,2,0.08333333333333333
TRAIN,MAIN_F20_L5_20,KOSDAQ,1,5,A_FHIGH_LHIGH,A_FHIGH_LHIGH,114,61,0.5350877192982456
TRAIN,MAIN_F20_L5_20,KOSDAQ,1,5,A_FHIGH_LHIGH,B_FHIGH_LLOW,114,35,0.30701754385964913
TRAIN,MAIN_F20_L5_20,KOSDAQ,1,5,A_FHIGH_LHIGH,C_FLOW_LHIGH,114,12,0.10526315789473684
TRAIN,MAIN_F20_L5_20,KOSDAQ,1,5,A_FHIGH_LHIGH,D_FLOW_LLOW,114,6,0.05263157894736842
TRAIN,MAIN_F20_L5_20,KOSDAQ,1,5,B_FHIGH_LLOW,A_FHIGH_LHIGH,130,35,0.2692307692307692
TRAIN,MAIN_F20_L5_20,KOSDAQ,1,5,B_FHIGH_LLOW,B_FHIGH_LLOW,130,75,0.5769230769230769
TRAIN,MAIN_F20_L5_20,KOSDAQ,1,5,B_FHIGH_LLOW,C_FLOW_LHIGH,130,7,0.05384615384615385
TRAIN,MAIN_F20_L5_20,KOSDAQ,1,5,B_FHIGH_LLOW,D_FLOW_LLOW,130,13,0.1
TRAIN,MAIN_F20_L5_20,KOSDAQ,1,5,C_FLOW_LHIGH,A_FHIGH_LHIGH,56,16,0.2857142857142857
TRAIN,MAIN_F20_L5_20,KOSDAQ,1,5,C_FLOW_LHIGH,B_FHIGH_LLOW,56,7,0.125
TRAIN,MAIN_F20_L5_20,KOSDAQ,1,5,C_FLOW_LHIGH,C_FLOW_LHIGH,56,26,0.4642857142857143
TRAIN,MAIN_F20_L5_20,KOSDAQ,1,5,C_FLOW_LHIGH,D_FLOW_LLOW,56,7,0.125
TRAIN,MAIN_F20_L5_20,KOSDAQ,1,5,D_FLOW_LLOW,A_FHIGH_LHIGH,40,3,0.075
TRAIN,MAIN_F20_L5_20,KOSDAQ,1,5,D_FLOW_LLOW,B_FHIGH_LLOW,40,12,0.3
TRAIN,MAIN_F20_L5_20,KOSDAQ,1,5,D_FLOW_LLOW,C_FLOW_LHIGH,40,11,0.275
TRAIN,MAIN_F20_L5_20,KOSDAQ,1,5,D_FLOW_LLOW,D_FLOW_LLOW,40,14,0.35
TRAIN,MAIN_F20_L5_20,KOSDAQ,4,20,A_FHIGH_LHIGH,A_FHIGH_LHIGH,114,31,0.2719298245614035
TRAIN,MAIN_F20_L5_20,KOSDAQ,4,20,A_FHIGH_LHIGH,B_FHIGH_LLOW,114,56,0.49122807017543857
TRAIN,MAIN_F20_L5_20,KOSDAQ,4,20,A_FHIGH_LHIGH,C_FLOW_LHIGH,114,13,0.11403508771929824
TRAIN,MAIN_F20_L5_20,KOSDAQ,4,20,A_FHIGH_LHIGH,D_FLOW_LLOW,114,14,0.12280701754385964
TRAIN,MAIN_F20_L5_20,KOSDAQ,4,20,B_FHIGH_LLOW,A_FHIGH_LHIGH,127,47,0.3700787401574803
TRAIN,MAIN_F20_L5_20,KOSDAQ,4,20,B_FHIGH_LLOW,B_FHIGH_LLOW,127,37,0.29133858267716534
TRAIN,MAIN_F20_L5_20,KOSDAQ,4,20,B_FHIGH_LLOW,C_FLOW_LHIGH,127,24,0.1889763779527559
TRAIN,MAIN_F20_L5_20,KOSDAQ,4,20,B_FHIGH_LLOW,D_FLOW_LLOW,127,19,0.14960629921259844
TRAIN,MAIN_F20_L5_20,KOSDAQ,4,20,C_FLOW_LHIGH,A_FHIGH_LHIGH,56,17,0.30357142857142855
TRAIN,MAIN_F20_L5_20,KOSDAQ,4,20,C_FLOW_LHIGH,B_FHIGH_LLOW,56,21,0.375
TRAIN,MAIN_F20_L5_20,KOSDAQ,4,20,C_FLOW_LHIGH,C_FLOW_LHIGH,56,11,0.19642857142857142
TRAIN,MAIN_F20_L5_20,KOSDAQ,4,20,C_FLOW_LHIGH,D_FLOW_LLOW,56,7,0.125
TRAIN,MAIN_F20_L5_20,KOSDAQ,4,20,D_FLOW_LLOW,A_FHIGH_LHIGH,40,19,0.475
TRAIN,MAIN_F20_L5_20,KOSDAQ,4,20,D_FLOW_LLOW,B_FHIGH_LLOW,40,13,0.325
TRAIN,MAIN_F20_L5_20,KOSDAQ,4,20,D_FLOW_LLOW,C_FLOW_LHIGH,40,8,0.2
TRAIN,MAIN_F20_L5_20,KOSDAQ,4,20,D_FLOW_LLOW,D_FLOW_LLOW,40,0,0.0
OOS,MAIN_F20_L5_20,KOSDAQ,1,5,A_FHIGH_LHIGH,A_FHIGH_LHIGH,52,28,0.5384615384615384
OOS,MAIN_F20_L5_20,KOSDAQ,1,5,A_FHIGH_LHIGH,B_FHIGH_LLOW,52,17,0.3269230769230769
OOS,MAIN_F20_L5_20,KOSDAQ,1,5,A_FHIGH_LHIGH,C_FLOW_LHIGH,52,7,0.1346153846153846
OOS,MAIN_F20_L5_20,KOSDAQ,1,5,A_FHIGH_LHIGH,D_FLOW_LLOW,52,0,0.0
OOS,MAIN_F20_L5_20,KOSDAQ,1,5,B_FHIGH_LLOW,A_FHIGH_LHIGH,76,13,0.17105263157894737
OOS,MAIN_F20_L5_20,KOSDAQ,1,5,B_FHIGH_LLOW,B_FHIGH_LLOW,76,44,0.5789473684210527
OOS,MAIN_F20_L5_20,KOSDAQ,1,5,B_FHIGH_LLOW,C_FLOW_LHIGH,76,6,0.07894736842105263
