sample,spec,split_rule,universe,forward_horizon,state,n,mean_fwd_return,median_fwd_return,positive_share,mean_trailing20_return,median_trailing20_return,mean_factor_breadth,mean_liquidity_breadth,factor_low_cut,factor_high_cut,liq_low_cut,liq_high_cut
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,20,A_FHIGH_LHIGH,77,0.005070085860135988,0.005455656972687792,0.6103896103896104,0.007503672894137606,0.01669901737628691,0.7159090909090909,0.4384494204932687,,0.625,,0.3563618290258449
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,20,B_FHIGH_LLOW,96,0.0016298823989714828,0.007103769261590894,0.5520833333333334,-0.019591980227422885,-0.021142232724944025,0.7408854166666666,0.28284844908931167,,0.625,,0.3563618290258449
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,20,C_FLOW_LHIGH,94,0.006804870049735479,0.011170713617998835,0.6063829787234043,0.026811676336760147,0.026705735525983612,0.3776595744680851,0.4411664136569444,,0.625,,0.3563618290258449
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,20,D_FLOW_LLOW,74,0.0015711594798054529,0.007051252610821882,0.527027027027027,7.117583842172572e-05,0.004104491893323762,0.40033783783783783,0.28338069939378585,,0.625,,0.3563618290258449
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,20,A_FHIGH_LHIGH,41,0.050570122063336886,0.04037659420538947,0.7073170731707317,0.07388917605448864,0.049228772761745435,0.7347560975609756,0.456102405910218,,0.625,,0.3563618290258449
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,20,B_FHIGH_LLOW,50,0.0005114752262144884,0.009069802452131636,0.6,0.004842191423851482,-0.008747197621055497,0.76,0.26752814974094297,,0.625,,0.3563618290258449
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,20,C_FLOW_LHIGH,30,0.0348657384858804,0.013240973173682273,0.6333333333333333,0.055479326985120585,0.047310025185231946,0.3875,0.4450390194781118,,0.625,,0.3563618290258449
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_KOSDAQ_ALL,20,D_FLOW_LLOW,50,0.02175237452955964,0.015006308136116624,0.62,0.006316953543789828,0.00799145458794501,0.4,0.29945199843457504,,0.625,,0.3563618290258449
TRAIN,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,1,A_FHIGH_LHIGH,53,0.0013613252668634448,0.001237618036855,0.5660377358490566,0.010393545875173089,0.020487895212705966,0.714622641509434,0.46475845647068975,0.5,0.625,0.3078235309555678,0.4059033477238219
TRAIN,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,1,B_FHIGH_LLOW,67,0.0008063964680875166,0.0001607942247692,0.5074626865671642,-0.02292121428848489,-0.02387468187625672,0.7406716417910447,0.2597008492910241,0.5,0.625,0.3078235309555678,0.4059033477238219
TRAIN,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,1,C_FLOW_LHIGH,61,0.0012922568584464759,0.0001715974185866,0.5573770491803278,0.034036707017240826,0.03565970277079433,0.3729508196721312,0.473646066221891,0.5,0.625,0.3078235309555678,0.4059033477238219
TRAIN,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,1,D_FLOW_LLOW,47,-0.0016332636067620768,0.0010376455391173,0.5106382978723404,-0.007579713141149377,-0.005150542667388253,0.4175531914893617,0.2554003352609734,0.5,0.625,0.3078235309555678,0.4059033477238219
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,1,A_FHIGH_LHIGH,28,0.0019309593172644828,0.00851649321709455,0.7142857142857143,0.08509734355141275,0.07998708909488207,0.7410714285714286,0.4982910779459798,0.5,0.625,0.3078235309555678,0.4059033477238219
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_KOSDAQ_ALL,1,B_FHIGH_LLOW,39,0.0006730413060641944,0.0035751321690519,0.6153846153846154,-0.010351395340504043,-0.019404809503368335,0.75,0.2416685883772122,0.5,0.625,0.3078235309555678,0.4059033477238219
