source,destination,period,n_factors,median_incremental_oos_r2,mean_incremental_oos_r2,positive_factor_count,median_source_coef,median_augmented_prediction_ic,median_local_diffusion_ic,reverse_median_incremental_oos_r2,directional_advantage_vs_reverse
KOSPI_KOSDAQ_ALL,K200,STRESS_2025,8,0.006740752850355303,0.0021731417500976263,6,0.06836914088211712,,0.041428571428571426,0.001008635658030943,0.00573211719232436
KOSPI_KOSDAQ_ALL,K200,STRESS_2026,8,-0.0017554667149006775,-0.0017541198376535005,3,0.06836914088211712,,0.05221674876847289,-0.0025709033194435404,0.0008154366045428629
KOSPI_KOSDAQ_ALL,K200,VAL_2020_2022,8,0.0018077455042947999,0.0016440452432180952,5,0.06836914088211712,,0.04953149698116142,-0.004118584612381571,0.0059263301166763704
KOSPI_KOSDAQ_ALL,KOSDAQ,CONF_2023_2024,8,-0.017477997641514476,-0.023462388749357535,2,0.04457735647154366,,-0.018619819061645275,-3.0349273987706482e-05,-0.01744764836752677
KOSPI_KOSDAQ_ALL,KOSDAQ,DISC_2016_2019,8,0.006427011421999529,0.009282609601950681,8,0.04457735647154366,0.12289695241460637,0.02464107306480176,0.0014860049835303535,0.004941006438469175
KOSPI_KOSDAQ_ALL,KOSDAQ,STRESS_2025,8,-0.0011161724141510176,-0.011344182720379306,4,0.04457735647154366,,-0.09994897959183674,0.0024592433635994837,-0.0035754157777505013
KOSPI_KOSDAQ_ALL,KOSDAQ,STRESS_2026,8,-0.017162954419497445,-0.027204503880498568,1,0.04457735647154366,,-0.010591133004926107,-0.0020964880072501524,-0.015066466412247292
KOSPI_KOSDAQ_ALL,KOSDAQ,VAL_2020_2022,8,-0.01389416372573149,-0.01521978097578297,2,0.04457735647154366,,-0.017800634492868436,-0.0019475878860674145,-0.011946575839664075
KOSPI_KOSDAQ_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,8,0.0011100094631626423,0.001301344905881227,5,-0.021482583653339934,,-0.044379865348201125,0.0030059688797542394,-0.0018959594165915972
KOSPI_KOSDAQ_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,8,0.0023831510763254737,0.0053929911833246885,8,-0.021482583653339934,0.09863296257185471,-0.033856672679385136,0.005566608080396329,-0.0031834570040708554
