factor,source,destination,period,n,source_local_to_destination_local_next5_ic
MOM12_1,K200,KOSPI_KOSDAQ_ALL,VAL_2020_2022,149,-0.08198802829675313
MOM12_1,K200,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,-0.06769408794445614
MOM12_1,K200,KOSPI_KOSDAQ_ALL,STRESS_2025,49,-0.09622448979591837
MOM12_1,K200,KOSPI_KOSDAQ_ALL,STRESS_2026,29,0.21477832512315267
MOM12_1,K200,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,-0.014889901509206034
MOM12_1,K200,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,149,0.07046979865771812
MOM12_1,K200,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,0.016081948243214808
MOM12_1,K200,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,0.03887755102040816
MOM12_1,K200,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,0.070935960591133
MOM12_1,KOSDAQ,K200,DISC_2016_2019,194,0.007359074342675646
MOM12_1,KOSDAQ,K200,VAL_2020_2022,149,-0.06545982223834573
MOM12_1,KOSDAQ,K200,CONF_2023_2024,97,0.024182095518619818
MOM12_1,KOSDAQ,K200,STRESS_2025,49,0.225
MOM12_1,KOSDAQ,K200,STRESS_2026,29,-0.001970443349753694
MOM12_1,KOSDAQ,KOSPI_EX_K200,DISC_2016_2019,194,-0.008514502430425725
MOM12_1,KOSDAQ,KOSPI_EX_K200,VAL_2020_2022,149,0.023333937964810446
MOM12_1,KOSDAQ,KOSPI_EX_K200,CONF_2023_2024,97,-0.008705028403113822
MOM12_1,KOSDAQ,KOSPI_EX_K200,STRESS_2025,49,-0.1296938775510204
MOM12_1,KOSDAQ,KOSPI_EX_K200,STRESS_2026,29,0.2344827586206896
MOM12_1,KOSDAQ,KOSPI_ALL,DISC_2016_2019,194,0.09505820284090676
MOM12_1,KOSDAQ,KOSPI_ALL,VAL_2020_2022,149,0.015516052965717396
MOM12_1,KOSDAQ,KOSPI_ALL,CONF_2023_2024,97,-0.04331474857984431
MOM12_1,KOSDAQ,KOSPI_ALL,STRESS_2025,49,0.17244897959183672
MOM12_1,KOSDAQ,KOSPI_ALL,STRESS_2026,29,0.04039408866995073
MOM12_1,KOSDAQ,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,0.03845537508269199
MOM12_1,KOSDAQ,KOSPI_KOSDAQ_ALL,VAL_2020_2022,149,0.02733538908035553
MOM12_1,KOSDAQ,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,-0.07543919629707552
MOM12_1,KOSDAQ,KOSPI_KOSDAQ_ALL,STRESS_2025,49,0.03418367346938775
MOM12_1,KOSDAQ,KOSPI_KOSDAQ_ALL,STRESS_2026,29,-0.18472906403940884
MOM12_1,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,0.008210442407333597
MOM12_1,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,149,0.007712679122075095
MOM12_1,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,-0.04769356196086682
MOM12_1,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,-0.16122448979591836
MOM12_1,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,-0.021674876847290636
MOM12_1,KOSPI_EX_K200,K200,DISC_2016_2019,194,-0.05969026966836912
MOM12_1,KOSPI_EX_K200,K200,VAL_2020_2022,149,0.012062397968438238
MOM12_1,KOSPI_EX_K200,K200,CONF_2023_2024,97,0.01683147485798443
MOM12_1,KOSPI_EX_K200,K200,STRESS_2025,49,-0.04591836734693877
MOM12_1,KOSPI_EX_K200,K200,STRESS_2026,29,-0.234975369458128
MOM12_1,KOSPI_EX_K200,KOSDAQ,DISC_2016_2019,194,0.17991724636668815
MOM12_1,KOSPI_EX_K200,KOSDAQ,VAL_2020_2022,149,-0.0075494286232541275
MOM12_1,KOSPI_EX_K200,KOSDAQ,CONF_2023_2024,97,0.017896591626341257
MOM12_1,KOSPI_EX_K200,KOSDAQ,STRESS_2025,49,0.10663265306122448
MOM12_1,KOSPI_EX_K200,KOSDAQ,STRESS_2026,29,0.24975369458128074
MOM12_1,KOSPI_EX_K200,KOSPI_ALL,DISC_2016_2019,194,-0.14043546326009868
MOM12_1,KOSPI_EX_K200,KOSPI_ALL,VAL_2020_2022,149,-0.04551786686014874
MOM12_1,KOSPI_EX_K200,KOSPI_ALL,CONF_2023_2024,97,0.033176414895855245
MOM12_1,KOSPI_EX_K200,KOSPI_ALL,STRESS_2025,49,-0.12999999999999998
MOM12_1,KOSPI_EX_K200,KOSPI_ALL,STRESS_2026,29,-0.13842364532019702
MOM12_1,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,0.04029452733047626
MOM12_1,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,VAL_2020_2022,149,0.02251405768184292
MOM12_1,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,0.07478171681043551
MOM12_1,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,STRESS_2025,49,0.08132653061224489
MOM12_1,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,STRESS_2026,29,0.1088669950738916
MOM12_1,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,0.0791813389324206
MOM12_1,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,149,0.058316705967712684
MOM12_1,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,0.020934146854618134
MOM12_1,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,0.13173469387755102
MOM12_1,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,0.141871921182266
MOM12_1,KOSPI_ALL,K200,DISC_2016_2019,194,-0.06268649357159585
MOM12_1,KOSPI_ALL,K200,VAL_2020_2022,149,0.014525666606203521
MOM12_1,KOSPI_ALL,K200,CONF_2023_2024,97,-0.03637176520092573
MOM12_1,KOSPI_ALL,K200,STRESS_2025,49,-0.30479591836734693
MOM12_1,KOSPI_ALL,K200,STRESS_2026,29,-0.10689655172413792
MOM12_1,KOSPI_ALL,KOSDAQ,DISC_2016_2019,194,0.0878807427282402
MOM12_1,KOSPI_ALL,KOSDAQ,VAL_2020_2022,149,0.01707237438781063
MOM12_1,KOSPI_ALL,KOSDAQ,CONF_2023_2024,97,-0.06127708815484956
MOM12_1,KOSPI_ALL,KOSDAQ,STRESS_2025,49,0.22540816326530608
MOM12_1,KOSPI_ALL,KOSDAQ,STRESS_2026,29,0.1448275862068965
MOM12_1,KOSPI_ALL,KOSPI_EX_K200,DISC_2016_2019,194,0.022555501226512387
MOM12_1,KOSPI_ALL,KOSPI_EX_K200,VAL_2020_2022,149,-0.020896063849083983
