factor,source,destination,period,n,source_coef_discovery,baseline_mse,augmented_mse,incremental_oos_r2,baseline_prediction_ic,augmented_prediction_ic
MOM1M,KOSPI_ALL,K200,VAL_2020_2022,149,-0.04627701500490389,2.2434501152329,2.2477268610919987,-0.0019063253646960376,,
MOM1M,KOSPI_ALL,K200,CONF_2023_2024,97,-0.04627701500490389,2.2348438801492416,2.240713821991508,-0.0026265556598408235,,
MOM1M,KOSPI_ALL,K200,STRESS_2025,49,-0.04627701500490389,2.3517567664335597,2.3406678182217546,0.004715176488519934,,
MOM1M,KOSPI_ALL,K200,STRESS_2026,29,-0.04627701500490389,6.2566160404097415,6.161564956737498,0.015192091548903552,,
MOM1M,KOSPI_ALL,KOSDAQ,DISC_2016_2019,194,-0.21400723262821275,0.9989275678289092,0.9624054145282892,0.03656136288239409,,
MOM1M,KOSPI_ALL,KOSDAQ,VAL_2020_2022,149,-0.21400723262821275,1.0984187115416841,1.1851980379865306,-0.07900386758984412,,
MOM1M,KOSPI_ALL,KOSDAQ,CONF_2023_2024,97,-0.21400723262821275,1.0810520539857447,1.1525810854710843,-0.0661661306887289,,
MOM1M,KOSPI_ALL,KOSDAQ,STRESS_2025,49,-0.21400723262821275,1.204286325502134,1.1288457453683798,0.06264339180493383,,
MOM1M,KOSPI_ALL,KOSDAQ,STRESS_2026,29,-0.21400723262821275,2.10639257442609,2.3277549311125685,-0.10509074109644123,,
MOM1M,KOSPI_ALL,KOSPI_EX_K200,DISC_2016_2019,194,-0.22182712019285464,0.9881099769634303,0.9769211597729464,0.011323453311207654,,
MOM1M,KOSPI_ALL,KOSPI_EX_K200,VAL_2020_2022,149,-0.22182712019285464,1.8744851452714368,1.920244703642671,-0.024411801014623702,,
MOM1M,KOSPI_ALL,KOSPI_EX_K200,CONF_2023_2024,97,-0.22182712019285464,1.6905027152395673,1.653088593274831,0.022131950234362208,,
MOM1M,KOSPI_ALL,KOSPI_EX_K200,STRESS_2025,49,-0.22182712019285464,0.9521136300379235,0.8837069606645055,0.07184716951346792,,
MOM1M,KOSPI_ALL,KOSPI_EX_K200,STRESS_2026,29,-0.22182712019285464,2.281963203138829,2.3871403800623137,-0.04609065421336056,,
MOM1M,KOSPI_ALL,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,-0.31751883696771166,0.9846957413336764,0.9562773321526967,0.028860091486218598,,
MOM1M,KOSPI_ALL,KOSPI_KOSDAQ_ALL,VAL_2020_2022,149,-0.31751883696771166,1.831228546716194,1.8697138550833348,-0.021016114256275475,,
MOM1M,KOSPI_ALL,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,-0.31751883696771166,1.7164743505031526,1.7105907187872906,0.003427742287053226,,
MOM1M,KOSPI_ALL,KOSPI_KOSDAQ_ALL,STRESS_2025,49,-0.31751883696771166,1.6570160466119055,1.579691958721329,0.04666465846765988,,
MOM1M,KOSPI_ALL,KOSPI_KOSDAQ_ALL,STRESS_2026,29,-0.31751883696771166,3.004270381341512,3.223261582124969,-0.07289330618959466,,
MOM1M,KOSPI_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,-0.2795159327712042,0.9950872156767736,0.9570786830929624,0.03819618218887577,,
MOM1M,KOSPI_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,149,-0.2795159327712042,1.456213377777563,1.570929340261253,-0.07877689096550311,,
MOM1M,KOSPI_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,-0.2795159327712042,1.4327197931889526,1.4468692335048934,-0.009875929950298845,,
