date,factor,period,common,z_K200,local_K200,z_KOSDAQ,local_KOSDAQ,z_KOSPI_EX_K200,local_KOSPI_EX_K200,z_KOSPI_ALL,local_KOSPI_ALL,z_KOSPI_KOSDAQ_ALL,local_KOSPI_KOSDAQ_ALL,z_KOSDAQ_PLUS_KOSPI_EX_K200,local_KOSDAQ_PLUS_KOSPI_EX_K200
2020-09-29,MOM1M,VAL_2020_2022,-0.6955424078408834,0.14165487711119595,0.8371972849520793,-0.46403371030595625,0.23150869753492714,-1.3850555626962944,-0.689513154855411,-0.7219040502240617,-0.026361642383178285,-0.7933984048340524,-0.09785599699316905,-0.9505175960961313,-0.2549751882552479
2020-10-12,MOM1M,VAL_2020_2022,0.8345168453767751,0.7253855479287903,-0.10913129744798478,0.041118837055767236,-0.7933980083210078,1.7400272973899091,0.9055104520131341,1.3169872508783742,0.48247040550159914,0.4694922308631566,-0.36502461451361845,0.7140899081446536,-0.1204269372321215
2020-10-19,MOM1M,VAL_2020_2022,1.5381637713026544,1.143649993838917,-0.3945137774637373,0.8259876284080823,-0.7121761428945721,2.1667258605558546,0.6285620892532002,1.9071329749117245,0.36896920360907015,1.6735578998913958,0.13539412858874145,1.511928270209951,-0.02623550109270334
2020-10-26,MOM1M,VAL_2020_2022,1.7823887429743104,1.3477806502207372,-0.43460809275357315,0.48419039784534296,-1.2981983451289674,2.4691619795018718,0.6867732365275614,2.312191695732857,0.5298029527585466,2.239898675183742,0.4575099322094316,1.841109059361312,0.05872031638700159
2020-11-02,MOM1M,VAL_2020_2022,-1.493669740701997,-0.6860390790341093,0.8076306616678877,-1.791461299864063,-0.2977915591620661,-0.6627708357686463,0.8308989049333507,-0.9316498118858377,0.5620199288161593,-2.8278397397286112,-1.3341699990266143,-2.0622576779307136,-0.5685879372287166
2020-11-09,MOM1M,VAL_2020_2022,-0.009618047992589815,-0.043940645931780806,-0.03432259793919099,-0.587379270630164,-0.5777612226375742,0.9270389287242902,0.93665697671688,0.4558383761526302,0.46545642414522,-0.3024833415666978,-0.292865293574108,-0.5067823347038166,-0.4971642867112268
2020-11-16,MOM1M,VAL_2020_2022,1.1226111433634545,0.17373670316371984,-0.9488744401997347,0.7161485495279379,-0.40646259383551653,1.8510788474956645,0.7284677041322101,1.20782242927145,0.08521128590799543,1.38624146480429,0.26363032144083554,1.4006388659176647,0.27802772255421027
2020-11-23,MOM1M,VAL_2020_2022,-0.1266419862327324,0.48079599662684497,0.6074379828595774,0.3604498192292194,0.48709180546195185,-0.9279495528443776,-0.8013075666116453,-0.5218681837282599,-0.39522619749552756,-0.1737376311188759,-0.04709564488614351,0.022457634439054706,0.14909962067178711
2020-11-30,MOM1M,VAL_2020_2022,-0.1335930815091913,0.07914898187299574,0.21274206338218704,0.43603796487251145,0.5696310463817027,-0.8356520025779238,-0.7020589210687325,-0.6264030947150727,-0.4928100132058814,0.05432016942025293,0.18791325092944422,0.09098949207208851,0.2245825735812798
2020-12-07,MOM1M,VAL_2020_2022,0.9492324092736388,0.47188513456042747,-0.47734727471321137,1.439887663584982,0.49065525431134316,0.20946088004157362,-0.7397715292320652,0.8723182693035826,-0.07691413997005625,1.33237110902171,0.38313869974807124,1.369471399129558,0.4202389898559191
