period,factor,shift,shifted_unique_kq_r2,observed_unique_kq_r2
VAL_2020_2022,MOM1M,147,0.002218661151911161,0.005591189348708614
VAL_2020_2022,MOM1M,148,0.034104206182431485,0.005591189348708614
VAL_2020_2022,MOM12_1,1,0.008573873316025105,0.0009477767472608756
VAL_2020_2022,MOM12_1,2,-0.013017136144250374,0.0009477767472608756
VAL_2020_2022,MOM12_1,3,0.0268478783691688,0.0009477767472608756
VAL_2020_2022,MOM12_1,4,-0.013619955060652167,0.0009477767472608756
VAL_2020_2022,MOM12_1,5,-0.0038303144616569362,0.0009477767472608756
VAL_2020_2022,MOM12_1,6,-0.010287805146687479,0.0009477767472608756
VAL_2020_2022,MOM12_1,7,0.0033775783711498253,0.0009477767472608756
VAL_2020_2022,MOM12_1,8,0.01665196565282534,0.0009477767472608756
VAL_2020_2022,MOM12_1,9,-0.02922236525756472,0.0009477767472608756
VAL_2020_2022,MOM12_1,10,-0.003952834770967195,0.0009477767472608756
VAL_2020_2022,MOM12_1,11,-0.007710277541460586,0.0009477767472608756
VAL_2020_2022,MOM12_1,12,0.003757491393206025,0.0009477767472608756
VAL_2020_2022,MOM12_1,13,-0.026710381175211628,0.0009477767472608756
VAL_2020_2022,MOM12_1,14,0.006268395345902955,0.0009477767472608756
VAL_2020_2022,MOM12_1,15,-0.004249520031061049,0.0009477767472608756
VAL_2020_2022,MOM12_1,16,0.0023629676359849805,0.0009477767472608756
VAL_2020_2022,MOM12_1,17,-0.00018892127394010139,0.0009477767472608756
VAL_2020_2022,MOM12_1,18,0.007633967080499238,0.0009477767472608756
VAL_2020_2022,MOM12_1,19,0.006603415904886445,0.0009477767472608756
VAL_2020_2022,MOM12_1,20,-0.011443363339135537,0.0009477767472608756
VAL_2020_2022,MOM12_1,21,0.010607355657332507,0.0009477767472608756
VAL_2020_2022,MOM12_1,22,0.005137687050034367,0.0009477767472608756
VAL_2020_2022,MOM12_1,23,0.016767984747010356,0.0009477767472608756
VAL_2020_2022,MOM12_1,24,-0.018145237701223893,0.0009477767472608756
VAL_2020_2022,MOM12_1,25,-0.0005202818836154144,0.0009477767472608756
VAL_2020_2022,MOM12_1,26,0.00557693004123383,0.0009477767472608756
VAL_2020_2022,MOM12_1,27,0.0005022980689320944,0.0009477767472608756
VAL_2020_2022,MOM12_1,28,-0.014293886951544321,0.0009477767472608756
VAL_2020_2022,MOM12_1,29,-0.01928403285853153,0.0009477767472608756
VAL_2020_2022,MOM12_1,30,0.021039263054698942,0.0009477767472608756
VAL_2020_2022,MOM12_1,31,-0.005073297060503634,0.0009477767472608756
VAL_2020_2022,MOM12_1,32,-0.009538652810615611,0.0009477767472608756
VAL_2020_2022,MOM12_1,33,-0.012178589460813738,0.0009477767472608756
VAL_2020_2022,MOM12_1,34,0.00532436217101262,0.0009477767472608756
VAL_2020_2022,MOM12_1,35,-0.017623933064766284,0.0009477767472608756
VAL_2020_2022,MOM12_1,36,0.005653316712933343,0.0009477767472608756
VAL_2020_2022,MOM12_1,37,-0.0044563513222524165,0.0009477767472608756
VAL_2020_2022,MOM12_1,38,0.012730064312925227,0.0009477767472608756
VAL_2020_2022,MOM12_1,39,-0.01587497003959748,0.0009477767472608756
VAL_2020_2022,MOM12_1,40,-0.0015432086905409204,0.0009477767472608756
VAL_2020_2022,MOM12_1,41,-0.00010746189739085921,0.0009477767472608756
VAL_2020_2022,MOM12_1,42,-0.002800933117600879,0.0009477767472608756
VAL_2020_2022,MOM12_1,43,0.0072063687850574265,0.0009477767472608756
VAL_2020_2022,MOM12_1,44,-0.008356053169952471,0.0009477767472608756
VAL_2020_2022,MOM12_1,45,0.025306564341433857,0.0009477767472608756
VAL_2020_2022,MOM12_1,46,-0.004304418936712073,0.0009477767472608756
VAL_2020_2022,MOM12_1,47,0.009165758743867936,0.0009477767472608756
