metric,strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
ACT1,LOW10,KOSPI_EX_K200,20,LATE_2020_2022,38,0.00032473839153257305,0.008388157894736842,0.00032473839153257305,0.00029957391784836255,0.000274409444164152
ACT1,LOW10,KOSPI_EX_K200,20,NORMAL_2023_2024,24,0.0017386001237418502,0.01041666666666667,0.0017386001237418502,0.0017073501237418502,0.0016761001237418501
ACT1,LOW10,KOSPI_EX_K200,20,YTD_2026,6,0.005148997473534132,0.01041666666666667,0.005148997473534132,0.005117747473534133,0.0050864974735341335
ACT1,LOW10,KOSPI_KOSDAQ_ALL,5,BULL_2025,49,0.000191367798404782,0.005867346938775513,0.000191367798404782,0.00017376575758845552,0.000156163716772129
ACT1,LOW10,KOSPI_KOSDAQ_ALL,5,EARLY_2016_2019,193,0.00039542089536190577,0.012694300518134716,0.00039542089536190577,0.0003573379938075016,0.00031925509225309753
ACT1,LOW10,KOSPI_KOSDAQ_ALL,5,LATE_2020_2022,149,-0.0001529721972122102,0.010989932885906042,-0.0001529721972122102,-0.00018594199586992842,-0.00021891179452764652
ACT1,LOW10,KOSPI_KOSDAQ_ALL,5,NORMAL_2023_2024,97,0.0005161011298703588,0.008956185567010309,0.0005161011298703588,0.0004892325731693278,0.00046236401646829693
ACT1,LOW10,KOSPI_KOSDAQ_ALL,5,YTD_2026,28,-0.0003263295398326724,0.013839285714285712,-0.0003263295398326724,-0.0003678473969755297,-0.0004093652541183865
ACT1,LOW10,KOSPI_KOSDAQ_ALL,20,BULL_2025,12,-0.0004751404025702874,0.0020833333333333307,-0.0004751404025702874,-0.00048139040257028743,-0.0004876404025702875
ACT1,LOW10,KOSPI_KOSDAQ_ALL,20,EARLY_2016_2019,48,0.0013815317749313889,0.011197916666666667,0.0013815317749313889,0.0013479380249313887,0.001314344274931389
ACT1,LOW10,KOSPI_KOSDAQ_ALL,20,LATE_2020_2022,38,0.0012758446395564162,0.00345394736842105,0.0012758446395564162,0.001265482797451153,0.0012551209553458896
ACT1,LOW10,KOSPI_KOSDAQ_ALL,20,NORMAL_2023_2024,24,0.0017275324496053585,0.002083333333333334,0.0017275324496053585,0.0017212824496053583,0.0017150324496053582
ACT1,LOW10,KOSPI_KOSDAQ_ALL,20,YTD_2026,6,0.00222302061929208,0.002083333333333333,0.00222302061929208,0.0022167706192920793,0.0022105206192920795
ACT1,LOW20,K200,5,BULL_2025,49,0.0002729422356393025,0.1232142857142857,0.0002729422356393025,-9.670062150355463e-05,-0.00046634347864641165
ACT1,LOW20,K200,5,EARLY_2016_2019,193,0.00021708892965650233,0.13124999999999998,0.00021708892965650233,-0.0001766610703434976,-0.0005704110703434976
ACT1,LOW20,K200,5,LATE_2020_2022,149,0.0004550571783773861,0.11623322147651005,0.0004550571783773861,0.00010635751394785605,-0.00024234215048167412
ACT1,LOW20,K200,5,NORMAL_2023_2024,97,-8.719635189686895e-05,0.1184278350515464,-8.719635189686895e-05,-0.0004424798570515081,-0.0007977633622061473
ACT1,LOW20,K200,5,YTD_2026,28,0.0006265807788367924,0.10558035714285714,0.0006265807788367924,0.00030983970740822094,-6.901364020350435e-06
