metric,strategy,universe,horizon,sample,family,n_dates,gross_delta
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,EARLY_2016_2019,VALUE,48,0.0006439586807388378
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,LATE_2020_2022,FLOW,38,0.0006418532592044484
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,LATE_2020_2022,MOMENTUM,38,0.00022163940781345045
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,LATE_2020_2022,REVISION,38,0.0009509552938464422
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,LATE_2020_2022,VALUE,38,0.0006150843399031243
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,NORMAL_2023_2024,FLOW,24,0.000879977994438262
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,NORMAL_2023_2024,MOMENTUM,24,0.0019896576816557394
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,NORMAL_2023_2024,REVISION,24,0.0009418130073438658
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,NORMAL_2023_2024,VALUE,24,0.0015365356035490104
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,YTD_2026,FLOW,6,-0.005479296019396131
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,YTD_2026,MOMENTUM,6,0.00587676891806813
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,YTD_2026,REVISION,6,-0.0041260567032967805
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,YTD_2026,VALUE,6,0.000492408631807798
ACT1,LOW10,K200,5,BULL_2025,FLOW,49,-8.02063493801417e-05
ACT1,LOW10,K200,5,BULL_2025,MOMENTUM,49,0.00048310025430908554
ACT1,LOW10,K200,5,BULL_2025,REVISION,49,0.0012846426997896758
ACT1,LOW10,K200,5,BULL_2025,VALUE,49,0.00031645402545964923
ACT1,LOW10,K200,5,EARLY_2016_2019,FLOW,193,-0.00037288771835331056
ACT1,LOW10,K200,5,EARLY_2016_2019,MOMENTUM,193,-0.00014940155107219516
ACT1,LOW10,K200,5,EARLY_2016_2019,REVISION,193,-0.0004948710150986701
ACT1,LOW10,K200,5,EARLY_2016_2019,VALUE,193,0.00029709926527950355
ACT1,LOW10,K200,5,LATE_2020_2022,FLOW,149,-0.00017123401250991813
ACT1,LOW10,K200,5,LATE_2020_2022,MOMENTUM,149,-0.0006631239488651002
ACT1,LOW10,K200,5,LATE_2020_2022,REVISION,149,0.00020606761474171802
ACT1,LOW10,K200,5,LATE_2020_2022,VALUE,149,0.0005254755750538229
ACT1,LOW10,K200,5,NORMAL_2023_2024,FLOW,97,0.00016412433812385756
ACT1,LOW10,K200,5,NORMAL_2023_2024,MOMENTUM,97,5.993754050935162e-05
ACT1,LOW10,K200,5,NORMAL_2023_2024,REVISION,97,0.0002082629565156573
ACT1,LOW10,K200,5,NORMAL_2023_2024,VALUE,97,-0.0003174850521954584
ACT1,LOW10,K200,5,YTD_2026,FLOW,28,-0.0010377882610195226
ACT1,LOW10,K200,5,YTD_2026,MOMENTUM,28,-0.00013597531043229338
ACT1,LOW10,K200,5,YTD_2026,REVISION,28,0.00044680602376344185
ACT1,LOW10,K200,5,YTD_2026,VALUE,28,0.001809511565291469
ACT1,LOW10,K200,20,BULL_2025,FLOW,12,-0.0018595545643153293
ACT1,LOW10,K200,20,BULL_2025,MOMENTUM,12,-1.4203030715989896e-05
ACT1,LOW10,K200,20,BULL_2025,REVISION,12,-0.006307218807166659
ACT1,LOW10,K200,20,BULL_2025,VALUE,12,-0.0016868285688995197
ACT1,LOW10,K200,20,EARLY_2016_2019,FLOW,48,-0.0007957439239528154
ACT1,LOW10,K200,20,EARLY_2016_2019,MOMENTUM,48,0.00019077837269744816
ACT1,LOW10,K200,20,EARLY_2016_2019,REVISION,48,-0.0023026022593012206
ACT1,LOW10,K200,20,EARLY_2016_2019,VALUE,48,-0.0007734221152440069
ACT1,LOW10,K200,20,LATE_2020_2022,FLOW,38,-0.0002255416027540766
ACT1,LOW10,K200,20,LATE_2020_2022,MOMENTUM,38,0.0004564031199758797
ACT1,LOW10,K200,20,LATE_2020_2022,REVISION,38,-0.0002246261923617871
ACT1,LOW10,K200,20,LATE_2020_2022,VALUE,38,0.0008707443172392634
