universe,strategy,factor,family,phase,period,zero_fill_cagr,zero_fill_sharpe,legacy_cagr,legacy_sharpe,mean_legacy_minus_zero,mean_complete_names,n_periods
K200,PRIMARY8,PER12MF,VALUE,1,NORMAL_2023_2024,0.2164422960786947,1.0620166072284873,0.21644229607869447,1.0620166072284851,-1.604563898841175e-17,20.0,49
K200,PRIMARY8,PER12MF,VALUE,1,BULL_2025,0.7032616706093884,2.7904984925524388,0.7032616706093873,2.7904984925524356,-2.1649348980190553e-17,20.0,25
K200,PRIMARY8,PER12MF,VALUE,1,YTD_2026,0.5221943526672332,1.158468928898873,0.5221943526672332,1.1584689288988739,7.739535508204217e-18,20.0,13
K200,PRIMARY8,PER12MF,VALUE,2,FULL_2016_2026,0.1165242467773282,0.5524303561026892,0.11652424677732776,0.5524303561026875,-1.7552687670240694e-17,20.0,259
K200,PRIMARY8,PER12MF,VALUE,2,PRE_STRESS_2016_2024,0.04711309305353262,0.3111514214765995,0.04711309305353195,0.3111514214765979,-1.7358418660854442e-17,20.0,221
K200,PRIMARY8,PER12MF,VALUE,2,EARLY_2016_2019,-0.026357604871313667,-0.07527978810613138,-0.026357604871314333,-0.07527978810613445,-1.9940244620726985e-17,20.0,98
K200,PRIMARY8,PER12MF,VALUE,2,LATE_2020_2022,0.0485708077032021,0.3195627874077832,0.04857080770320166,0.31956278740778254,-1.3391361968266906e-17,20.0,74
K200,PRIMARY8,PER12MF,VALUE,2,NORMAL_2023_2024,0.20856327724634327,0.9768783640899096,0.2085632772463426,0.9768783640899075,-1.8185831950323186e-17,20.0,49
K200,PRIMARY8,PER12MF,VALUE,2,BULL_2025,0.6517176571241494,2.117571907605812,0.6517176571241499,2.1175719076058095,-2.5388400872368894e-17,20.0,24
K200,PRIMARY8,PER12MF,VALUE,2,YTD_2026,0.5716056791541813,1.4074232453111897,0.5716056791541804,1.407423245311188,-7.186711543332487e-18,20.0,14
K200,PRIMARY8,PER12MF,VALUE,3,FULL_2016_2026,0.13549788595994916,0.6449533875146457,0.13549788595994894,0.6449533875146441,-1.504386765160289e-17,20.0,259
K200,PRIMARY8,PER12MF,VALUE,3,PRE_STRESS_2016_2024,0.060280793244853026,0.37311731702605194,0.060280793244852804,0.37311731702605033,-1.4249455133430494e-17,20.0,221
K200,PRIMARY8,PER12MF,VALUE,3,EARLY_2016_2019,-0.0017187550126781526,0.06971821716899575,-0.0017187550126781526,0.06971821716899257,-1.9973659206176834e-17,20.0,98
K200,PRIMARY8,PER12MF,VALUE,3,LATE_2020_2022,0.08160379553327801,0.41227807946560563,0.08160379553327779,0.41227807946560513,-6.8729626907155426e-18,20.0,74
K200,PRIMARY8,PER12MF,VALUE,3,NORMAL_2023_2024,0.16064033374696884,0.8541849329940425,0.16064033374696818,0.8541849329940405,-1.394105598305835e-17,20.0,49
K200,PRIMARY8,PER12MF,VALUE,3,BULL_2025,0.6487105752372104,1.9892770099053974,0.6487105752372082,1.9892770099053951,-2.441261891713194e-17,20.0,24
K200,PRIMARY8,PER12MF,VALUE,3,YTD_2026,0.7677162199022862,1.634236209685887,0.7677162199022858,1.6342362096858871,-1.1523520233274505e-17,20.0,14
K200,PRIMARY8,PER12MF,VALUE,4,FULL_2016_2026,0.1392872146985884,0.6217760728875588,0.13928721469858796,0.6217760728875573,-1.4524227655251037e-17,20.0,259
K200,PRIMARY8,PER12MF,VALUE,4,PRE_STRESS_2016_2024,0.062283553876182784,0.3635815160847881,0.06228355387618234,0.3635815160847867,-1.3685599481537897e-17,20.0,221
K200,PRIMARY8,PER12MF,VALUE,4,EARLY_2016_2019,-0.012757609419432048,0.005493981411742692,-0.012757609419432603,0.005493981411739503,-2.102909683122905e-17,20.0,98
K200,PRIMARY8,PER12MF,VALUE,4,LATE_2020_2022,0.09366814651240052,0.4237784676433409,0.09366814651240096,0.4237784676433407,-2.021890537878373e-18,20.0,74
K200,PRIMARY8,PER12MF,VALUE,4,NORMAL_2023_2024,0.17700170962326323,0.9804150653424407,0.17700170962326256,0.9804150653424387,-1.6613185635845488e-17,20.0,49
K200,PRIMARY8,PER12MF,VALUE,4,BULL_2025,0.671887746901676,2.1481103269377857,0.6718877469016733,2.148110326937782,-3.3176586478056436e-17,20.0,24
K200,PRIMARY8,PER12MF,VALUE,4,YTD_2026,0.7817612076148228,1.5431475944124575,0.7817612076148228,1.5431475944124582,4.212899870229388e-18,20.0,14
K200,PRIMARY8,PER12MF,VALUE,5,FULL_2016_2026,0.1381639494646396,0.6412224004188654,0.13816394946463917,0.6412224004188639,-1.5977853927048685e-17,20.0,259
K200,PRIMARY8,PER12MF,VALUE,5,PRE_STRESS_2016_2024,0.0586371390284568,0.3586952421966841,0.05863713902845613,0.3586952421966824,-1.7681203370138887e-17,20.0,221
K200,PRIMARY8,PER12MF,VALUE,5,EARLY_2016_2019,-0.013692626134435448,0.004001040367055258,-0.013692626134436114,0.004001040367051471,-2.5508898511776935e-17,20.0,98
K200,PRIMARY8,PER12MF,VALUE,5,LATE_2020_2022,0.07516283783542677,0.3824130017547161,0.07516283783542632,0.38241300175471526,-1.0510900520825688e-17,20.0,74
K200,PRIMARY8,PER12MF,VALUE,5,NORMAL_2023_2024,0.19139972259461913,1.0453720905242765,0.19139972259461868,1.0453720905242752,-1.2854433716437833e-17,20.0,49
K200,PRIMARY8,PER12MF,VALUE,5,BULL_2025,0.6937193626443798,2.354475988688476,0.6937193626443794,2.354475988688475,-1.601005208036928e-17,20.0,24
K200,PRIMARY8,PER12MF,VALUE,5,YTD_2026,0.8065025627151696,1.605555966265367,0.8065025627151716,1.6055559662653678,1.0965930544567673e-17,20.0,14
K200,PRIMARY8,PER12MF,VALUE,6,FULL_2016_2026,0.12793710925474922,0.6453824321084091,0.12793710925474877,0.6453824321084082,-1.0083330389522391e-17,20.0,259
K200,PRIMARY8,PER12MF,VALUE,6,PRE_STRESS_2016_2024,0.05454918449902979,0.35755056112037625,0.054549184499029124,0.3575505611203749,-1.1066711586845253e-17,20.0,221
K200,PRIMARY8,PER12MF,VALUE,6,EARLY_2016_2019,-0.02191522809707591,-0.04140364657301583,-0.02191522809707691,-0.04140364657301862,-1.9646185896936315e-17,20.0,98
K200,PRIMARY8,PER12MF,VALUE,6,LATE_2020_2022,0.08470277963174389,0.43717871754046095,0.08470277963174433,0.43717871754046095,1.5296041460471171e-18,20.0,74
K200,PRIMARY8,PER12MF,VALUE,6,NORMAL_2023_2024,0.17478047182498146,0.9946248110287704,0.17478047182498102,0.9946248110287689,-1.2930770400010791e-17,20.0,49
K200,PRIMARY8,PER12MF,VALUE,6,BULL_2025,0.6042146062314839,2.1064770688813956,0.604214606231483,2.1064770688813934,-2.14382803693682e-17,20.0,24
K200,PRIMARY8,PER12MF,VALUE,6,YTD_2026,0.7834679724361207,1.729077209464886,0.7834679724361215,1.7290772094648874,2.4905672762238446e-17,20.0,14
K200,PRIMARY8,PER12MF,VALUE,7,FULL_2016_2026,0.12801831450198353,0.6534224518540251,0.1280183145019831,0.6534224518540233,-1.5852898580142538e-17,20.0,259
K200,PRIMARY8,PER12MF,VALUE,7,PRE_STRESS_2016_2024,0.05139466403141113,0.3456630943679293,0.051394664031410686,0.3456630943679273,-1.6406775228250102e-17,20.0,221
K200,PRIMARY8,PER12MF,VALUE,7,EARLY_2016_2019,-0.01847517150401523,-0.03336532962059917,-0.01847517150401523,-0.03336532962060251,-2.1664129532256275e-17,20.0,98
K200,PRIMARY8,PER12MF,VALUE,7,LATE_2020_2022,0.08726008946802755,0.4505701211948397,0.0872600894680271,0.4505701211948388,-9.23476526104883e-18,20.0,74
K200,PRIMARY8,PER12MF,VALUE,7,NORMAL_2023_2024,0.14681815434480705,0.7963006379879898,0.14681815434480616,0.7963006379879877,-1.672326534621519e-17,20.0,49
K200,PRIMARY8,PER12MF,VALUE,7,BULL_2025,0.6521237703651006,2.2938067245526597,0.6521237703650999,2.2938067245526574,-1.7274954614935705e-17,20.0,24
K200,PRIMARY8,PER12MF,VALUE,7,YTD_2026,0.7802184926010844,1.7597864506792165,0.7802184926010844,1.7597864506792162,-4.671749718227718e-18,20.0,14
K200,PRIMARY8,PER12MF,VALUE,8,FULL_2016_2026,0.1344308367250835,0.6863307977407842,0.13443083672508327,0.6863307977407825,-1.5485332066598887e-17,20.0,259
K200,PRIMARY8,PER12MF,VALUE,8,PRE_STRESS_2016_2024,0.05334098344526361,0.35162500847564454,0.05334098344526339,0.3516250084756426,-1.5652340995953558e-17,20.0,221
K200,PRIMARY8,PER12MF,VALUE,8,EARLY_2016_2019,-0.0015944573434625298,0.06979010396051309,-0.0015944573434628628,0.06979010396051077,-1.4791615353195095e-17,20.0,98
K200,PRIMARY8,PER12MF,VALUE,8,LATE_2020_2022,0.07754058392330232,0.4187342425687658,0.07754058392330188,0.41873424256876374,-1.914523388618301e-17,20.0,74
K200,PRIMARY8,PER12MF,VALUE,8,NORMAL_2023_2024,0.1329098131330395,0.6664901951308709,0.13290981313303885,0.6664901951308693,-1.2098811181940281e-17,20.0,49
K200,PRIMARY8,PER12MF,VALUE,8,BULL_2025,0.6669424790374641,2.6192547699824607,0.6669424790374636,2.619254769982457,-2.1462685506160966e-17,20.0,24
K200,PRIMARY8,PER12MF,VALUE,8,YTD_2026,0.8909959076797656,2.202556416503207,0.8909959076797649,2.2025564165032083,-2.6020852139652106e-18,20.0,14
K200,PRIMARY8,PER12MF,VALUE,9,FULL_2016_2026,0.14607039928954557,0.7313515050332621,0.14607039928954513,0.7313515050332604,-1.483642555355311e-17,20.0,258
K200,PRIMARY8,PER12MF,VALUE,9,PRE_STRESS_2016_2024,0.07009909014544857,0.42763579070214436,0.07009909014544813,0.42763579070214247,-1.512251230562532e-17,20.0,221
K200,PRIMARY8,PER12MF,VALUE,9,EARLY_2016_2019,0.014854786370370299,0.17237283613892876,0.014854786370369633,0.17237283613892518,-2.3351371046440415e-17,20.0,97
K200,PRIMARY8,PER12MF,VALUE,9,LATE_2020_2022,0.08861314622853156,0.46217741535205253,0.08861314622853089,0.46217741535205153,-7.46509335828686e-18,20.0,75
K200,PRIMARY8,PER12MF,VALUE,9,NORMAL_2023_2024,0.15768914159623426,0.7677465442606665,0.15768914159623426,0.7677465442606652,-1.055326992177472e-17,20.0,49
K200,PRIMARY8,PER12MF,VALUE,9,BULL_2025,0.6325244915007031,2.596903174199171,0.6325244915007022,2.5969031741991686,-2.063598134964077e-17,20.0,24
K200,PRIMARY8,PER12MF,VALUE,9,YTD_2026,0.9139774152813451,2.034929115532116,0.9139774152813465,2.034929115532116,7.339214706055722e-19,20.0,13
K200,PRIMARY8,PRIVATE_FLOW,FLOW,0,FULL_2016_2026,0.11412548343323103,0.6335222190017604,0.11412548343323081,0.6335222190017592,-1.1803675562979495e-17,20.0,259
K200,PRIMARY8,PRIVATE_FLOW,FLOW,0,PRE_STRESS_2016_2024,0.05326370145259762,0.3681260390338241,0.0532637014525974,0.36812603903382257,-1.2387009820646888e-17,20.0,221
K200,PRIMARY8,PRIVATE_FLOW,FLOW,0,EARLY_2016_2019,-0.03328786691594687,-0.1358342335460516,-0.033287866915947095,-0.13583423354605337,-1.055548257926959e-17,20.0,98
K200,PRIMARY8,PRIVATE_FLOW,FLOW,0,LATE_2020_2022,0.17340831634222353,0.7765394013537079,0.17340831634222376,0.7765394013537074,-8.540983314116643e-18,20.0,75
K200,PRIMARY8,PRIVATE_FLOW,FLOW,0,NORMAL_2023_2024,0.05990906937515672,0.44882149367981194,0.059909069375156054,0.4488214936798082,-2.213579435491238e-17,20.0,48
K200,PRIMARY8,PRIVATE_FLOW,FLOW,0,BULL_2025,0.5807663375462679,2.2258425399173607,0.5807663375462675,2.22584253991736,-4.458239333260394e-18,20.0,25
K200,PRIMARY8,PRIVATE_FLOW,FLOW,0,YTD_2026,0.47741669981592016,1.3541322579487363,0.4774166998159197,1.3541322579487352,-1.6012832085939756e-17,20.0,13
K200,PRIMARY8,PRIVATE_FLOW,FLOW,1,FULL_2016_2026,0.0900847354345844,0.4964011356476272,0.09008473543458395,0.4964011356476257,-1.3642109883834017e-17,20.0,259
K200,PRIMARY8,PRIVATE_FLOW,FLOW,1,PRE_STRESS_2016_2024,0.049249939084826444,0.3437310249509857,0.049249939084826,0.343731024950984,-1.2651805351234694e-17,20.0,221
