date,universe,eligible_n,mom_n,rev_n,mom_rev_overlap_n,mom_rev_overlap_share_mom
2018-03-19,K200,193,37,33,11,0.2972972972972973
2018-03-19,KOSPI_EX_K200,167,31,16,4,0.12903225806451613
2018-03-19,KOSPI_ALL,360,69,49,19,0.2753623188405797
2018-03-19,KOSDAQ,225,41,25,6,0.14634146341463414
2018-03-19,KOSPI_KOSDAQ_ALL,585,110,74,24,0.21818181818181817
2018-03-19,KOSDAQ_PLUS_KOSPI_EX_K200,392,73,41,12,0.1643835616438356
2018-03-26,K200,193,37,33,10,0.2702702702702703
2018-03-26,KOSPI_EX_K200,164,30,16,5,0.16666666666666666
2018-03-26,KOSPI_ALL,357,68,49,16,0.23529411764705882
2018-03-26,KOSDAQ,218,41,23,4,0.0975609756097561
2018-03-26,KOSPI_KOSDAQ_ALL,575,109,73,18,0.1651376146788991
2018-03-26,KOSDAQ_PLUS_KOSPI_EX_K200,382,71,40,9,0.1267605633802817
2018-04-02,K200,193,37,33,10,0.2702702702702703
2018-04-02,KOSPI_EX_K200,168,31,17,4,0.12903225806451613
2018-04-02,KOSPI_ALL,361,69,50,15,0.21739130434782608
2018-04-02,KOSDAQ,223,41,23,2,0.04878048780487805
2018-04-02,KOSPI_KOSDAQ_ALL,584,111,73,12,0.10810810810810811
2018-04-02,KOSDAQ_PLUS_KOSPI_EX_K200,391,73,40,6,0.0821917808219178
2018-04-09,K200,193,37,33,9,0.24324324324324326
2018-04-09,KOSPI_EX_K200,166,31,16,5,0.16129032258064516
2018-04-09,KOSPI_ALL,359,68,49,14,0.20588235294117646
2018-04-09,KOSDAQ,222,41,23,2,0.04878048780487805
2018-04-09,KOSPI_KOSDAQ_ALL,581,110,73,15,0.13636363636363635
2018-04-09,KOSDAQ_PLUS_KOSPI_EX_K200,388,72,39,5,0.06944444444444445
2018-04-16,K200,193,37,33,11,0.2972972972972973
2018-04-16,KOSPI_EX_K200,168,31,17,2,0.06451612903225806
2018-04-16,KOSPI_ALL,361,69,50,18,0.2608695652173913
2018-04-16,KOSDAQ,239,44,24,3,0.06818181818181818
2018-04-16,KOSPI_KOSDAQ_ALL,600,114,74,17,0.14912280701754385
2018-04-16,KOSDAQ_PLUS_KOSPI_EX_K200,407,76,41,7,0.09210526315789473
