sample,factor_universe,market_target,horizon,support_state,leader_strength_cut,support_cut,n_high,n_low,high_support_mean,low_support_mean,high_minus_low,diff_tstat,high_positive_share,low_positive_share
OOS,KOSPI_EX_K200,KOSDAQ,1,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,10,11,0.004932271449212306,-0.02547561210292976,0.030407883552142065,1.8946608175123343,0.7,0.36363636363636365
TRAIN,KOSPI_EX_K200,KOSDAQ,5,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,-0.008922978297905558,-0.003854394904291399,-0.005068583393614158,-0.42144660022173625,0.3333333333333333,0.6
OOS,KOSPI_EX_K200,KOSDAQ,5,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,9,11,-0.0060016117832761805,-0.0178654637175972,0.011863851934321018,0.7401466089551976,0.4444444444444444,0.2727272727272727
TRAIN,KOSPI_EX_K200,KOSDAQ,20,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,-0.005148584579431756,-0.03132102232976402,0.02617243775033226,1.238452910535743,0.4166666666666667,0.3333333333333333
OOS,KOSPI_EX_K200,KOSDAQ,20,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,9,11,0.02789944147975258,-0.053939793856560364,0.08183923533631295,2.548510701976792,0.7777777777777778,0.36363636363636365
TRAIN,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,1,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,0.0039791466262221195,-0.0005047969684528733,0.004483943594674993,1.3585950535026798,0.8333333333333334,0.4
OOS,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,1,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,10,11,0.0069018396434189265,-0.026769649684643848,0.03367148932806278,2.221943639265331,0.8,0.36363636363636365
TRAIN,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,5,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,-0.0058752407206780904,0.004410811932305273,-0.010286052652983362,-0.9876096666563164,0.3333333333333333,0.6
OOS,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,5,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,9,11,-0.0004867062946525373,-0.015751617390063612,0.015264911095411076,0.8879350377615021,0.5555555555555556,0.36363636363636365
TRAIN,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,20,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,-0.005158710884092582,-0.012876251957302317,0.007717541073209736,0.548120391803981,0.4166666666666667,0.3333333333333333
OOS,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,20,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,9,11,0.04202662841880578,-0.02789732597526195,0.06992395439406773,1.9811856351793777,0.7777777777777778,0.45454545454545453
TRAIN,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,1,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,0.00360869463642152,-0.0012269393808315306,0.004835634017253051,1.2519459060352165,0.6666666666666666,0.4666666666666667
OOS,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,1,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,10,11,0.005937277226741508,-0.02475229948461201,0.030689576711353517,2.0885760215564604,0.7,0.45454545454545453
TRAIN,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,5,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,-0.00683787630693547,-0.0023660924185539304,-0.004471783888381539,-0.37617456615820477,0.3333333333333333,0.6
