universe,sample,factor_a,factor_b,corr
KOSDAQ,OOS,OPFY1_REV,OP12_REV,0.3830516730726801
KOSDAQ,OOS,OPFY1_REV,OPFY1_REV,1.0
KOSDAQ,OOS,OPFY1_REV,PBR12MF,0.018198034768050455
KOSDAQ,OOS,OPFY1_REV,PER12MF,0.06518641181577821
KOSDAQ,OOS,OPFY1_REV,PRIVATE_FLOW,0.10499634186371541
KOSDAQ,OOS,PBR12MF,FOREIGN_FLOW,0.06796074084516947
KOSDAQ,OOS,PBR12MF,MOM12_1,-0.49031617933950783
KOSDAQ,OOS,PBR12MF,MOM1M,-0.06815276375911021
KOSDAQ,OOS,PBR12MF,OP12_REV,-0.38396973868892786
KOSDAQ,OOS,PBR12MF,OPFY1_REV,0.018198034768050455
KOSDAQ,OOS,PBR12MF,PBR12MF,1.0
KOSDAQ,OOS,PBR12MF,PER12MF,0.7881501419102717
KOSDAQ,OOS,PBR12MF,PRIVATE_FLOW,0.1932859901174132
KOSDAQ,OOS,PER12MF,FOREIGN_FLOW,0.08278804599494824
KOSDAQ,OOS,PER12MF,MOM12_1,-0.3293474365625573
KOSDAQ,OOS,PER12MF,MOM1M,-0.0003843384958954675
KOSDAQ,OOS,PER12MF,OP12_REV,-0.37549491090633474
KOSDAQ,OOS,PER12MF,OPFY1_REV,0.06518641181577821
KOSDAQ,OOS,PER12MF,PBR12MF,0.7881501419102717
KOSDAQ,OOS,PER12MF,PER12MF,1.0
KOSDAQ,OOS,PER12MF,PRIVATE_FLOW,0.20886788228695546
KOSDAQ,OOS,PRIVATE_FLOW,FOREIGN_FLOW,-0.1099051852045923
KOSDAQ,OOS,PRIVATE_FLOW,MOM12_1,-0.19527794507003782
KOSDAQ,OOS,PRIVATE_FLOW,MOM1M,0.18494625540315632
KOSDAQ,OOS,PRIVATE_FLOW,OP12_REV,-0.03772470819368827
KOSDAQ,OOS,PRIVATE_FLOW,OPFY1_REV,0.10499634186371541
KOSDAQ,OOS,PRIVATE_FLOW,PBR12MF,0.1932859901174132
KOSDAQ,OOS,PRIVATE_FLOW,PER12MF,0.20886788228695546
KOSDAQ,OOS,PRIVATE_FLOW,PRIVATE_FLOW,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,FOREIGN_FLOW,FOREIGN_FLOW,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,FOREIGN_FLOW,MOM12_1,0.021702048391259273
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,FOREIGN_FLOW,MOM1M,0.09250783069412187
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,FOREIGN_FLOW,OP12_REV,0.17883281248715757
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,FOREIGN_FLOW,OPFY1_REV,0.0938595857096514
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,FOREIGN_FLOW,PBR12MF,-0.04473950181204059
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,FOREIGN_FLOW,PER12MF,-0.09126820948902528
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,FOREIGN_FLOW,PRIVATE_FLOW,-0.025298406062021148
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,MOM12_1,FOREIGN_FLOW,0.021702048391259273
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,MOM12_1,MOM12_1,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,MOM12_1,MOM1M,0.0884308391084626
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,MOM12_1,OP12_REV,0.32283107954642637
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,MOM12_1,OPFY1_REV,0.19753816654431713
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,MOM12_1,PBR12MF,-0.43363083289780374
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,MOM12_1,PER12MF,-0.29780184615308797
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,MOM12_1,PRIVATE_FLOW,-0.03485611402203929
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,MOM1M,FOREIGN_FLOW,0.09250783069412187
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,MOM1M,MOM12_1,0.0884308391084626
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,MOM1M,MOM1M,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,MOM1M,OP12_REV,0.1567257066704007
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,MOM1M,OPFY1_REV,0.17171821018488656
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,MOM1M,PBR12MF,-0.03713910742976343
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,MOM1M,PER12MF,0.011827624675681544
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,MOM1M,PRIVATE_FLOW,0.15847420364664414
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,OP12_REV,FOREIGN_FLOW,0.17883281248715757
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,OP12_REV,MOM12_1,0.32283107954642637
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,OP12_REV,MOM1M,0.1567257066704007
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN,OP12_REV,OP12_REV,1.0
