sample,factor_universe,market_target,horizon,state,state_bin,train_q1,train_q2,n,mean_fwd_return,median_fwd_return,positive_market_share,mean_tstat
OOS,KOSPI_EX_K200,KOSPI_EX_K200,1,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,55,-0.0016643377361902,0.0015413416800458394,0.5636363636363636,-0.5932678597896474
TRAIN,KOSPI_EX_K200,KOSPI_EX_K200,5,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,107,-0.0033792112559066583,-0.00021229250560069284,0.48598130841121495,-1.1654935087537364
TRAIN,KOSPI_EX_K200,KOSPI_EX_K200,5,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,105,0.0030259174686772835,0.004678516091263435,0.5523809523809524,0.9864413818470543
TRAIN,KOSPI_EX_K200,KOSPI_EX_K200,5,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,108,-0.0006134019277660362,0.004686832968164828,0.5370370370370371,-0.20132192304757135
OOS,KOSPI_EX_K200,KOSPI_EX_K200,5,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,71,-0.0005976740278459346,0.0038586446792631367,0.5352112676056338,-0.15350203757865916
OOS,KOSPI_EX_K200,KOSPI_EX_K200,5,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,48,0.00024198120857172562,0.0018672174924901006,0.5208333333333334,0.066736760138424
OOS,KOSPI_EX_K200,KOSPI_EX_K200,5,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,55,0.00926997869011467,0.006150568976400424,0.6181818181818182,2.1607871901831097
TRAIN,KOSPI_EX_K200,KOSPI_EX_K200,20,MKT_ACT1_BREADTH,LOW,0.25431862018716067,0.3364485981308411,107,-0.00871269842163942,-0.0032920657135912124,0.45794392523364486,-1.4989730982824458
TRAIN,KOSPI_EX_K200,KOSPI_EX_K200,20,MKT_ACT1_BREADTH,MID,0.25431862018716067,0.3364485981308411,105,0.0027846476044513773,0.007133015336382246,0.580952380952381,0.40661418425456863
TRAIN,KOSPI_EX_K200,KOSPI_EX_K200,20,MKT_ACT1_BREADTH,HIGH,0.25431862018716067,0.3364485981308411,108,0.003813767102515322,0.0039114448505328655,0.5370370370370371,0.6806201091745707
