date,universe,leader_factor,LS_BREADTH_1P,LS_BREADTH_4P,ABS_BREADTH_1P,ABS_BREADTH_4P,AVG_CORR_12P,AVG_CORR_24P,DISPERSION_LS_4P,LEADER_STRENGTH_12P,LEADER_CORRECTION_1P,OTHERS_LS_BREADTH_4P,OTHERS_ABS_BREADTH_1P,OTHERS_ABS_BREADTH_4P,ORTHOGONAL_ABS_BREADTH_1P,n_orthogonal,MKT_ACT5_BREADTH,MKT_ACT1_BREADTH,KOSDAQ_TA_SHARE,FACTOR_TOP_ACT5_BREADTH_MEAN
2017-12-08,KOSDAQ,MOM1M,0.25,0.25,0.0,0.25,0.16452935463411394,0.10995898350605428,0.04473961514409523,0.16774294547239993,-0.03169690214269886,0.14285714285714285,0.0,0.14285714285714285,0.0,6,0.371900826446281,0.24701561065197428,0.5363278155089106,0.275
2017-12-15,KOSDAQ,MOM1M,0.5,0.375,1.0,0.375,0.12929129451644586,0.09499746896345233,0.05123065813847743,0.2265723828540374,0.06136002657247158,0.2857142857142857,1.0,0.2857142857142857,1.0,6,0.24311926605504589,0.22201834862385322,0.49967002983472825,0.29375
2017-12-22,KOSDAQ,MOM1M,0.375,0.125,0.375,0.0,0.11034869171689951,0.08601539180263253,0.03581236434441834,0.2016228506562855,-0.02745956384851716,0.14285714285714285,0.42857142857142855,0.0,0.42857142857142855,7,0.26672777268560954,0.20439963336388633,0.5472329814782613,0.2875
2018-01-03,KOSDAQ,MOM1M,0.5,0.375,1.0,0.625,0.07380915885237334,0.06742670130951604,0.07288975464678994,0.31567996546309973,0.06238329491707848,0.2857142857142857,1.0,0.5714285714285714,1.0,7,0.3159340659340659,0.40476190476190477,0.5598645802645895,0.575
2018-01-10,KOSDAQ,MOM1M,0.625,0.5,0.375,1.0,0.05173150508093439,0.0546980267257839,0.09717885583592858,0.32557589928613767,0.03386951842738912,0.42857142857142855,0.2857142857142857,1.0,0.16666666666666666,6,0.5183150183150184,0.41025641025641024,0.46045290811076905,0.5860119047619048
2018-01-17,KOSDAQ,MOM1M,0.25,0.5,1.0,1.0,0.06499377935098986,0.07540990733198343,0.07331455949740041,0.2568652488655406,-0.02788454499225659,0.42857142857142855,1.0,1.0,1.0,5,0.5173992673992674,0.42216117216117216,0.6070749509482893,0.6758928571428571
2018-01-24,KOSDAQ,MOM1M,0.375,0.375,0.75,1.0,0.05665791962771931,0.07345634627942657,0.0770121582073794,0.25539749829099917,0.0222574486271686,0.2857142857142857,0.7142857142857143,1.0,0.8333333333333334,6,0.5128205128205128,0.38644688644688646,0.548391979915528,0.47556818181818183
2018-01-31,KOSDAQ,MOM1M,0.75,0.375,0.5,0.875,0.07990403097765406,0.07552860049559025,0.0462082923635293,0.22103785754926913,-0.021230675540724896,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.6666666666666666,6,0.6005484460694699,0.34643510054844606,0.3895552643549717,0.48977272727272725
2018-02-07,KOSDAQ,MOM1M,0.625,0.5,0.0,0.375,0.07602087445354036,0.07412232472052824,0.06922446335943111,0.11501166176288757,-0.06756358313156371,0.5714285714285714,0.0,0.42857142857142855,0.0,6,0.4607664233576642,0.30200729927007297,0.48166081081372253,0.4699404761904762
2018-02-14,KOSDAQ,MOM12_1,0.625,0.75,0.875,0.125,0.0734886427710317,0.0841110459145239,0.05551342313875416,0.12110795959263843,0.04731202608554363,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.8,5,0.17652411282984531,0.12738853503184713,0.4494171920392961,0.22678571428571426
2018-02-23,KOSDAQ,MOM12_1,0.375,0.75,1.0,0.25,0.053228483042475024,0.08040942800836157,0.07351632951890419,0.09985064462722465,0.007729868233439373,0.7142857142857143,1.0,0.2857142857142857,1.0,5,0.21798365122615804,0.1880108991825613,0.45778930315573846,0.22215909090909092
2018-03-05,KOSDAQ,FOREIGN_FLOW,0.5,0.625,0.0,0.0,0.016850381324565848,0.08246611319793253,0.07160922259014799,0.08646462370614572,0.014152618744414747,0.5714285714285714,0.0,0.0,0.0,6,0.21435059037238874,0.2098092643051771,0.41679954571599076,0.22916666666666669
2018-03-12,KOSDAQ,MOM12_1,0.125,0.375,1.0,0.875,0.03154505077412458,0.08952691004618976,0.07375870512648508,0.10949820827237938,0.03055615676164631,0.2857142857142857,1.0,0.8571428571428571,1.0,5,0.2724795640326976,0.35513169845594916,0.4152792466152595,0.3170454545454545
2018-03-19,KOSDAQ,MOM12_1,0.875,0.375,0.375,0.75,0.05707141141068194,0.08940074754385605,0.05225484971323211,0.11523294482394864,0.027431916754666386,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.2,5,0.37749546279491836,0.31306715063520874,0.4452316820575628,0.4940217391304348
2018-03-26,KOSDAQ,MOM12_1,0.625,0.75,0.125,0.5,0.07840965347731203,0.10018910986120493,0.05707035512063099,0.08412284779491747,-0.0043384361163289475,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.0,5,0.4827586206896552,0.31669691470054445,0.4977302694399386,0.5965909090909091
2018-04-02,KOSDAQ,OP12_REV,0.625,0.75,0.75,0.875,0.10462122218886219,0.09868972309565939,0.05602591152099456,0.06149717343387773,0.022636421828800216,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8,5,0.30099728014505894,0.3073436083408885,0.4612210513924979,0.46590909090909094
2018-04-09,KOSDAQ,MOM12_1,0.5,0.75,0.625,0.375,0.11081008075056124,0.1009803276845773,0.08498143058262773,0.05741120985404213,0.06625793595621808,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.5,4,0.34751131221719456,0.2642533936651584,0.45328988578857704,0.35113636363636364
2018-04-16,KOSDAQ,OPFY1_REV,0.5,0.625,1.0,0.875,0.07582216237776293,0.09132799496070329,0.05331784875509203,0.11494703176166265,-0.005620187212408666,0.5714285714285714,1.0,0.8571428571428571,1.0,3,0.41266968325791853,0.31493212669683257,0.5225523295428313,0.4779891304347826
2018-04-23,KOSDAQ,OPFY1_REV,0.625,0.75,0.375,0.875,0.04426462846124952,0.07732346646909008,0.04785023264042021,0.1442118699115955,0.03460020514193916,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.25,4,0.5266968325791855,0.4751131221719457,0.42294809651622334,0.4836956521739131
2018-04-30,KOSDAQ,OP12_REV,0.75,0.625,0.375,0.875,0.05849953551863817,0.07892820887735875,0.04138734416783724,0.20748008441138588,0.02827854391374276,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.16666666666666666,6,0.4108597285067873,0.4515837104072398,0.4035828520898784,0.3491847826086957
2018-05-09,KOSDAQ,OP12_REV,0.625,0.625,0.5,0.5,0.08457111070703308,0.08119094734596363,0.09735106057975139,0.2560747133839314,0.03578432870004687,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.25,4,0.41809954751131223,0.28054298642533937,0.3800324813737343,0.41956521739130437
2018-05-16,KOSDAQ,OP12_REV,0.875,0.625,0.25,0.375,0.0726773542978322,0.07067606445224153,0.09213159896025283,0.18629622733121198,0.00569596705969371,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.25,4,0.3574660633484163,0.3755656108597285,0.37376389095027784,0.35706521739130437
2018-05-24,KOSDAQ,OP12_REV,0.375,0.625,1.0,0.5,0.06178068260355167,0.06182787866314538,0.039995916099747585,0.14644285343744523,0.001730729269132994,0.5714285714285714,1.0,0.42857142857142855,1.0,3,0.27692307692307694,0.23710407239819004,0.4538823273242801,0.3785326086956522
2018-05-31,KOSDAQ,OP12_REV,1.0,0.875,1.0,0.625,0.12157045842259595,0.08219804787871703,0.03881964989546058,0.18811415952001542,0.05209484006967077,0.8571428571428571,1.0,0.5714285714285714,1.0,3,0.3017163504968383,0.24570912375790424,0.33810636626451074,0.4592391304347826
