universe,task,horizon,period,model,delta_edge_vs_control,delta_sign_accuracy,delta_rank_ic,delta_mdd
K200,RISK,5,DISCOVERY_2016_2022,FULL,-0.0029946662557484845,-0.0625,-0.16714090507193954,-0.05368163381350044
K200,RISK,5,NORMAL_2023_2024,FACTOR_ONLY,-0.002658376841740356,-0.1030927835051546,-0.07825320849989478,-0.07120315155993717
K200,RISK,5,NORMAL_2023_2024,FULL,-0.002769092286525771,-0.12371134020618557,-0.08314485588049651,-0.08801468682545899
K200,RISK,5,YTD_2026,FACTOR_ONLY,0.0,0.0,0.40300751879699237,0.0
K200,RISK,5,YTD_2026,FULL,0.0,0.0,0.17894736842105258,0.0
K200,RISK,20,BULL_2025,FACTOR_ONLY,-0.006948343116813874,0.0,-0.07183673469387754,0.020730414600348412
K200,RISK,20,BULL_2025,FULL,-0.005578018575047829,-0.020408163265306145,-0.07306122448979592,-0.008473654289774535
K200,RISK,20,DISCOVERY_2016_2022,FACTOR_ONLY,-0.007778692478845961,-0.048611111111111105,-0.11337111164697372,-0.11220357109999424
K200,RISK,20,DISCOVERY_2016_2022,FULL,-0.00830519848219896,-0.04166666666666663,-0.21308978377943896,-0.11762298655226777
K200,RISK,20,NORMAL_2023_2024,FACTOR_ONLY,-0.0007733764823116186,-0.030927835051546393,-0.021788870187250148,-0.05374649370713269
K200,RISK,20,NORMAL_2023_2024,FULL,-0.0015770135138800084,-0.07216494845360821,-0.007245423942772972,-0.08872301852988917
K200,RISK,20,YTD_2026,FACTOR_ONLY,0.0,0.0,0.6045112781954887,0.0
K200,RISK,20,YTD_2026,FULL,0.0,0.0,0.5533834586466165,0.0
KOSDAQ,ALPHA,5,BULL_2025,FACTOR_ONLY,-0.00260967117399068,-0.11111111111111116,-0.03254281949934123,-0.008584102323845655
KOSDAQ,ALPHA,5,BULL_2025,FULL,-0.0031013534805330624,-0.15555555555555556,-0.10750988142292489,-0.008584102323845655
KOSDAQ,ALPHA,5,DISCOVERY_2016_2022,FACTOR_ONLY,-0.00024570052195686776,-0.008849557522123908,-0.12732051367356445,0.0014220573695885586
KOSDAQ,ALPHA,5,DISCOVERY_2016_2022,FULL,-0.0003005562742400856,0.0,-0.13629482999534237,3.227185769882901e-05
KOSDAQ,ALPHA,5,NORMAL_2023_2024,FACTOR_ONLY,-0.0009186135147276986,-0.09589041095890416,-0.14071948660989758,-0.021329566156284452
KOSDAQ,ALPHA,5,NORMAL_2023_2024,FULL,-0.0015619067391937815,-0.13698630136986306,-0.14127483648031597,-0.03747718258039057
KOSDAQ,ALPHA,5,YTD_2026,FACTOR_ONLY,0.00041946144406074205,-0.07692307692307687,0.10989010989010986,-0.004394829422292745
KOSDAQ,ALPHA,5,YTD_2026,FULL,0.00041946144406074205,-0.07692307692307687,0.1703296703296703,-0.004394829422292745
KOSDAQ,ALPHA,20,BULL_2025,FACTOR_ONLY,0.0003833637768415389,0.022222222222222254,0.5960474308300394,0.0
KOSDAQ,ALPHA,20,BULL_2025,FULL,-0.0005744968340221448,-0.022222222222222254,0.5150197628458497,0.0
KOSDAQ,ALPHA,20,DISCOVERY_2016_2022,FACTOR_ONLY,-0.0007851989929926091,-0.053097345132743334,-0.15575720274136673,-0.008641032832647833
KOSDAQ,ALPHA,20,DISCOVERY_2016_2022,FULL,-0.0007851989929926091,-0.053097345132743334,-0.1862399361234946,-0.008641032832647833
KOSDAQ,ALPHA,20,NORMAL_2023_2024,FACTOR_ONLY,-0.0033223029509493753,-0.0821917808219178,-0.1115636184129335,-0.09380017789382
KOSDAQ,ALPHA,20,NORMAL_2023_2024,FULL,-0.002782557528770039,-0.06849315068493156,-0.11665432555843516,-0.08259532317401075
KOSDAQ,ALPHA,20,YTD_2026,FACTOR_ONLY,-0.007372800808786555,-0.3076923076923077,0.434065934065934,-0.007529306247900602
