universe,horizon,strategy,sample,n,mean_ret,edge_vs_ew4,beat_ew4
KOSPI_ALL,5,TOP20_LEADER,NORMAL_2023_2024,97,0.0031954431880306788,0.001197187258138024,0.4948453608247423
KOSPI_ALL,5,TOP20_LEADER,YTD_2026,21,0.011059297341369442,0.0027602619389293535,0.6190476190476191
KOSPI_ALL,5,WPLUS,BULL_2025,40,0.008782629227119967,-0.000549850189543936,0.425
KOSPI_ALL,5,WPLUS,DISCOVERY_2016_2022,177,0.002352062533929842,0.0006543464372949159,0.5536723163841808
KOSPI_ALL,5,WPLUS,NORMAL_2023_2024,61,0.001413842225874191,0.0014347238861919039,0.4918032786885246
KOSPI_ALL,5,WPLUS,YTD_2026,16,0.019818361230040833,0.002950825379275839,0.625
KOSPI_ALL,20,SPREAD20_LEADER,BULL_2025,49,0.03993253674670182,-0.002578989274882465,0.4897959183673469
KOSPI_ALL,20,SPREAD20_LEADER,DISCOVERY_2016_2022,328,0.0033154632425560207,0.0012472190644473688,0.5579268292682927
KOSPI_ALL,20,SPREAD20_LEADER,NORMAL_2023_2024,97,0.011378255306977308,0.003555564498261561,0.5154639175257731
KOSPI_ALL,20,SPREAD20_LEADER,YTD_2026,21,0.004428449555745186,0.0045301533015181935,0.47619047619047616
KOSPI_ALL,20,SPREAD60_LEADER,BULL_2025,49,0.044317619564046326,0.001806093542462043,0.46938775510204084
KOSPI_ALL,20,SPREAD60_LEADER,DISCOVERY_2016_2022,328,0.00242023141466138,0.0003519872365527281,0.524390243902439
KOSPI_ALL,20,SPREAD60_LEADER,NORMAL_2023_2024,97,0.006412702589287145,-0.0014099882194286014,0.4329896907216495
KOSPI_ALL,20,SPREAD60_LEADER,YTD_2026,21,-0.01635773948908447,-0.016256035743311463,0.23809523809523808
KOSPI_ALL,20,TOP20_LEADER,BULL_2025,49,0.037090313144517446,-0.0054212128770668375,0.40816326530612246
KOSPI_ALL,20,TOP20_LEADER,DISCOVERY_2016_2022,328,0.0012243200262991353,-0.0008439241518095168,0.5121951219512195
KOSPI_ALL,20,TOP20_LEADER,NORMAL_2023_2024,97,0.011016214215185095,0.003193523406469347,0.5154639175257731
KOSPI_ALL,20,TOP20_LEADER,YTD_2026,21,0.00970172510940563,0.009803428855178637,0.5714285714285714
KOSPI_ALL,20,WPLUS,BULL_2025,40,0.03334277885925241,-0.0026806537449991625,0.4
