universe,task,horizon,model,period,n,participation,mean,win,edge_vs_control,beat_control,mdd,control_mdd,target_sign_accuracy,rank_ic
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,FACTOR_ONLY,NORMAL_2023_2024,96,1.0,0.0008068198903828449,0.5625,-0.0005755631651025926,0.1875,-0.30053640626061695,-0.28509987805309356,0.4479166666666667,-0.07642430819316333
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,FACTOR_ONLY,YTD_2026,19,1.0,0.00953595638163092,0.5789473684210527,0.0009101524422262081,0.10526315789473684,-0.23491462950173458,-0.22441578046633404,0.5789473684210527,0.03684210526315789
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,FULL,BULL_2025,49,1.0,0.00873906906479245,0.6938775510204082,-0.0008738233919649582,0.02040816326530612,-0.10006256914584521,-0.0934830294954867,0.5306122448979592,-0.0976530612244898
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,FULL,DISCOVERY_2016_2022,144,1.0,0.0006056212324113031,0.5902777777777778,-0.00017301631335616576,0.2361111111111111,-0.3709156017264994,-0.3362390195947733,0.5555555555555556,0.034868579696165906
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,FULL,NORMAL_2023_2024,96,1.0,0.0009151901460007788,0.5625,-0.0004671929094846584,0.1875,-0.29341281105057304,-0.28509987805309356,0.4583333333333333,-0.04262072707542051
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,FULL,YTD_2026,19,1.0,0.007299133300957706,0.5789473684210527,-0.0013266706384470039,0.15789473684210525,-0.24082271909402087,-0.22441578046633404,0.47368421052631576,-0.0456140350877193
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,MARKET_ONLY,BULL_2025,49,1.0,0.010036826156611053,0.6938775510204082,0.0004239336998536455,0.04081632653061224,-0.08486109772456152,-0.0934830294954867,0.673469387755102,-0.06163265306122448
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,MARKET_ONLY,DISCOVERY_2016_2022,144,1.0,0.0006466525255337326,0.5902777777777778,-0.00013198502023373563,0.2152777777777778,-0.35333297393340424,-0.3362390195947733,0.5763888888888888,0.07075797765452937
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,MARKET_ONLY,NORMAL_2023_2024,96,1.0,0.0016009416434163027,0.5520833333333334,0.000218558587930865,0.125,-0.2754088833464877,-0.28509987805309356,0.5833333333333334,0.13442756375474768
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,MARKET_ONLY,YTD_2026,19,1.0,0.008045397724793783,0.5789473684210527,-0.0005804062146109267,0.10526315789473684,-0.22376588892767002,-0.22441578046633404,0.6842105263157895,0.08596491228070174
