date,universe,positive_abs_breadth,working_breadth,abs_confirmed_breadth,bearish_reverse_breadth,other_positive_abs_breadth,other_working_breadth,spread_dispersion,avg_corr_60d,mom_state,meta_state,momentum_state,momentum_top_abs20,momentum_spread20,revision_state,revision_top_abs20,revision_spread20,value_state,value_top_abs20,value_spread20,flow_state,flow_top_abs20,flow_spread20
2017-12-01,KOSDAQ,1.0,0.5,0.5,0.0,1.0,0.3333333333333333,0.11036048606613016,0.298189718596148,W+,BROAD_CONFIRMATION,W+,0.2641062893256809,0.16435444848341407,W+,0.1133207768325648,0.03536955326113844,R+,0.05657443301081666,-0.04739183676056924,R+,0.09268529715097218,-0.08469198791511667
2017-12-08,KOSDAQ,0.25,0.25,0.25,0.75,0.0,0.0,0.08541573637824927,0.24689978372478083,W+,OTHER,W+,0.10280771549037282,0.09422998601164023,R-,-0.02562732645257404,-0.023496472646269306,R-,-0.02514461811182933,-0.02827485047193279,R-,-0.026730155131691524,-0.11368875966859904
2017-12-15,KOSDAQ,0.25,0.25,0.25,0.25,0.0,0.0,0.060051734724478244,0.15516666531302947,W+,OTHER,W+,0.06844514317826778,0.07558021661796221,N,-0.022258350156247997,-0.006296083048575429,N,-0.033513872756933294,-0.01133441162508797,R-,-0.017776778574093544,-0.07055402876672756
2017-12-22,KOSDAQ,0.0,0.0,0.0,0.75,0.0,0.0,0.04390049603877237,0.1404627782877458,N,OTHER,N,-0.0012025328575018257,0.021308604364912,R-,-0.068296185843986,-0.08026935089033349,R-,-0.05308916444819456,-0.04930511922212111,R-,-0.059435388432046876,-0.05801901053871128
2018-01-03,KOSDAQ,0.5,0.25,0.25,0.5,0.3333333333333333,0.0,0.08932149213939834,0.06987675875516754,W+,OTHER,W+,0.12013325279285625,0.11059668745432516,R-,-0.011608593064769912,-0.09097627426031185,R-,-0.013979725671946608,-0.06382918623457334,R+,0.049324811596263896,-0.017041028312699824
2018-01-10,KOSDAQ,1.0,0.5,0.5,0.0,1.0,0.3333333333333333,0.1362684876367258,0.05319865328370716,W+,BROAD_CONFIRMATION,W+,0.2432254193406611,0.2012563912930312,R+,0.05316536072197664,-0.07192477885258342,R+,0.017573755047461503,-0.09902546085362429,W+,0.12471762582186541,0.03668790382249898
2018-01-17,KOSDAQ,1.0,0.25,0.25,0.0,1.0,0.0,0.09536639383132177,0.06299598634744676,W+,BROAD_CONFIRMATION,W+,0.16896219082186192,0.08626512902427264,R+,0.04345313113088056,-0.11286941339807743,R+,0.05877591673145122,-0.10498965324709397,N,0.12227404394366359,0.005835313008770271
2018-01-24,KOSDAQ,1.0,0.25,0.25,0.0,1.0,0.0,0.11843533504107571,0.05893829113702397,W+,BROAD_CONFIRMATION,W+,0.25545918322687466,0.14491887451589247,R+,0.03480776468761748,-0.11949668992830675,R+,0.06895094409771163,-0.0887861123358431,N,0.1649502153719149,-0.002674917240264696
2018-01-31,KOSDAQ,0.75,0.25,0.25,0.25,0.6666666666666666,0.3333333333333333,0.05682356560941694,0.06693556534573192,N,OTHER,N,0.0967421870784384,0.008476099903024892,R-,-0.010888312344862205,-0.09842478995564696,N,0.06972263269642753,-0.0019872268711207397,W+,0.08296664324182879,0.029807700693954553
2018-02-07,KOSDAQ,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.09624277233508992,0.016732334600653386,R-,MOM_RISK_ROTATION_SUPPORT,R-,-0.06436323482823014,-0.12971572529476627,R-,-0.08696036104785865,-0.08757971614136428,W+,0.05862333790852947,0.06559000726076458,W+,0.0040287992516274684,0.04367306606486587
2018-02-14,KOSDAQ,0.25,0.75,0.25,0.25,0.3333333333333333,1.0,0.06565001473805218,0.005840604757255906,R-,MOM_BROAD_RISK_OFF,R-,-0.03837708092052361,-0.07838117970214797,W-,-0.05426944704489178,0.030366539989496122,W+,0.009815540594107608,0.0647447038856398,W-,-0.010629099028702571,0.05409416107132481
