universe,period,threshold_pct,n_phases,median_delta_cagr,median_delta_excess_cagr,median_delta_sharpe,median_delta_mdd,cagr_better_phases,excess_better_phases
KOSDAQ,EARLY_2017_2019,10.0,10,0.0505421551931895,0.0453976191724873,0.1369753979002484,0.0353523983942726,8,8
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2017_2019,-10.0,10,0.0131280526266716,0.0129353303849455,0.0391048990772854,0.0046766938004461,8,8
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2017_2019,-5.0,10,0.0171209948063419,0.0169161803456692,0.0477745063379743,0.0018098352703888,9,9
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2017_2019,0.0,10,0.0294483941681651,0.0290435095766025,0.0878907226276984,0.0005598086732382,9,9
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2017_2019,5.0,10,0.0270677466302817,0.0267976665232277,0.0797096415994652,-0.0022706638690521,8,8
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2017_2019,10.0,10,0.0391615192316254,0.0387311090416475,0.1201219882247994,0.0026697604018726,7,7
KOSPI_ALL,EARLY_2017_2019,-10.0,10,-0.0031897892996256,-0.0031324458886005,-0.0044068571941886,0.0020520532113421,4,4
KOSPI_ALL,EARLY_2017_2019,-5.0,10,0.0099024801087007,0.0097073875383724,0.0481880918572659,0.0117066430288743,10,10
KOSPI_ALL,EARLY_2017_2019,0.0,10,0.0236756724688532,0.0231790570032561,0.1127448613494331,0.0354149541614858,9,9
KOSPI_ALL,EARLY_2017_2019,5.0,10,0.0340293939492011,0.0333332730405143,0.190176087674237,0.0441874382058716,10,10
KOSPI_ALL,EARLY_2017_2019,10.0,10,0.0473965663327813,0.0463786695524989,0.2730380869303356,0.0635807283973503,8,8
KOSPI_EX_K200,EARLY_2017_2019,-10.0,10,-0.0100583943186279,-0.0102054175773473,-0.0547341880065032,-0.0072931360981463,1,1
KOSPI_EX_K200,EARLY_2017_2019,-5.0,10,-0.0083073944369455,-0.008424440829316,-0.0339811382881008,-0.0025759496852182,4,4
KOSPI_EX_K200,EARLY_2017_2019,0.0,10,0.006976813019407,0.007090304638827,0.0376536014219862,0.0060205182500002,5,5
KOSPI_EX_K200,EARLY_2017_2019,5.0,10,0.0327527253531036,0.0332891904554072,0.2153036832343164,0.0622567727558138,10,10
KOSPI_EX_K200,EARLY_2017_2019,10.0,10,0.0584202314039275,0.0597016764449257,0.353859683218263,0.0895657898358037,10,10
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,-10.0,10,0.007749689407872,0.0075677988113972,0.0214622701935097,0.000482570225461,6,6
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,-5.0,10,0.0173055524133516,0.0169633329481834,0.0531607828953882,-0.000782493343587,8,8
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,0.0,10,0.0294377814034366,0.0287391270978017,0.0841579351513246,0.0109050937374297,8,8
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,5.0,10,0.0266607368070842,0.0260907117236149,0.0827562086401064,0.0065309897782256,7,7
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,10.0,10,0.010639295433941,0.0103921759478484,0.0399375403049913,-0.0017326941712324,8,8
K200,LATE_2020_2022,-10.0,10,0.0125785250286398,0.0125395008967343,0.0665717718926843,-0.0057683037077988,7,7
K200,LATE_2020_2022,-5.0,10,0.0097852078501551,0.0097548498200203,0.0573906349649428,0.000205487108268,7,7
K200,LATE_2020_2022,0.0,10,-0.0199912477345206,-0.0199292260676888,-0.0671608310853888,-0.0006246433739742,3,3
K200,LATE_2020_2022,5.0,10,0.0390924448697478,0.0389711628655651,0.1773867284619212,0.0301545114965737,7,7
K200,LATE_2020_2022,10.0,10,0.0430349389911008,0.0429014256314696,0.1774001673001027,0.0319572967766081,9,9
KOSDAQ,LATE_2020_2022,-10.0,10,-0.0010772118531124,-0.001065539007316,-0.0116460218071062,-0.0021811289859612,5,5
KOSDAQ,LATE_2020_2022,-5.0,10,-0.0031276218189101,-0.0030937303916128,-0.023275331255267,0.0101229374743734,4,4
KOSDAQ,LATE_2020_2022,0.0,10,0.0181189354480447,0.017922595666896,0.0405995742298781,0.0164304835843736,7,7
KOSDAQ,LATE_2020_2022,5.0,10,0.0397540902482927,0.0393233083515582,0.1062532441971369,0.0113084627386637,9,9
KOSDAQ,LATE_2020_2022,10.0,10,0.0833850328522352,0.0824814588454609,0.2337899232027621,0.048965407766722,9,9
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,-10.0,10,0.0071820027250165,0.0070828606017271,0.012546881002751,0.0162097675444433,8,8
