universe,period,threshold_pct,median_cagr,median_mdd,median_sharpe,median_excess_cagr,median_turnover,positive_cagr_phases,positive_excess_phases
KOSPI_EX_K200,EARLY_2017_2019,-5.0,-0.2171130320482248,-0.5921162279289475,-0.8707209622336088,-0.2054200480004346,12.479898092522376,0,0
KOSPI_EX_K200,EARLY_2017_2019,0.0,-0.208989730499018,-0.5846963829855449,-0.827055230084206,-0.195326705355841,12.568428369346556,0,0
KOSPI_EX_K200,EARLY_2017_2019,5.0,-0.1810558103614138,-0.5376520339255942,-0.653103758621822,-0.1674201908392312,11.650007785121346,0,0
KOSPI_EX_K200,EARLY_2017_2019,10.0,-0.1538671357674664,-0.505726370131848,-0.4961744994289937,-0.1392155838265339,8.24267679901573,0,0
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,-10.0,-0.072506662928624,-0.5721501839375815,-0.0434164426957367,-0.0941394784036622,12.932085426894876,0,0
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,-5.0,-0.0624660171202213,-0.5806755266699,-0.0267891999855847,-0.0844334611214334,13.337678460327655,0,0
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,0.0,-0.0562744169851488,-0.566917420847571,0.0039055169261677,-0.0779628986811716,13.819277250081065,0,0
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,5.0,-0.0699833785512767,-0.5602624380533121,-0.0521404841620666,-0.0918943480271156,14.318958998612056,0,0
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,10.0,-0.0799618838214858,-0.579430026061339,-0.0597565767891569,-0.1016116553847862,14.696283552269854,0,0
K200,LATE_2020_2022,-10.0,-0.0812677093268975,-0.506018113612769,-0.1767216697779363,-0.0841180220635799,11.993205645318628,0,0
K200,LATE_2020_2022,-5.0,-0.0685207210732942,-0.5039676180896853,-0.1305630161073188,-0.0714105805891021,12.32763711876171,0,0
K200,LATE_2020_2022,0.0,-0.1018077398267533,-0.4998990468978477,-0.2553051260872493,-0.1045943283304481,12.614443243205251,0,0
K200,LATE_2020_2022,5.0,-0.0597812607775806,-0.4776455398687471,-0.0867808050338025,-0.062698233953423,11.856542249409614,1,0
K200,LATE_2020_2022,10.0,-0.0510674362227635,-0.4534602487371993,-0.0468504556428924,-0.0540114435252685,8.604741727258622,1,1
KOSDAQ,LATE_2020_2022,-10.0,-0.1464566253953501,-0.6330396488972397,-0.2193699252395424,-0.1557057625674109,12.895896139102849,0,0
KOSDAQ,LATE_2020_2022,-5.0,-0.1289932294442449,-0.6153767375176963,-0.1736647570071181,-0.138431602863048,13.196239208468633,0,0
KOSDAQ,LATE_2020_2022,0.0,-0.1046346308372139,-0.6000995325605554,-0.1027863651746006,-0.1143369580591143,13.5703153128813,0,0
KOSDAQ,LATE_2020_2022,5.0,-0.0955659991404405,-0.6186723309788367,-0.0767690539393241,-0.1053665955552395,13.812509197437414,0,0
KOSDAQ,LATE_2020_2022,10.0,-0.0561961953732733,-0.5748516794676213,0.0442218746791126,-0.066423409492941,13.644475382498683,2,1
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,-10.0,-0.0823554053990586,-0.5572523662199357,-0.0266822391310557,-0.0950227959608961,13.347124574739237,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,-5.0,-0.0707744904795118,-0.5552594407185797,-0.0008262638337661,-0.083601746825131,13.490796114909385,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,0.0,-0.0584453933413853,-0.5490482035986672,0.0342456694968058,-0.0714428435612373,13.8122929258761,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,5.0,-0.056136760504274,-0.5529962735856762,0.0424853151138474,-0.0691660796568084,14.080130693216262,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,10.0,-0.0385892713391636,-0.5483684650164393,0.0919595327217693,-0.0518608203265844,14.13860620713371,2,1
KOSPI_ALL,LATE_2020_2022,-10.0,-0.0740894344314592,-0.5125169543568987,-0.0777963768319291,-0.0787366348331062,12.578067793616189,0,0
KOSPI_ALL,LATE_2020_2022,-5.0,-0.0838646074027262,-0.5032877667048821,-0.1023280238839913,-0.0884627456276929,12.753126603206104,0,0
KOSPI_ALL,LATE_2020_2022,0.0,-0.0958983460760277,-0.5089128159507419,-0.1383679580130683,-0.1004360862482287,13.375464147794196,0,0
KOSPI_ALL,LATE_2020_2022,5.0,-0.0733774549676145,-0.493243436571351,-0.0657937229533225,-0.078028228836694,13.400660942446638,2,1
KOSPI_ALL,LATE_2020_2022,10.0,-0.0393070496902397,-0.4762886968652051,0.0461272973521205,-0.0441288249572684,13.001890222939265,3,3
KOSPI_EX_K200,LATE_2020_2022,-10.0,-0.0195523579606274,-0.4893607951310252,0.0977944920731708,-0.0526116537604905,11.610921650368326,2,0
KOSPI_EX_K200,LATE_2020_2022,-5.0,-0.0386298084596488,-0.4837534392003526,0.029409116243807,-0.0710458398442471,12.106134336498195,1,0
KOSPI_EX_K200,LATE_2020_2022,0.0,-0.0358263275434308,-0.4824698775028839,0.0450246366739108,-0.0683368883051257,12.465722597487506,2,0
KOSPI_EX_K200,LATE_2020_2022,5.0,0.0006763982321101,-0.4685859910346048,0.1669152547987405,-0.0330649823685771,12.122010447374455,5,2
KOSPI_EX_K200,LATE_2020_2022,10.0,0.0219762362493024,-0.4454193292586236,0.2309819297394024,-0.0124833445033417,11.450949203108657,6,3
