strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
VETO_LOW10,KOSDAQ,20,YTD_2026,6,0.003454385206851295,-0.005208333333333352,0.003454385206851295,0.0034700102068512956,0.003485635206851295
VETO_LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,49,0.0003639051565127949,0.0021683673469387803,0.0003639051565127949,0.0003574000544719786,0.00035089495243116224
VETO_LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,192,0.0003753702450256183,0.013606770833333337,0.0003753702450256183,0.00033454993252561826,0.0002937296200256183
VETO_LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,149,-9.18109841172837e-05,0.0064177852348993305,-9.18109841172837e-05,-0.00011106433982198172,-0.00013031769552667965
VETO_LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.0008303902563668934,0.008182989690721643,0.0008303902563668934,0.0008058412872947284,0.0007812923182225635
VETO_LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,28,0.00021130459395571344,0.012499999999999997,0.00021130459395571344,0.00017380459395571348,0.00013630459395571367
VETO_LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,25,-0.0002327046227160642,0.0037500000000000046,-0.0002327046227160642,-0.00024395462271606418,-0.00025520462271606424
VETO_LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,96,0.0008421333891400614,0.014583333333333332,0.0008421333891400614,0.0007983833891400614,0.0007546333891400614
VETO_LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,75,-0.00022277136331415315,0.006666666666666674,-0.00022277136331415315,-0.00024277136331415325,-0.00026277136331415325
VETO_LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,48,0.0008593667745577608,0.009375,0.0008593667745577608,0.0008312417745577607,0.0008031167745577609
VETO_LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,13,0.000540897844865927,0.016826923076923073,0.000540897844865927,0.0004904170756351579,0.0004399363064043886
VETO_LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,12,-0.0012669726312789645,0.0,-0.0012669726312789645,-0.0012669726312789645,-0.0012669726312789645
VETO_LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,48,0.001600117707961218,0.006770833333333344,0.001600117707961218,0.0015798052079612178,0.0015594927079612176
VETO_LOW10,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,38,0.00012175028428356163,0.0031249999999999945,0.00012175028428356163,0.00011237528428356162,0.00010300028428356172
