low_cut,universe,horizon,sample,combo_net30,top1_only_net30,low_only_net30,combo_minus_best_component
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,-0.0001298225734266958,3.5220617355821275e-05,-0.00012718103932879153,-0.0001650431907825171
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,0.001558370874394983,0.0011444961082119644,0.0008646559312498226,0.00041387476618301856
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,0.0012749347178305952,0.0009197986894526649,0.0011435415673414348,0.00013139315048916046
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,0.0002631682008980878,-8.486586052771368e-05,0.00010753722688638527,0.00015563097401170254
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,0.0010140976058195395,0.000744091213980118,0.0012404039654338448,-0.00022630635961430525
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,-0.0004928875023391728,0.0003137809364788071,-0.0007658393289656484,-0.0008066684388179799
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,0.0026892301694924794,0.002643298341272403,0.002230023616145088,4.5931828220076645e-05
0.1,K200,5,EARLY_2016_2019,-9.63894314673451e-05,-4.792280616964991e-05,-6.981651245251866e-05,-4.8466625297695194e-05
0.1,K200,5,LATE_2020_2022,-0.0004794765179665336,-0.00011553003903768166,-0.000323301557609314,-0.00036394647892885195
0.1,K200,5,NORMAL_2023_2024,0.00019801082247294775,0.00021905556235661856,-0.00010719811355933751,-2.1044739883670807e-05
0.1,K200,5,BULL_2025,-0.00047347839986030936,0.00026832513752057693,-0.0006327898141112305,-0.0007418035373808863
0.1,K200,5,YTD_2026,0.0008534428516114793,0.0003635030328803852,0.0007713675800801275,8.20752715313518e-05
0.1,K200,10,EARLY_2016_2019,-0.000340851963372001,0.00011425276847998156,-0.00033009422774745307,-0.00045510473185198257
0.1,K200,10,LATE_2020_2022,-0.0008609622017171909,-0.00021321721439091052,-0.0005325103886102273,-0.0006477449873262803
