strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,mean_act5,act5_gt1_share,net_delta_0,net_delta_30,net_delta_60,metric,mean,ci025,ci975,p_gt0
CF20_ACT5_GT1_DIAG,KOSDAQ,5,BULL_2025,49,-0.0009891101344691447,0.32556486880466473,3.1816414172519925,1.0,-0.0009891101344691447,-0.0019658047408831394,-0.0029424993472971324,net_60,-0.0029424993472971324,-0.007033668369560846,0.0014312813665373512,0.09325
CF20_ACT5_GT1_DIAG,KOSDAQ,5,EARLY_2016_2019,192,-0.0007887619312594724,0.3451515997023809,1.8845973442322137,1.0,-0.0007887619312594724,-0.0018242167303666153,-0.002859671529473758,gross_delta,-0.0007887619312594724,-0.0019991560072931047,0.00045545905904476145,0.11375
CF20_ACT5_GT1_DIAG,KOSDAQ,5,EARLY_2016_2019,192,-0.0007887619312594724,0.3451515997023809,1.8845973442322137,1.0,-0.0007887619312594724,-0.0018242167303666153,-0.002859671529473758,net_30,-0.0018242167303666153,-0.0030981718415342657,-0.0005968588113171398,0.00225
CF20_ACT5_GT1_DIAG,KOSDAQ,5,EARLY_2016_2019,192,-0.0007887619312594724,0.3451515997023809,1.8845973442322137,1.0,-0.0007887619312594724,-0.0018242167303666153,-0.002859671529473758,net_60,-0.002859671529473758,-0.004172925914498753,-0.0015553678104324462,0.0
CF20_ACT5_GT1_DIAG,KOSDAQ,5,LATE_2020_2022,149,-0.0010648416659222648,0.32726510067114095,2.320916840992377,1.0,-0.0010648416659222648,-0.0020466369679356874,-0.0030284322699491097,gross_delta,-0.0010648416659222648,-0.002879299344935284,0.0006583451231634236,0.11175
CF20_ACT5_GT1_DIAG,KOSDAQ,5,LATE_2020_2022,149,-0.0010648416659222648,0.32726510067114095,2.320916840992377,1.0,-0.0010648416659222648,-0.0020466369679356874,-0.0030284322699491097,net_30,-0.0020466369679356874,-0.003937914654461869,-0.0003496986284840797,0.00975
CF20_ACT5_GT1_DIAG,KOSDAQ,5,LATE_2020_2022,149,-0.0010648416659222648,0.32726510067114095,2.320916840992377,1.0,-0.0010648416659222648,-0.0020466369679356874,-0.0030284322699491097,net_60,-0.0030284322699491097,-0.00489975805277925,-0.0012134219194223903,0.00025
CF20_ACT5_GT1_DIAG,KOSDAQ,5,NORMAL_2023_2024,97,0.0019278650446803126,0.3255522827687776,2.8726444605569017,1.0,0.0019278650446803126,0.0009512081963739797,-2.5448651932353077e-05,gross_delta,0.0019278650446803126,-0.0006064828500755195,0.004433933066170552,0.9295
CF20_ACT5_GT1_DIAG,KOSDAQ,5,NORMAL_2023_2024,97,0.0019278650446803126,0.3255522827687776,2.8726444605569017,1.0,0.0019278650446803126,0.0009512081963739797,-2.5448651932353077e-05,net_30,0.0009512081963739797,-0.0015483344457519629,0.003636229612018803,0.76075
CF20_ACT5_GT1_DIAG,KOSDAQ,5,NORMAL_2023_2024,97,0.0019278650446803126,0.3255522827687776,2.8726444605569017,1.0,0.0019278650446803126,0.0009512081963739797,-2.5448651932353077e-05,net_60,-2.5448651932353077e-05,-0.0025815374590828512,0.0027525960351878387,0.48325
CF20_ACT5_GT1_DIAG,KOSDAQ,5,YTD_2026,28,-1.1413777275134432e-05,0.2949936224489796,2.1934490721729296,1.0,-1.1413777275134432e-05,-0.0008963946446220722,-0.001781375511969012,gross_delta,-1.1413777275134432e-05,-0.007123460383862327,0.007440563767720783,0.49725
CF20_ACT5_GT1_DIAG,KOSDAQ,5,YTD_2026,28,-1.1413777275134432e-05,0.2949936224489796,2.1934490721729296,1.0,-1.1413777275134432e-05,-0.0008963946446220722,-0.001781375511969012,net_30,-0.0008963946446220722,-0.007883594866220145,0.006552957099824959,0.39375
CF20_ACT5_GT1_DIAG,KOSDAQ,5,YTD_2026,28,-1.1413777275134432e-05,0.2949936224489796,2.1934490721729296,1.0,-1.1413777275134432e-05,-0.0008963946446220722,-0.001781375511969012,net_60,-0.001781375511969012,-0.00896830499540895,0.005422390816095419,0.3105
CF20_ACT5_GT1_DIAG,KOSDAQ,10,BULL_2025,25,0.0031995668124754186,0.3125,3.794624941803323,1.0,0.0031995668124754186,0.0022620668124754186,0.0013245668124754182,gross_delta,0.0031995668124754186,-0.004121873732944965,0.010891499737477973,0.798
CF20_ACT5_GT1_DIAG,KOSDAQ,10,BULL_2025,25,0.0031995668124754186,0.3125,3.794624941803323,1.0,0.0031995668124754186,0.0022620668124754186,0.0013245668124754182,net_30,0.0022620668124754186,-0.005409170769680705,0.010128680600322395,0.712
CF20_ACT5_GT1_DIAG,KOSDAQ,10,BULL_2025,25,0.0031995668124754186,0.3125,3.794624941803323,1.0,0.0031995668124754186,0.0022620668124754186,0.0013245668124754182,net_60,0.0013245668124754182,-0.006107878835983694,0.008958413673958431,0.64175
CF20_ACT5_GT1_DIAG,KOSDAQ,10,EARLY_2016_2019,96,0.00019250881605659118,0.3426897321428572,1.8817425008884812,1.0,0.00019250881605659118,-0.0008355603803719803,-0.0018636295768005514,gross_delta,0.00019250881605659118,-0.0022894959643706405,0.002618698057989734,0.561
