strategy,universe,horizon,sample,family,n_dates,gross_delta,positive_date_rate
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,YTD_2026,FLOW,28,0.005446422019927239,0.5714285714285714
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,YTD_2026,MOMENTUM,28,0.0029429725723751315,0.5357142857142857
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,YTD_2026,REVISION,28,0.003675546708913094,0.6071428571428571
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,YTD_2026,VALUE,28,0.0012967017898296769,0.5357142857142857
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,BULL_2025,FLOW,25,-4.442518408863616e-05,0.48
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,BULL_2025,MOMENTUM,25,-0.0016219537869476533,0.44
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,BULL_2025,REVISION,25,-0.00010156124750528738,0.48
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,BULL_2025,VALUE,25,-0.005727909154741454,0.36
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,EARLY_2016_2019,FLOW,96,-0.002723110157016735,0.40625
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,EARLY_2016_2019,MOMENTUM,96,-0.00399263093937713,0.3854166666666667
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,EARLY_2016_2019,REVISION,96,-0.001661266940324605,0.46875
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,EARLY_2016_2019,VALUE,96,0.00022392112884566444,0.4895833333333333
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,LATE_2020_2022,FLOW,75,-0.0037776830711919863,0.4666666666666667
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,LATE_2020_2022,MOMENTUM,75,-0.0021183327109401133,0.44
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,LATE_2020_2022,REVISION,75,-0.003032287546475,0.4266666666666667
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,LATE_2020_2022,VALUE,75,-0.0029004031791457618,0.38666666666666666
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,NORMAL_2023_2024,FLOW,48,0.00024648920790527564,0.4166666666666667
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,NORMAL_2023_2024,MOMENTUM,48,-0.0005962325508447586,0.4583333333333333
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,NORMAL_2023_2024,REVISION,48,0.000703823530790852,0.5416666666666666
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,NORMAL_2023_2024,VALUE,48,-0.002565022302681279,0.4375
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,YTD_2026,FLOW,13,0.01038034197173318,0.6153846153846154
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,YTD_2026,MOMENTUM,13,0.010694659706772172,0.6923076923076923
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,YTD_2026,REVISION,13,-0.0031312218155040627,0.5384615384615384
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,YTD_2026,VALUE,13,0.005438170486037895,0.6153846153846154
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,BULL_2025,FLOW,49,-0.0006380083988759274,0.5306122448979592
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,BULL_2025,MOMENTUM,49,-0.00010157125593175935,0.5714285714285714
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,BULL_2025,REVISION,44,-0.0020869607403899934,0.4318181818181818
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,BULL_2025,VALUE,45,-0.0005367262841489201,0.4444444444444444
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,EARLY_2016_2019,FLOW,192,-0.000907907093268287,0.484375
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,EARLY_2016_2019,MOMENTUM,192,0.0007882422891300683,0.5416666666666666
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,EARLY_2016_2019,REVISION,173,-0.0006356585442410003,0.44508670520231214
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,EARLY_2016_2019,VALUE,178,-1.1652249665309832e-05,0.5056179775280899
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,LATE_2020_2022,FLOW,148,-0.0013924684776760593,0.43243243243243246
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,LATE_2020_2022,MOMENTUM,148,0.00035228399699400396,0.5135135135135135
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,LATE_2020_2022,REVISION,135,-0.0013798259942910335,0.4666666666666667
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,LATE_2020_2022,VALUE,136,0.0006766342285249036,0.5661764705882353
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,NORMAL_2023_2024,FLOW,97,-0.0010065779004098338,0.5051546391752577
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,NORMAL_2023_2024,MOMENTUM,97,0.0011073356901387865,0.5154639175257731
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,NORMAL_2023_2024,REVISION,91,0.0010684583191187154,0.4945054945054945
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,NORMAL_2023_2024,VALUE,92,0.00019959486736157028,0.42391304347826086
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,YTD_2026,FLOW,28,0.006606661022287398,0.6428571428571429
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,YTD_2026,MOMENTUM,28,0.0035147860661534054,0.6071428571428571
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,YTD_2026,REVISION,22,0.00015950102727696418,0.36363636363636365
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,YTD_2026,VALUE,22,-0.0009370022376730872,0.36363636363636365
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,10,BULL_2025,FLOW,25,0.00025612472482333166,0.56
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,10,BULL_2025,MOMENTUM,25,-0.0036556054495367656,0.44
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,10,BULL_2025,REVISION,22,0.00320917180860654,0.5454545454545454
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,10,BULL_2025,VALUE,22,0.0004334218071209689,0.36363636363636365
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,10,EARLY_2016_2019,FLOW,96,-0.002598147824217509,0.4270833333333333
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,10,EARLY_2016_2019,MOMENTUM,96,-0.0010983883356735448,0.4895833333333333
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,10,EARLY_2016_2019,REVISION,87,-0.0031328182627199945,0.41379310344827586
