universe,predictor,target,era,n,discovery_ic,direction,raw_ic,directed_ic,frozen_q1,frozen_q2,directed_high_low,n_low,n_high
KOSDAQ_PLUS_KOSPI_EX_K200,rank_agreement_20_60,future_dispersion20,STRESS_2026,25,-0.06590200840163239,-1,-0.5566530386427571,0.5566530386427571,0.4285714285714286,0.7380952380952381,0.048242950628597354,8,14
KOSDAQ_PLUS_KOSPI_EX_K200,current_cross_universe_coherence,future_dispersion20,DISCOVERY_2016_2019,184,-0.1404562891016798,-1,-0.1404562891016798,0.1404562891016798,0.5952380952380953,0.7619047619047621,0.00538342161328844,66,62
KOSDAQ_PLUS_KOSPI_EX_K200,current_cross_universe_coherence,future_dispersion20,VALIDATION_2020_2022,149,-0.1404562891016798,-1,-0.005461124862349168,0.005461124862349168,0.5952380952380953,0.7619047619047621,-2.8328697018964455e-05,55,44
KOSDAQ_PLUS_KOSPI_EX_K200,current_cross_universe_coherence,future_dispersion20,CONFIRM_2023_2024,97,-0.1404562891016798,-1,0.2528396239711861,-0.2528396239711861,0.5952380952380953,0.7619047619047621,-0.008523629530925857,46,34
KOSDAQ_PLUS_KOSPI_EX_K200,current_cross_universe_coherence,future_dispersion20,STRESS_2025,49,-0.1404562891016798,-1,0.011748188067775549,-0.011748188067775549,0.5952380952380953,0.7619047619047621,-0.0025330075668412028,19,21
KOSDAQ_PLUS_KOSPI_EX_K200,current_cross_universe_coherence,future_dispersion20,STRESS_2026,25,-0.1404562891016798,-1,-0.31365890136625685,0.31365890136625685,0.5952380952380953,0.7619047619047621,0.008577178185985232,10,12
KOSPI_ALL,dispersion20,future_dispersion20,DISCOVERY_2016_2019,184,0.13834832694419294,1,0.13834832694419294,0.13834832694419294,0.0234955905543191,0.0312443878295491,0.003004734364087335,62,62
KOSPI_ALL,dispersion20,future_dispersion20,VALIDATION_2020_2022,149,0.13834832694419294,1,0.2360058044621803,0.2360058044621803,0.0234955905543191,0.0312443878295491,0.007025778050287625,31,80
KOSPI_ALL,dispersion20,future_dispersion20,CONFIRM_2023_2024,97,0.13834832694419294,1,0.027245949926362298,0.027245949926362298,0.0234955905543191,0.0312443878295491,0.0008036321616141373,27,49
KOSPI_ALL,dispersion20,future_dispersion20,STRESS_2025,49,0.13834832694419294,1,-0.10867346938775509,-0.10867346938775509,0.0234955905543191,0.0312443878295491,-0.01322190134572742,8,30
KOSPI_ALL,dispersion20,future_dispersion20,STRESS_2026,25,0.13834832694419294,1,-0.22692307692307692,-0.22692307692307692,0.0234955905543191,0.0312443878295491,,1,23
KOSPI_ALL,abs_opportunity20,future_dispersion20,DISCOVERY_2016_2019,184,0.0871703492516037,1,0.0871703492516037,0.0871703492516037,0.0202870327124514,0.0288413749082928,0.0015786132939262787,62,62
KOSPI_ALL,abs_opportunity20,future_dispersion20,VALIDATION_2020_2022,149,0.0871703492516037,1,0.11662978414656269,0.11662978414656269,0.0202870327124514,0.0288413749082928,0.006888214029948377,28,77
KOSPI_ALL,abs_opportunity20,future_dispersion20,CONFIRM_2023_2024,97,0.0871703492516037,1,0.07956816747317483,0.07956816747317483,0.0202870327124514,0.0288413749082928,0.0004665516355789878,21,51
KOSPI_ALL,abs_opportunity20,future_dispersion20,STRESS_2025,49,0.0871703492516037,1,-0.26846938775510204,-0.26846938775510204,0.0202870327124514,0.0288413749082928,-0.02642370244311014,6,33
KOSPI_ALL,abs_opportunity20,future_dispersion20,STRESS_2026,25,0.0871703492516037,1,-0.18461538461538463,-0.18461538461538463,0.0202870327124514,0.0288413749082928,,1,19
KOSPI_ALL,range20,future_dispersion20,DISCOVERY_2016_2019,184,0.15646009516287493,1,0.15646009516287493,0.15646009516287493,0.0693715831369697,0.0934594493044733,0.004413088009977997,62,62
KOSPI_ALL,range20,future_dispersion20,VALIDATION_2020_2022,149,0.15646009516287493,1,0.23726827498639577,0.23726827498639577,0.0693715831369697,0.0934594493044733,0.00851437732737801,32,77
KOSPI_ALL,range20,future_dispersion20,CONFIRM_2023_2024,97,0.15646009516287493,1,0.023905954134231012,0.023905954134231012,0.0693715831369697,0.0934594493044733,-0.0021754636159034557,29,45
KOSPI_ALL,range20,future_dispersion20,STRESS_2025,49,0.15646009516287493,1,-0.08193877551020406,-0.08193877551020406,0.0693715831369697,0.0934594493044733,-0.004481721917274972,8,31
KOSPI_ALL,range20,future_dispersion20,STRESS_2026,25,0.15646009516287493,1,-0.17923076923076922,-0.17923076923076922,0.0693715831369697,0.0934594493044733,,1,24
KOSPI_ALL,breadth20,future_dispersion20,DISCOVERY_2016_2019,184,-0.021495948394478465,-1,-0.021495948394478465,0.021495948394478465,0.5,0.625,-0.001248108406211191,83,101
