universe,target,model,sample,n,event_rate,brier,logloss,auc
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FSUB_FB20,TRAIN_2016_2022,328,0.31402439024390244,0.20657857039160912,0.6011896145970743,0.622588996763754
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FSUB_FB20,OOS_2023_2024,96,0.34375,0.25416774351579,0.7102748226364602,0.3569023569023569
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FSUB_FB20,BULL_2025,49,0.16326530612244897,0.16784913417212394,0.5229696667932593,0.5182926829268293
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FSUB_FB20,YTD_2026,19,0.6842105263157895,0.37955835581208963,0.9863461078885244,0.22435897435897437
KOSPI_ALL,TARGET_NEXT_B_DOWN,B_ONLY,TRAIN_2016_2022,328,0.14329268292682926,0.10980483316994633,0.3521812025652774,0.7475581131218293
KOSPI_ALL,TARGET_NEXT_B_DOWN,B_ONLY,OOS_2023_2024,97,0.13402061855670103,0.09541392578530827,0.30829917386575695,0.8186813186813187
KOSPI_ALL,TARGET_NEXT_B_DOWN,B_ONLY,BULL_2025,49,0.08163265306122448,0.09541755788683504,0.33790144809070355,0.6194444444444445
KOSPI_ALL,TARGET_NEXT_B_DOWN,B_ONLY,YTD_2026,21,0.19047619047619047,0.16529718281655015,0.5143479717078622,0.5
KOSPI_ALL,TARGET_NEXT_B_DOWN,B_FSUB,TRAIN_2016_2022,328,0.14329268292682926,0.10920445229097041,0.3482902465963879,0.7628151737714848
KOSPI_ALL,TARGET_NEXT_B_DOWN,B_FSUB,OOS_2023_2024,97,0.13402061855670103,0.09373156041389263,0.29675941875084305,0.8502747252747253
KOSPI_ALL,TARGET_NEXT_B_DOWN,B_FSUB,BULL_2025,49,0.08163265306122448,0.09449174644709367,0.3297539377600237,0.7111111111111111
KOSPI_ALL,TARGET_NEXT_B_DOWN,B_FSUB,YTD_2026,21,0.19047619047619047,0.17551066812667124,0.5564563011378896,0.33088235294117646
KOSPI_ALL,TARGET_NEXT_B_DOWN,B_FB20,TRAIN_2016_2022,328,0.14329268292682926,0.10971788959134184,0.3502670615106022,0.7538048004845915
KOSPI_ALL,TARGET_NEXT_B_DOWN,B_FB20,OOS_2023_2024,97,0.13402061855670103,0.09508246032339923,0.30625414616289015,0.8342490842490843
KOSPI_ALL,TARGET_NEXT_B_DOWN,B_FB20,BULL_2025,49,0.08163265306122448,0.0959286040333208,0.3403256986192825,0.5361111111111111
KOSPI_ALL,TARGET_NEXT_B_DOWN,B_FB20,YTD_2026,21,0.19047619047619047,0.1650462967007369,0.5169528251072683,0.7279411764705882
KOSPI_ALL,TARGET_NEXT_B_DOWN,B_FSUB_FB20,TRAIN_2016_2022,328,0.14329268292682926,0.10937346881608694,0.3486688854861186,0.7659953055198001
KOSPI_ALL,TARGET_NEXT_B_DOWN,B_FSUB_FB20,OOS_2023_2024,97,0.13402061855670103,0.09373179121767215,0.30072702097503967,0.8626373626373627
KOSPI_ALL,TARGET_NEXT_B_DOWN,B_FSUB_FB20,BULL_2025,49,0.08163265306122448,0.09723687625239853,0.34117996167081466,0.7222222222222222
KOSPI_ALL,TARGET_NEXT_B_DOWN,B_FSUB_FB20,YTD_2026,21,0.19047619047619047,0.17433838370619453,0.5478350765424758,0.3382352941176471
KOSPI_ALL,TARGET_MKT_NEG20,B_ONLY,TRAIN_2016_2022,328,0.4451219512195122,0.24484964976978557,0.6827958073942326,0.545292036730393
KOSPI_ALL,TARGET_MKT_NEG20,B_ONLY,OOS_2023_2024,97,0.4329896907216495,0.23961667300072081,0.6722648295277,0.5517316017316017
KOSPI_ALL,TARGET_MKT_NEG20,B_ONLY,BULL_2025,49,0.22448979591836735,0.24110322544986684,0.6750991201705963,0.4665071770334928
KOSPI_ALL,TARGET_MKT_NEG20,B_ONLY,YTD_2026,21,0.38095238095238093,0.25949859185080065,0.7122315482590157,0.40384615384615385
KOSPI_ALL,TARGET_MKT_NEG20,B_FSUB,TRAIN_2016_2022,328,0.4451219512195122,0.24369677090803343,0.6804224157195029,0.5648238747553816
KOSPI_ALL,TARGET_MKT_NEG20,B_FSUB,OOS_2023_2024,97,0.4329896907216495,0.24432659624802397,0.6818075739796102,0.5487012987012987
KOSPI_ALL,TARGET_MKT_NEG20,B_FSUB,BULL_2025,49,0.22448979591836735,0.24551102115337903,0.6838720135164735,0.4533492822966507
KOSPI_ALL,TARGET_MKT_NEG20,B_FSUB,YTD_2026,21,0.38095238095238093,0.2720736429341982,0.7378608231455934,0.3317307692307692
KOSPI_ALL,TARGET_MKT_NEG20,B_FB20,TRAIN_2016_2022,328,0.4451219512195122,0.24327456515359552,0.6795638022336488,0.5688506698780671
KOSPI_ALL,TARGET_MKT_NEG20,B_FB20,OOS_2023_2024,97,0.4329896907216495,0.24082283658491868,0.6744619671077184,0.5967532467532467
KOSPI_ALL,TARGET_MKT_NEG20,B_FB20,BULL_2025,49,0.22448979591836735,0.24400673054273983,0.6806022958135644,0.4557416267942584
KOSPI_ALL,TARGET_MKT_NEG20,B_FB20,YTD_2026,21,0.38095238095238093,0.27549378551094494,0.7448070912924504,0.2644230769230769
KOSPI_ALL,TARGET_MKT_NEG20,B_FSUB_FB20,TRAIN_2016_2022,328,0.4451219512195122,0.24310489914849204,0.6792252737335057,0.5706758994430228
KOSPI_ALL,TARGET_MKT_NEG20,B_FSUB_FB20,OOS_2023_2024,97,0.4329896907216495,0.24559743553771754,0.6843401897271174,0.5002164502164502
