universe,factor,overlay,cost_bp,period,n_phases,median_delta_return,median_delta_sharpe,median_delta_mdd,median_delta_turnover,return_wins
K200,WEIGHTED_MOM,MCAP_W10,30,BULL_2025,10,0.1250305060465119,0.15240257324784856,-0.011048633358678672,-0.02604166666666663,10
K200,WEIGHTED_MOM,MCAP_W10,30,EARLY_2017_2019,10,-6.612986570841972e-06,-0.005573589393176259,-0.009065374514884483,-0.008219178082191747,5
K200,WEIGHTED_MOM,MCAP_W10,30,LATE_2020_2022,10,0.0018683308666838094,0.009811559253273927,-0.017594626076204156,-0.012414414414414487,6
K200,WEIGHTED_MOM,MCAP_W10,30,NORMAL_2023_2024,10,0.01104304757035729,0.05705765091363487,0.003157412349592159,-0.007142857142857145,7
K200,WEIGHTED_MOM,MCAP_W10,30,PRE_STRESS_2017_2024,10,0.002140252347628102,0.00023997418650961722,0.002337469283775373,-0.008673469387755123,7
K200,WEIGHTED_MOM,MCAP_W10,30,YTD_2026,10,0.04367231569790475,0.04703128834724718,-0.007446920559782577,-0.025833333333333347,5
K200,WEIGHTED_MOM,MCAP_W10,60,BULL_2025,10,0.12474631271359082,0.15973923391990452,-0.011181178125869329,-0.02604166666666663,10
K200,WEIGHTED_MOM,MCAP_W10,60,EARLY_2017_2019,10,0.0004871933488547753,-0.006186328300097188,-0.009485222697276918,-0.008219178082191747,5
K200,WEIGHTED_MOM,MCAP_W10,60,LATE_2020_2022,10,0.0025257999252561447,0.013494963127050008,-0.01892412047789399,-0.012414414414414487,6
K200,WEIGHTED_MOM,MCAP_W10,60,NORMAL_2023_2024,10,0.011309911994575206,0.056315264125543774,0.005307595004220289,-0.007142857142857145,7
K200,WEIGHTED_MOM,MCAP_W10,60,PRE_STRESS_2017_2024,10,0.0028730470926923712,-0.00020363657170266447,0.0036850247906617395,-0.008673469387755123,7
K200,WEIGHTED_MOM,MCAP_W10,60,YTD_2026,10,0.04507655705597263,0.05427401257355924,-0.006990393430693687,-0.025833333333333347,5
K200,WEIGHTED_MOM,RAW_TA_W10,30,BULL_2025,10,0.1107289123168198,0.0777337975356116,-0.000338892161014237,-0.020833333333333287,10
K200,WEIGHTED_MOM,RAW_TA_W10,30,EARLY_2017_2019,10,0.005952132821226475,0.057924547420052985,-0.0035646823118475335,-0.00684931506849315,6
K200,WEIGHTED_MOM,RAW_TA_W10,30,LATE_2020_2022,10,0.012623734884728843,0.06241485464843216,-0.009114550025097867,-0.003031531531531545,6
K200,WEIGHTED_MOM,RAW_TA_W10,30,NORMAL_2023_2024,10,-0.00247943739619233,-0.011168737587478578,-0.008191503257996224,0.0056122448979591955,5
K200,WEIGHTED_MOM,RAW_TA_W10,30,PRE_STRESS_2017_2024,10,0.0014549822296750503,0.011265245636697604,0.007036265334069203,-0.0028061224489795977,5
K200,WEIGHTED_MOM,RAW_TA_W10,30,YTD_2026,10,-0.03488884982963847,-0.05113691721860547,-0.017314134920755453,-0.008333333333333387,4
