universe,factor,overlay,phase,cost_bp,period,ann_return,sharpe,mdd,avg_turnover
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,0,60,YTD_2026,1.4724584370283096,2.446496775071518,-0.1160022124807859,0.5392857142857143
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,1,30,PRE_STRESS_2017_2024,-0.09969723853229995,-0.47700464302677886,-0.5629418967405434,0.6124338624338624
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,1,30,EARLY_2017_2019,-0.1362190240607305,-0.8246054437446185,-0.4201670058452801,0.614788732394366
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,1,30,LATE_2020_2022,-0.07888165119448431,-0.2897732600470164,-0.4571527707981442,0.6260869565217392
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,1,30,NORMAL_2023_2024,-0.07430103837310564,-0.33599917464700324,-0.3100189152629268,0.5897959183673469
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,1,30,BULL_2025,0.5976729168680053,1.4168116205778705,-0.16175153847815793,0.5708333333333333
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,1,30,YTD_2026,1.6683177793416597,2.3954263701735212,-0.09604658354147155,0.5357142857142857
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,1,60,PRE_STRESS_2017_2024,-0.1406485537368749,-0.7284155828722623,-0.6857378784539424,0.6124338624338624
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,1,60,EARLY_2017_2019,-0.1757220452543583,-1.1127511603718616,-0.4765117594677415,0.614788732394366
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,1,60,LATE_2020_2022,-0.12158937608731757,-0.5170623596589397,-0.4963341991459719,0.6260869565217392
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,1,60,NORMAL_2023_2024,-0.11492935573680474,-0.5802936188749201,-0.32767764451400794,0.5897959183673469
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,1,60,BULL_2025,0.5312660467290233,1.3044693197810817,-0.16502319667070253,0.5708333333333333
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,1,60,YTD_2026,1.5652145489596525,2.304657724065382,-0.09933475239978384,0.5357142857142857
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,2,30,PRE_STRESS_2017_2024,-0.09233723202609123,-0.3829873313589067,-0.571605031151862,0.6066137566137566
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,2,30,EARLY_2017_2019,-0.10889154788513977,-0.6127616894141938,-0.4035647812205043,0.6041666666666665
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,2,30,LATE_2020_2022,-0.08479575769028924,-0.28599871250958786,-0.4712855193457546,0.6183823529411764
