variant,universe,strategy,factor,period,return_type,median_cagr,median_sharpe,median_mdd,median_calmar,median_annual_turnover,min_cagr,max_cagr,positive_cagr_phases,n_phases
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,FULL_2016_2026,NET30,0.11529780426143255,0.5376645849864219,-0.496659010325906,0.22853757271400044,13.931035992490255,0.06767520111060055,0.1466308978269928,10,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,FULL_2016_2026,NET60,0.06926802097509621,0.3827857309802851,-0.5112576741991126,0.13585409435174128,13.931035992490255,0.023850988767953663,0.09940973818386367,10,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,LATE_2020_2022,GROSS,0.16418540391774028,0.6644437863265009,-0.45077497634823693,0.35252117596667565,14.112286880314848,0.10514680892335693,0.2113652937849706,10,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,LATE_2020_2022,NET30,0.11604885353115213,0.5206644478923539,-0.45416204322123305,0.24892222350988402,14.112286880314848,0.05906868276294297,0.1608786944750129,10,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,LATE_2020_2022,NET60,0.06982120474301301,0.37694449330431556,-0.45796348871079984,0.14978495512387643,14.112286880314848,0.014832484758363407,0.11242202589919037,10,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,NORMAL_2023_2024,GROSS,0.07235997219697998,0.41895344496679143,-0.27713226148128794,0.2606526747905602,14.15514421497408,0.013881252454929216,0.17068023857484782,10,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,NORMAL_2023_2024,NET30,0.028001058357939423,0.23602366706564284,-0.29037507068483615,0.09591989715852356,14.15514421497408,-0.028881337750381375,0.1231537294501055,7,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,NORMAL_2023_2024,NET60,-0.0145995435876915,0.054114548579148644,-0.3033977102016159,-0.048633251200518895,14.15514421497408,-0.06991418453601761,0.07747555980595289,3,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,PRE_STRESS_2016_2024,GROSS,0.1291773625500584,0.6280869056925242,-0.46795333341696616,0.27406636860930156,13.764491089121034,0.08950743440278797,0.147455630195078,10,10
MIXED_OPFY1_BASE,KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,OPFY1_REV,PRE_STRESS_2016_2024,NET30,0.08339718333451351,0.45505995312448905,-0.4707116447800711,0.17220193385065022,13.764491089121034,0.045300158713750704,0.10099692900101354,10,10
