date,period,universe,strategy,cost_bps,gross_return,net_return,turnover
2024-11-18,CONF_2023_2024,K200,EW8,0,0.022508265893767074,0.022508265893767074,0.0
2024-11-25,CONF_2023_2024,K200,EW8,0,-0.009243201415335826,-0.009243201415335826,0.0
2024-12-02,CONF_2023_2024,K200,EW8,0,0.010605503700399612,0.010605503700399612,0.0
2024-12-09,CONF_2023_2024,K200,EW8,0,0.007203658557090525,0.007203658557090525,0.0
2024-12-16,CONF_2023_2024,K200,EW8,0,-0.028293987589064627,-0.028293987589064627,0.0
2024-12-23,CONF_2023_2024,K200,EW8,0,0.012507958077744036,0.012507958077744036,0.0
2025-01-02,STRESS_2025,K200,EW8,0,-0.003744897185510937,-0.003744897185510937,0.0
2025-01-09,STRESS_2025,K200,EW8,0,0.0001899141560346134,0.0001899141560346134,0.0
2025-01-16,STRESS_2025,K200,EW8,0,0.008271611880587974,0.008271611880587974,0.0
2025-01-23,STRESS_2025,K200,EW8,0,0.012326759391548987,0.012326759391548987,0.0
2025-02-05,STRESS_2025,K200,EW8,0,-0.0035443592654360373,-0.0035443592654360373,0.0
2025-02-12,STRESS_2025,K200,EW8,0,0.005087055909110625,0.005087055909110625,0.0
2025-02-19,STRESS_2025,K200,EW8,0,-0.004457035642698923,-0.004457035642698923,0.0
2025-02-26,STRESS_2025,K200,EW8,0,-0.009763016567820438,-0.009763016567820438,0.0
2025-03-06,STRESS_2025,K200,EW8,0,0.02472900361863,0.02472900361863,0.0
2025-03-13,STRESS_2025,K200,EW8,0,-0.0041009598972038385,-0.0041009598972038385,0.0
2025-03-20,STRESS_2025,K200,EW8,0,0.004452623945673801,0.004452623945673801,0.0
2025-03-27,STRESS_2025,K200,EW8,0,0.003569680656902864,0.003569680656902864,0.0
2025-04-03,STRESS_2025,K200,EW8,0,0.025326415448391214,0.025326415448391214,0.0
2025-04-10,STRESS_2025,K200,EW8,0,-0.012030178225237775,-0.012030178225237775,0.0
2025-04-17,STRESS_2025,K200,EW8,0,0.01012121170124285,0.01012121170124285,0.0
2025-04-24,STRESS_2025,K200,EW8,0,-0.005273049547200187,-0.005273049547200187,0.0
2025-05-02,STRESS_2025,K200,EW8,0,0.01788561876582035,0.01788561876582035,0.0
2025-05-13,STRESS_2025,K200,EW8,0,0.020801862340164713,0.020801862340164713,0.0
2025-05-20,STRESS_2025,K200,EW8,0,0.028198720558690337,0.028198720558690337,0.0
2025-05-27,STRESS_2025,K200,EW8,0,0.019583213797395728,0.019583213797395728,0.0
2025-06-04,STRESS_2025,K200,EW8,0,0.019344280384158974,0.019344280384158974,0.0
2025-06-12,STRESS_2025,K200,EW8,0,-0.008967010022143411,-0.008967010022143411,0.0
2025-06-19,STRESS_2025,K200,EW8,0,0.0252479785515142,0.0252479785515142,0.0
2025-06-26,STRESS_2025,K200,EW8,0,0.01434502152060826,0.01434502152060826,0.0
2025-07-03,STRESS_2025,K200,EW8,0,-0.004818250852093003,-0.004818250852093003,0.0
2025-07-10,STRESS_2025,K200,EW8,0,0.016042384071969413,0.016042384071969413,0.0
2025-07-17,STRESS_2025,K200,EW8,0,0.0026655771045186495,0.0026655771045186495,0.0
2025-07-24,STRESS_2025,K200,EW8,0,-0.019444652219736774,-0.019444652219736774,0.0
2025-07-31,STRESS_2025,K200,EW8,0,-0.012428766806946113,-0.012428766806946113,0.0
2025-08-07,STRESS_2025,K200,EW8,0,-0.012109702140301463,-0.012109702140301463,0.0
2025-08-14,STRESS_2025,K200,EW8,0,-0.018902660343977324,-0.018902660343977324,0.0
2025-08-22,STRESS_2025,K200,EW8,0,-8.452093541712075e-06,-8.452093541712075e-06,0.0
2025-08-29,STRESS_2025,K200,EW8,0,0.019837815298046575,0.019837815298046575,0.0
2025-09-05,STRESS_2025,K200,EW8,0,-0.0012381682087885502,-0.0012381682087885502,0.0
2025-09-12,STRESS_2025,K200,EW8,0,0.007128609787869113,0.007128609787869113,0.0
2025-09-19,STRESS_2025,K200,EW8,0,0.008362459696030387,0.008362459696030387,0.0
2025-09-26,STRESS_2025,K200,EW8,0,-0.0021778418360931624,-0.0021778418360931624,0.0
