universe,period,rule,n,win_rate,mean5,median5,cagr,mdd,worst5,mean_excess,beat_mkt
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,B2_F_LOW_MARKET,49,0.6938775510204082,0.011418184458231204,0.010907942184396,0.7304457878889385,-0.06700786317745633,-0.0321101642876658,0.004651066353016422,0.6122448979591837
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,B2_F_LOW_MARKET,19,0.5789473684210527,0.0076009369292143,0.0087157622693863,0.25539287081151607,-0.24525878618701202,-0.1387290815705174,0.0018180120106943793,0.3684210526315789
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B2_F_LOW_MARKET,328,0.5884146341463414,0.0014802442960671599,0.00465725109933725,0.047853546408442194,-0.37744797426044807,-0.1795414963672664,0.001626881710807367,0.5152439024390244
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,B2_F_LOW_MARKET,96,0.5625,0.0009826403277180137,0.002001026369077,0.023902190477875118,-0.3186428101108486,-0.119514170924694,0.0005968028712093002,0.4375
KOSPI_ALL,STRESS_2025,B2_F_LOW_MARKET,49,0.6530612244897959,0.009085515328036862,0.0100276814354954,0.5415070121430179,-0.07471274392643379,-0.0471882838165168,-0.004537622464145304,0.42857142857142855
KOSPI_ALL,STRESS_2026,B2_F_LOW_MARKET,21,0.5238095238095238,0.010547283310459768,0.0021893956571574,0.4503520445048599,-0.20010222935679756,-0.1028297644163698,-0.012128272004576572,0.42857142857142855
KOSPI_ALL,TRAIN_2016_2022,B2_F_LOW_MARKET,328,0.5701219512195121,0.0013435339747529665,0.0043746394302911495,0.05089951425026373,-0.4347973738191607,-0.1485489948560243,0.0010044450674981183,0.4146341463414634
KOSPI_ALL,VALID_2023_2024,B2_F_LOW_MARKET,97,0.5567010309278351,0.0025506036865859424,0.0022671895371684,0.1154519038901769,-0.13910119136072796,-0.0766602202089991,0.0017756406191666745,0.5051546391752577
KOSPI_EX_K200,STRESS_2025,B2_F_LOW_MARKET,49,0.6122448979591837,0.007452059543354048,0.0102440359044099,0.42414548263481744,-0.05804548611649174,-0.0567332381096187,0.0014915488686632838,0.46938775510204084
KOSPI_EX_K200,STRESS_2026,B2_F_LOW_MARKET,15,0.7333333333333333,0.01628251996951429,0.0234240739434095,0.8284614491503883,-0.11865046308934946,-0.0870298141417973,0.002714766497917686,0.6
KOSPI_EX_K200,TRAIN_2016_2022,B2_F_LOW_MARKET,288,0.5625,0.0014324644669279965,0.00392558599493455,0.04798498855560651,-0.32005694308618526,-0.0822901276597724,0.001452285049213071,0.3993055555555556
KOSPI_EX_K200,VALID_2023_2024,B2_F_LOW_MARKET,91,0.5494505494505495,0.0009660064938155352,0.0017909671942889,0.030874544312065044,-0.22096303128384565,-0.0722978128048661,0.0004357690085537145,0.43956043956043955
KOSPI_KOSDAQ_ALL,STRESS_2025,B2_F_LOW_MARKET,49,0.673469387755102,0.00959714705056396,0.0108678523958841,0.583123350896199,-0.07816018197311236,-0.0338003762136967,-0.003100307485872702,0.42857142857142855
KOSPI_KOSDAQ_ALL,STRESS_2026,B2_F_LOW_MARKET,21,0.5238095238095238,0.006772581486342706,0.0065288680847203,0.23782814330923618,-0.23689871387630135,-0.1160331957620569,-0.013456720178978386,0.47619047619047616
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,B2_F_LOW_MARKET,328,0.5792682926829268,0.0011971593900184255,0.005128452755880201,0.041852555701760163,-0.41117391406169124,-0.1525988953215112,0.0009148277848186014,0.4573170731707317
KOSPI_KOSDAQ_ALL,VALID_2023_2024,B2_F_LOW_MARKET,96,0.5104166666666666,0.0003480633789690298,0.00187681208836125,-0.00013644138549939733,-0.22976724026743167,-0.1073010956149836,0.0002064251281877419,0.46875
K200,STRESS_2025,F_LOW_HALF,49,0.5714285714285714,0.009857605637932669,0.0088060428358136,0.60013017539956,-0.05549061438762082,-0.0406898096706884,-0.00439020187528812,0.4897959183673469
K200,STRESS_2026,F_LOW_HALF,20,0.5,0.006678271327093465,0.00806045714089465,0.23184743287994225,-0.24485127814372787,-0.1263883730489126,-0.011101561977273557,0.35
K200,TRAIN_2016_2022,F_LOW_HALF,328,0.5304878048780488,0.0008058879578319969,0.000913978501129025,0.03192745120659879,-0.2576725700503264,-0.07615816797291665,0.0003631490084178997,0.4725609756097561
