universe,period,policy,avg_mult,win_rate,mean5,cagr,mdd,worst5
KOSDAQ,STRESS_2026,SIZE_HIT60_150_50,0.5,0.6923076923076923,0.011169124396439105,0.4996369676934198,-0.03387359212017527,-0.0338735921201752
KOSDAQ,TRAIN_2016_2022,SIZE_HIT60_150_50,0.5,0.5625,0.0007706539940461162,0.02501962815913905,-0.21860275585418176,-0.0493793558887479
KOSDAQ,VALID_2023_2024,SIZE_HIT60_150_50,0.5,0.5753424657534246,0.0008155361338918418,0.02704089384977615,-0.12721014284987586,-0.0613166219570561
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,SIZE_HIT60_150_50,0.9285714285714286,0.6938775510204082,0.010017151230470143,0.6111851734361295,-0.06643644279959782,-0.04816524643149869
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,SIZE_HIT60_150_50,1.131578947368421,0.5789473684210527,0.014510949510434497,0.6878820319684482,-0.18857293175283296,-0.10962951924494624
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,SIZE_HIT60_150_50,0.8719512195121951,0.5823170731707317,0.0022513760523800806,0.09250684949542443,-0.29469499823298195,-0.12879474229775534
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,SIZE_HIT60_150_50,0.71875,0.5625,-0.00019043975755666628,-0.02655734389523612,-0.2895812738536414,-0.179271256387041
KOSPI_ALL,STRESS_2025,SIZE_HIT60_150_50,0.6836734693877551,0.6530612244897959,0.007207864443030839,0.4158122843319154,-0.05540863421832254,-0.0330529305785082
KOSPI_ALL,STRESS_2026,SIZE_HIT60_150_50,0.7380952380952381,0.5238095238095238,0.008810941719636112,0.350108140671207,-0.22841356756244824,-0.1542446466245547
KOSPI_ALL,TRAIN_2016_2022,SIZE_HIT60_150_50,0.7439024390243902,0.5548780487804879,0.0018196414477733346,0.08121466881038297,-0.2886159218828507,-0.11058211574191096
KOSPI_ALL,VALID_2023_2024,SIZE_HIT60_150_50,0.6855670103092784,0.5670103092783505,0.0010380814874230942,0.04515085460806323,-0.09010406307099073,-0.0630997207164237
KOSPI_EX_K200,STRESS_2025,SIZE_HIT60_150_50,0.7857142857142857,0.6122448979591837,0.005888962776429563,0.32643956815125863,-0.08201348394624175,-0.043439074838815206
KOSPI_EX_K200,STRESS_2026,SIZE_HIT60_150_50,0.7666666666666667,0.7333333333333333,0.01718453911172469,0.9573611720659065,-0.06007879919769776,-0.04351490707089865
KOSPI_EX_K200,TRAIN_2016_2022,SIZE_HIT60_150_50,0.7534722222222222,0.5659722222222222,0.002218571092361903,0.0894739463719163,-0.16758181677615414,-0.0917759741741358
KOSPI_EX_K200,VALID_2023_2024,SIZE_HIT60_150_50,0.6978021978021978,0.5604395604395604,0.0014505229372792025,0.06320968011666084,-0.13916455698580676,-0.07609526572234035
KOSPI_KOSDAQ_ALL,STRESS_2025,SIZE_HIT60_150_50,0.8061224489795918,0.673469387755102,0.008857860803732825,0.5288230124540882,-0.0658259933035712,-0.0465777698782038
KOSPI_KOSDAQ_ALL,STRESS_2026,SIZE_HIT60_150_50,0.7857142857142857,0.5238095238095238,0.0027240141010626195,0.04524690916174334,-0.2702138260502851,-0.17404979364308534
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,SIZE_HIT60_150_50,0.8445121951219512,0.5701219512195121,0.002634362486635563,0.12038167122234333,-0.2714734377086726,-0.11515326421043326
KOSPI_KOSDAQ_ALL,VALID_2023_2024,SIZE_HIT60_150_50,0.7395833333333334,0.5208333333333334,-0.0009004191072533033,-0.056040450413163745,-0.23820216833553887,-0.16095164342247542
