universe,period,base_state,factor_substate,policy,action,n,win_rate,mean_5d,beat_mkt_rate,mean_excess
KOSPI_ALL,STRESS_2026,B4,F_LOW,ABS_STATE,LEADER,4,0.5,-0.0284530148005922,0.5,-0.00655768850532462
KOSPI_ALL,STRESS_2026,B4,F_LOW,ALPHA_STATE,LEADER,4,0.5,-0.0284530148005922,0.5,-0.00655768850532462
KOSPI_ALL,TRAIN_2016_2022,B2,F_HIGH,ABS_STATE,POSABS,25,0.72,0.006847873560512308,0.6,0.006304871805207795
KOSPI_ALL,TRAIN_2016_2022,B2,F_HIGH,ALPHA_STATE,WPLUS,25,0.68,0.00827055415163721,0.68,0.007727552396332695
KOSPI_ALL,TRAIN_2016_2022,B2,F_LOW,ABS_STATE,CASH,68,0.0,0.0,0.45588235294117646,0.0029907176041553047
KOSPI_ALL,TRAIN_2016_2022,B2,F_LOW,ALPHA_STATE,EW4,68,0.47058823529411764,-0.0052823952715435165,0.4117647058823529,-0.002291677667388212
KOSPI_ALL,TRAIN_2016_2022,B3,F_HIGH,ABS_STATE,POSABS,45,0.5555555555555556,0.002508179197097319,0.4888888888888889,0.0002574553575714987
KOSPI_ALL,TRAIN_2016_2022,B3,F_HIGH,ALPHA_STATE,LEADER_OR_ROTATE,45,0.5333333333333333,0.003640256799130371,0.5333333333333333,0.001389532959604551
KOSPI_ALL,TRAIN_2016_2022,B3,F_LOW,ABS_STATE,CASH,91,0.0,0.0,0.42857142857142855,0.000363738848621763
KOSPI_ALL,TRAIN_2016_2022,B3,F_LOW,ALPHA_STATE,EW4,91,0.5164835164835165,-0.0018023058610720248,0.4175824175824176,-0.001438567012450262
KOSPI_ALL,TRAIN_2016_2022,B4,F_HIGH,ABS_STATE,WPLUS,44,0.5909090909090909,0.004523511654167616,0.5454545454545454,0.0015120762770034644
KOSPI_ALL,TRAIN_2016_2022,B4,F_HIGH,ALPHA_STATE,LEADER,44,0.5681818181818182,0.006565450939942475,0.5454545454545454,0.0035540155627783233
KOSPI_ALL,TRAIN_2016_2022,B4,F_LOW,ABS_STATE,LEADER,55,0.6727272727272727,0.004597195485737465,0.6545454545454545,0.0027730242015513926
KOSPI_ALL,TRAIN_2016_2022,B4,F_LOW,ALPHA_STATE,LEADER,55,0.6727272727272727,0.004597195485737465,0.6545454545454545,0.0027730242015513926
KOSPI_ALL,VALID_2023_2024,B2,F_HIGH,ABS_STATE,POSABS,8,0.375,-0.005283038661698209,0.375,-0.002358405039699946
KOSPI_ALL,VALID_2023_2024,B2,F_HIGH,ALPHA_STATE,WPLUS,8,0.375,-0.00645869665672294,0.375,-0.0035340630347246776
KOSPI_ALL,VALID_2023_2024,B2,F_LOW,ABS_STATE,CASH,16,0.0,0.0,0.5,-0.0016396724856395
KOSPI_ALL,VALID_2023_2024,B2,F_LOW,ALPHA_STATE,EW4,16,0.5625,0.0028225936504085534,0.5625,0.0011829211647690538
KOSPI_ALL,VALID_2023_2024,B3,F_HIGH,ABS_STATE,POSABS,21,0.6666666666666666,0.004370843823131036,0.5714285714285714,0.0009141192742973397
KOSPI_ALL,VALID_2023_2024,B3,F_HIGH,ALPHA_STATE,LEADER_OR_ROTATE,21,0.7142857142857143,0.007474173924702872,0.6666666666666666,0.004017449375869177
KOSPI_ALL,VALID_2023_2024,B3,F_LOW,ABS_STATE,CASH,31,0.0,0.0,0.41935483870967744,-0.0019614698971946224
KOSPI_ALL,VALID_2023_2024,B3,F_LOW,ALPHA_STATE,EW4,31,0.5806451612903226,0.004441949375194556,0.6774193548387096,0.002480479477999934
KOSPI_ALL,VALID_2023_2024,B4,F_HIGH,ABS_STATE,WPLUS,11,0.36363636363636365,-0.006134277862062351,0.5454545454545454,-0.0032316654776829044
KOSPI_ALL,VALID_2023_2024,B4,F_HIGH,ALPHA_STATE,LEADER,11,0.36363636363636365,-0.00783071438583959,0.5454545454545454,-0.0049281020014601455
KOSPI_ALL,VALID_2023_2024,B4,F_LOW,ABS_STATE,LEADER,10,0.4,-0.0021322920749686403,0.5,0.0007811398615257606
KOSPI_ALL,VALID_2023_2024,B4,F_LOW,ALPHA_STATE,LEADER,10,0.4,-0.0021322920749686403,0.5,0.0007811398615257606
KOSPI_EX_K200,STRESS_2025,B2,F_HIGH,ABS_STATE,CASH,1,0.0,0.0,1.0,0.0029211820244881
KOSPI_EX_K200,STRESS_2025,B2,F_HIGH,ALPHA_STATE,EW4,1,0.0,-0.0037818083169845005,0.0,-0.0008606262924964006
KOSPI_EX_K200,STRESS_2025,B2,F_LOW,ABS_STATE,CASH,6,0.0,0.0,0.3333333333333333,-0.013037154473998383
KOSPI_EX_K200,STRESS_2025,B2,F_LOW,ALPHA_STATE,LEADER_OR_ROTATE,6,0.6666666666666666,0.01003860847444195,0.5,-0.0029985459995564324
KOSPI_EX_K200,STRESS_2025,B3,F_HIGH,ABS_STATE,LEADER_OR_ROTATE,8,0.5,0.002988291114491076,0.375,-0.0010570797543143487
