universe,eval_year,period,feature,target,train_n,test_n,train_spearman,direction,oos_spearman,directed_oos_spearman,train_q33,train_q67,low_n,high_n,raw_high_minus_low,directed_high_minus_low
KOSDAQ,2025,BULL_2025,PC1_SHARE_60,TARGET_RANK_CORR_20,430,49,-0.10425443854299425,-1,0.10498101273556837,-0.10498101273556837,0.37082346915637887,0.4236394733849294,34,6,0.43230625583566773,-0.43230625583566773
KOSDAQ,2025,BULL_2025,FACTOR_VOL_MEDIAN_60,TARGET_RANK_CORR_20,430,49,-0.05307247277835446,-1,0.04314637926145685,-0.04314637926145685,0.020730397407417583,0.024266180430707697,6,31,-0.15578597030209934,0.15578597030209934
KOSDAQ,2025,BULL_2025,SIGN_ALIGNMENT_20_60,TARGET_RANK_CORR_20,430,49,-0.09316145761851649,-1,0.056753754542416525,-0.056753754542416525,0.625,0.75,26,23,-0.10001592610288265,0.10001592610288265
KOSDAQ,2025,BULL_2025,BREADTH_20,TARGET_RANK_CORR_60,430,49,-0.03689992204467286,-1,0.30783468758277144,-0.30783468758277144,0.5,0.625,27,22,0.15303831970498633,-0.15303831970498633
KOSDAQ,2025,BULL_2025,BREADTH_60,TARGET_RANK_CORR_60,430,49,-0.07615503979200962,-1,0.060135752575622724,-0.060135752575622724,0.5,0.625,12,37,0.18763406263406274,-0.18763406263406274
KOSDAQ,2025,BULL_2025,DISPERSION_20,TARGET_RANK_CORR_60,430,49,-0.010796206069635989,-1,0.2609365713130464,-0.2609365713130464,0.03783284929359077,0.0516562890567812,7,23,0.14477965099083115,-0.14477965099083115
KOSDAQ,2025,BULL_2025,DISPERSION_60,TARGET_RANK_CORR_60,430,49,0.019449278582199612,1,0.23947292854934102,0.23947292854934102,0.07080131924793327,0.0941529591102731,15,25,0.21047619047619057,0.21047619047619057
KOSDAQ,2025,BULL_2025,ABS_OPPORTUNITY_20,TARGET_RANK_CORR_60,430,49,-0.011714584049733178,-1,0.3118360670098333,-0.3118360670098333,0.03156163862510526,0.043721002198120765,9,23,0.09972394755003455,-0.09972394755003455
KOSDAQ,2025,BULL_2025,RANGE_20,TARGET_RANK_CORR_60,430,49,-0.033631640200873156,-1,0.26747787196484224,-0.26747787196484224,0.11043140149433284,0.15158502280980968,6,26,0.1968864468864469,-0.1968864468864469
KOSDAQ,2025,BULL_2025,LEADER_STRENGTH_20,TARGET_RANK_CORR_60,430,49,-0.04373689270514303,-1,0.21080363428639173,-0.21080363428639173,0.04569395280922289,0.07768678739601109,10,24,0.03253968253968248,-0.03253968253968248
