date,sample,universe,factor,family,strategy,gross,turnover
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,PROMOTE20,0.010731767014663041,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,VETO_PROMOTE20,0.02220319360359,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,CF20,0.022616422210005926,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,BASE,0.020356498292617303,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,VETO20,0.03267312744878387,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,PROMOTE20,0.01589982312554026,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,VETO_PROMOTE20,0.03336381256254504,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,CF20,0.01991944289649075,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,BASE,-0.015763853523153133,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,VETO20,0.003045938944749851,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,PROMOTE20,-0.016203041913218204,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,VETO_PROMOTE20,-0.018613405190431052,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,CF20,-0.012935263254637012,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,BASE,-0.02129300796049351,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,VETO20,0.014310313421859571,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,PROMOTE20,-0.03038323468382822,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,VETO_PROMOTE20,-0.045364282933628874,1.0
2016-01-04,EARLY_2016_2019,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,CF20,-0.007579043334728075,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,BASE,-0.0047985328577481775,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,VETO20,-0.007655802592573635,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,PROMOTE20,-0.016575322714457025,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,VETO_PROMOTE20,0.0002635701565104967,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,CF20,-0.027403078577800395,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,BASE,-0.010610426467552878,1.0
