strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
HOT_HIGH30_DIAG,KOSPI_ALL,10,YTD_2026,13,0.00612064301419268,0.3278846153846154,0.00612064301419268,0.0051369891680388335,0.004153335321884988
HOT_HIGH30_DIAG,KOSPI_ALL,20,BULL_2025,12,-0.01004166734637702,0.2859375,-0.01004166734637702,-0.01089947984637702,-0.01175729234637702
HOT_HIGH30_DIAG,KOSPI_ALL,20,EARLY_2016_2019,48,-0.003334130798494469,0.2934895833333333,-0.003334130798494469,-0.004214599548494469,-0.005095068298494469
HOT_HIGH30_DIAG,KOSPI_ALL,20,LATE_2020_2022,38,-0.0030025748142671425,0.2574013157894736,-0.0030025748142671425,-0.003774778761635563,-0.0045469827090039855
HOT_HIGH30_DIAG,KOSPI_ALL,20,NORMAL_2023_2024,24,-0.006260291652895527,0.25885416666666666,-0.006260291652895527,-0.007036854152895527,-0.007813416652895526
HOT_HIGH30_DIAG,KOSPI_ALL,20,YTD_2026,6,0.013935361861203095,0.23124999999999998,0.013935361861203095,0.013241611861203095,0.012547861861203094
HOT_HIGH30_DIAG,KOSPI_EX_K200,5,BULL_2025,49,-0.0018125345178320225,0.3872448979591837,-0.0018125345178320225,-0.0029742692117095734,-0.004136003905587125
HOT_HIGH30_DIAG,KOSPI_EX_K200,5,EARLY_2016_2019,192,0.000343583372927783,0.41469556051587303,0.000343583372927783,-0.0009005033086198359,-0.002144589990167455
HOT_HIGH30_DIAG,KOSPI_EX_K200,5,LATE_2020_2022,147,-0.0016195862607253685,0.3669314868804665,-0.0016195862607253685,-0.0027203807213667676,-0.003821175182008167
HOT_HIGH30_DIAG,KOSPI_EX_K200,5,NORMAL_2023_2024,97,-7.62734503825396e-05,0.37534671084928817,-7.62734503825396e-05,-0.0012023135829304036,-0.002328353715478268
HOT_HIGH30_DIAG,KOSPI_EX_K200,5,YTD_2026,28,0.003836264498593863,0.3774553571428571,0.003836264498593863,0.0027038984271652924,0.0015715323557367207
HOT_HIGH30_DIAG,KOSPI_EX_K200,10,BULL_2025,25,-0.0014605469706389495,0.38575,-0.0014605469706389495,-0.00261779697063895,-0.00377504697063895
HOT_HIGH30_DIAG,KOSPI_EX_K200,10,EARLY_2016_2019,96,-0.0011413352449460114,0.3982818700396826,-0.0011413352449460114,-0.0023361808550650593,-0.0035310264651841066
HOT_HIGH30_DIAG,KOSPI_EX_K200,10,LATE_2020_2022,74,-0.004399259083652043,0.38539494851994854,-0.004399259083652043,-0.005555443929211887,-0.006711628774771733
HOT_HIGH30_DIAG,KOSPI_EX_K200,10,NORMAL_2023_2024,48,-0.0029921745126208327,0.3928385416666667,-0.0029921745126208327,-0.004170690137620832,-0.005349205762620831
HOT_HIGH30_DIAG,KOSPI_EX_K200,10,YTD_2026,13,0.01232152031751316,0.36875,0.01232152031751316,0.011215270317513163,0.010109020317513163
HOT_HIGH30_DIAG,KOSPI_EX_K200,20,BULL_2025,12,-0.004898477792466326,0.33281249999999996,-0.004898477792466326,-0.005896915292466327,-0.0068953527924663265
HOT_HIGH30_DIAG,KOSPI_EX_K200,20,EARLY_2016_2019,48,-1.6618039920694282e-05,0.3042981150793651,-1.6618039920694282e-05,-0.0009295123851587898,-0.0018424067303968842
HOT_HIGH30_DIAG,KOSPI_EX_K200,20,LATE_2020_2022,38,0.0018167455034860073,0.27243421052631583,0.0018167455034860073,0.00099944287190706,0.0001821402403281128
HOT_HIGH30_DIAG,KOSPI_EX_K200,20,NORMAL_2023_2024,24,-0.011244058086853947,0.30494791666666665,-0.011244058086853947,-0.012158901836853949,-0.013073745586853947
HOT_HIGH30_DIAG,KOSPI_EX_K200,20,YTD_2026,6,0.01491458633613115,0.2739583333333333,0.01491458633613115,0.01409271133613115,0.013270836336131147
HOT_HIGH30_DIAG,KOSPI_KOSDAQ_ALL,5,BULL_2025,49,-0.0014533434237843591,0.30765306122448977,-0.0014533434237843591,-0.0023763026074578282,-0.003299261791131299
HOT_HIGH30_DIAG,KOSPI_KOSDAQ_ALL,5,EARLY_2016_2019,192,-0.0010062868726837678,0.37054036458333334,-0.0010062868726837678,-0.002117907966433768,-0.0032295290601837678
HOT_HIGH30_DIAG,KOSPI_KOSDAQ_ALL,5,LATE_2020_2022,149,-0.001693887207714938,0.3144714765100671,-0.001693887207714938,-0.0026373016372451394,-0.0035807160667753407
HOT_HIGH30_DIAG,KOSPI_KOSDAQ_ALL,5,NORMAL_2023_2024,97,0.00032249858777976713,0.32119845360824745,0.00032249858777976713,-0.000641096773044975,-0.0016046921338697174
HOT_HIGH30_DIAG,KOSPI_KOSDAQ_ALL,5,YTD_2026,28,-0.006038311913301753,0.2948660714285714,-0.006038311913301753,-0.0069229101275874675,-0.007807508341873182
HOT_HIGH30_DIAG,KOSPI_KOSDAQ_ALL,10,BULL_2025,25,-0.0016769890305015855,0.29974999999999996,-0.0016769890305015855,-0.002576239030501585,-0.003475489030501586
HOT_HIGH30_DIAG,KOSPI_KOSDAQ_ALL,10,EARLY_2016_2019,96,-0.0009787133649244771,0.34348958333333335,-0.0009787133649244771,-0.002009182114924477,-0.003039650864924477
