policy,phase,return_type,period,cagr,sharpe,mdd,annual_turnover,annual_allocation_turnover,avg_target_exposure
CRASH_GUARD_REBAL10,0,GROSS,PRE_STRESS_2016_2024,0.1709614326257891,0.8264079858896777,-0.4523212508196637,15.98540594982409,3.420814479638009,0.8959276018099548
CRASH_GUARD_REBAL10,0,GROSS,BULL_2025,0.5584083831813447,2.2330390531024844,-0.12059025404798573,18.258440388879666,4.165289256198347,0.8760330578512396
CRASH_GUARD_REBAL10,0,GROSS,YTD_2026,0.02781120971832829,0.275821175220194,-0.2859614604227755,17.039929495111043,5.142857142857142,0.7346938775510204
CRASH_GUARD_REBAL10,0,NET30,TRAIN_2016_2022,0.11570673546434151,0.6009412191741349,-0.47308539953476536,16.01880294840207,3.8070889018012783,0.8837884950610111
CRASH_GUARD_REBAL10,0,NET30,OOS_2023_2024,0.11737845464200469,0.6348490489137556,-0.18815259319911026,15.867867637855387,2.061349693251534,0.9386503067484663
CRASH_GUARD_REBAL10,0,NET30,PRE_STRESS_2016_2024,0.11607641609002095,0.6079694032279378,-0.47308539953476536,15.98540594982409,3.420814479638009,0.8959276018099548
CRASH_GUARD_REBAL10,0,NET30,BULL_2025,0.4752521217269261,1.9700139027554002,-0.12671716927190624,18.258440388879666,4.165289256198347,0.8760330578512396
CRASH_GUARD_REBAL10,0,NET30,YTD_2026,-0.023468375806676822,0.15499254104904342,-0.29295464182596687,17.039929495111043,5.142857142857142,0.7346938775510204
CRASH_GUARD_REBAL10,0,NET60,TRAIN_2016_2022,0.06319860597883631,0.3851506937498264,-0.5105498718350643,16.01880294840207,3.8070889018012783,0.8837884950610111
CRASH_GUARD_REBAL10,0,NET60,OOS_2023_2024,0.06527695045856441,0.40730549297235147,-0.21058344343987045,15.867867637855387,2.061349693251534,0.9386503067484663
CRASH_GUARD_REBAL10,0,NET60,PRE_STRESS_2016_2024,0.06365812534372517,0.3897014306253982,-0.5105498718350643,15.98540594982409,3.420814479638009,0.8959276018099548
CRASH_GUARD_REBAL10,0,NET60,BULL_2025,0.3963626855333424,1.7016446071650788,-0.1339416869490846,18.258440388879666,4.165289256198347,0.8760330578512396
CRASH_GUARD_REBAL10,0,NET60,YTD_2026,-0.07230095699415251,0.034374765729171405,-0.2998972200686769,17.039929495111043,5.142857142857142,0.7346938775510204
CRASH_GUARD_REBAL10,1,GROSS,TRAIN_2016_2022,0.1620872755869509,0.7830924348098132,-0.4272324440421371,15.984037711180223,3.8093023255813954,0.8837209302325582
CRASH_GUARD_REBAL10,1,GROSS,OOS_2023_2024,0.08434107140238267,0.49263908608252,-0.23080823790277583,16.10176602422032,2.061349693251534,0.9386503067484663
CRASH_GUARD_REBAL10,1,GROSS,PRE_STRESS_2016_2024,0.14440990459565328,0.7219666071359445,-0.4272324440421371,16.010098890481537,3.422363060208239,0.8958804889090086
CRASH_GUARD_REBAL10,1,GROSS,BULL_2025,0.454162791693941,1.9068174830256,-0.15113844582052927,18.860671489448436,4.165289256198347,0.8760330578512396
CRASH_GUARD_REBAL10,1,GROSS,YTD_2026,0.1279549939044935,0.4941752334229442,-0.29318438591668616,17.46539128681417,5.142857142857142,0.7414965986394558
CRASH_GUARD_REBAL10,1,NET30,TRAIN_2016_2022,0.10762260061676132,0.5685611901328134,-0.43074350661270944,15.984037711180223,3.8093023255813954,0.8837209302325582
CRASH_GUARD_REBAL10,1,NET30,OOS_2023_2024,0.03315528966896841,0.26150505912662075,-0.2411447945164581,16.10176602422032,2.061349693251534,0.9386503067484663
CRASH_GUARD_REBAL10,1,NET30,PRE_STRESS_2016_2024,0.0906884656021345,0.5038521074493367,-0.43074350661270944,16.010098890481537,3.422363060208239,0.8958804889090086
CRASH_GUARD_REBAL10,1,NET30,BULL_2025,0.374080805476779,1.636419039260602,-0.1583312309183823,18.860671489448436,4.165289256198347,0.8760330578512396
