universe,family_pair,anchor_family,other_family,contrast,outcome,n_blocks,sign_stability,median_train_diff,median_valid_diff,positive_valid_block_share,min_valid_n_left,min_valid_n_right
KOSDAQ,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,1,0.0,-0.021464759215933694,0.01310693352329054,1.0,14,8
KOSDAQ,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,1,0.0,-0.01381751213468026,0.006253914318064229,1.0,14,8
KOSDAQ,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,1,0.0,-0.010031593026377007,0.0006540812361512799,1.0,14,8
KOSDAQ,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,1,0.0,-0.0064375299985281985,0.014171506148216911,1.0,14,8
KOSDAQ,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_20d_diff,1,0.0,-0.0018853238703405973,0.019023183711792062,1.0,14,8
KOSDAQ,MOMENTUM_X_FLOW,MOMENTUM,FLOW,ALT_WMINUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,mkt_1d_diff,1,0.0,0.007635968975240128,-0.0030330913124789,0.0,8,12
KOSDAQ,MOMENTUM_X_FLOW,MOMENTUM,FLOW,ALT_WMINUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,mkt_5d_diff,1,1.0,0.012501949844278588,0.0018665566546045536,1.0,8,12
KOSDAQ,MOMENTUM_X_FLOW,MOMENTUM,FLOW,ALT_WMINUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,mkt_20d_diff,1,0.0,0.006381253166735707,-0.007999358852552412,0.0,8,12
KOSDAQ,MOMENTUM_X_FLOW,MOMENTUM,FLOW,ALT_WMINUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,a_top_fwd_5d_diff,1,1.0,0.01608051864277342,0.003569837895046622,1.0,8,12
KOSDAQ,MOMENTUM_X_FLOW,MOMENTUM,FLOW,ALT_WMINUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,a_top_fwd_20d_diff,1,0.0,0.010059644964900997,-0.009003200047421897,0.0,8,12
KOSDAQ,MOMENTUM_X_FLOW,MOMENTUM,FLOW,ALT_WMINUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,a_spread_fwd_5d_diff,1,0.0,-0.0003823344806495651,0.005935884933582945,1.0,8,12
KOSDAQ,MOMENTUM_X_FLOW,MOMENTUM,FLOW,ALT_WMINUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,a_spread_fwd_20d_diff,1,0.0,-0.006893799723527636,0.025448698711192094,1.0,8,12
KOSDAQ,MOMENTUM_X_FLOW,MOMENTUM,FLOW,ALT_WMINUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,b_top_fwd_5d_diff,1,1.0,0.010717702964408141,0.0035413505417067385,1.0,8,12
