model,universe,cost_bps,period,n_rebalances,cagr,sharpe,mdd,ew8_cagr,ew8_sharpe,ew8_mdd,delta_cagr_vs_ew8,delta_sharpe_vs_ew8,delta_mdd_vs_ew8,avg_abs_lambda,annual_turnover
LIQ_ALL_CONT,KOSPI_ALL,10,BULL_2025,12,0.18208872739563042,1.8636327000313784,-0.05594317939648996,0.19042237372146853,2.1353087016045973,-0.04581588063655484,-0.008333646325838107,-0.2716760015732189,-0.010127298759935122,0.14186046511627906,1.9785446091562158
COMBINED_ALL_CONT,KOSPI_ALL,10,BULL_2025,12,0.21078358860357915,2.2304716626328744,-0.04907809826402998,0.19042237372146853,2.1353087016045973,-0.04581588063655484,0.020361214882110623,0.09516296102827715,-0.003262217627475139,0.1366763565891473,1.8574795484293194
PERSIST_ALL_CONT,KOSPI_EX_K200,10,BULL_2025,12,0.14103111813710245,1.9915279923370288,-0.022654930573495546,0.11789481425423265,1.9141659111911096,-0.02180019878037376,0.023136303882869802,0.07736208114591925,-0.0008547317931217879,0.0925925925925926,1.4768205337690632
LIQ_ALL_CONT,KOSPI_EX_K200,10,BULL_2025,12,0.10985288404644122,1.776647048482355,-0.018950716741627405,0.11789481425423265,1.9141659111911096,-0.02180019878037376,-0.008041930207791426,-0.13751886270875446,0.0028494820387463538,0.11121399176954731,1.4723175381263616
COMBINED_ALL_CONT,KOSPI_EX_K200,10,BULL_2025,12,0.13243393938201464,1.9260603134454675,-0.019913066179384487,0.11789481425423265,1.9141659111911096,-0.02180019878037376,0.014539125127781993,0.011894402254357894,0.001887132600989272,0.12001028806584363,1.6685491557734202
PERSIST_ALL_CONT,KOSPI_KOSDAQ_ALL,10,BULL_2025,12,0.18748729253418817,2.158808226934237,-0.03504232688959308,0.1745871114015647,2.0228076610380294,-0.03545141869612045,0.012900181132623478,0.13600056589620735,0.000409091806527373,0.07916666666666666,1.2416061427005964
LIQ_ALL_CONT,KOSPI_KOSDAQ_ALL,10,BULL_2025,12,0.15046228990183375,1.6757421333977944,-0.045327725567494204,0.1745871114015647,2.0228076610380294,-0.03545141869612045,-0.024124821499730942,-0.347065527640235,-0.009876306871373752,0.13624031007751938,1.796996758188238
COMBINED_ALL_CONT,KOSPI_KOSDAQ_ALL,10,BULL_2025,12,0.16112957334960543,1.8058427769180294,-0.043100803014122224,0.1745871114015647,2.0228076610380294,-0.03545141869612045,-0.013457538051959261,-0.21696488412000003,-0.007649384318001773,0.15484496124031005,1.8496645561914036
PERSIST_ALL_CONT,K200,10,YTD_2026,4,0.5361285008302359,4.30628509662544,0.0,0.44758800968263035,3.218589932676514,0.0,0.08854049114760554,1.087695163948926,0.0,0.19441544885177453,2.5896064050589893
LIQ_ALL_CONT,K200,10,YTD_2026,4,0.5344092476587381,4.252869667760794,0.0,0.44758800968263035,3.218589932676514,0.0,0.08682123797610775,1.0342797350842798,0.0,0.16440501043841335,2.4674764225372625
