date,year,universe,eligible,valid_all8,coverage
2021-08-05,2021,KOSDAQ,1364,171,0.125366568914956
2021-08-12,2021,K200,194,160,0.8247422680412371
2021-08-12,2021,KOSPI_EX_K200,562,100,0.17793594306049823
2021-08-12,2021,KOSDAQ,1366,166,0.12152269399707175
2021-08-20,2021,K200,194,158,0.8144329896907216
2021-08-20,2021,KOSPI_EX_K200,565,93,0.16460176991150444
2021-08-20,2021,KOSDAQ,1369,150,0.1095690284879474
2021-08-27,2021,K200,194,159,0.8195876288659794
2021-08-27,2021,KOSPI_EX_K200,565,95,0.168141592920354
2021-08-27,2021,KOSDAQ,1370,158,0.11532846715328467
2021-09-03,2021,K200,194,157,0.8092783505154639
2021-09-03,2021,KOSPI_EX_K200,566,94,0.16607773851590105
2021-09-03,2021,KOSDAQ,1371,159,0.11597374179431072
2021-09-10,2021,K200,195,161,0.8256410256410256
2021-09-10,2021,KOSPI_EX_K200,565,96,0.16991150442477876
2021-09-10,2021,KOSDAQ,1373,160,0.11653313911143481
2021-09-17,2021,K200,195,162,0.8307692307692308
2021-09-17,2021,KOSPI_EX_K200,566,94,0.16607773851590105
2021-09-17,2021,KOSDAQ,1373,159,0.11580480699198835
2021-09-29,2021,K200,195,162,0.8307692307692308
2021-09-29,2021,KOSPI_EX_K200,566,95,0.16784452296819788
2021-09-29,2021,KOSDAQ,1377,149,0.10820624546114742
2021-10-07,2021,K200,195,163,0.8358974358974359
2021-10-07,2021,KOSPI_EX_K200,566,98,0.17314487632508835
2021-10-07,2021,KOSDAQ,1379,146,0.10587382160986222
2021-10-15,2021,K200,195,163,0.8358974358974359
2021-10-15,2021,KOSPI_EX_K200,567,96,0.1693121693121693
2021-10-15,2021,KOSDAQ,1381,152,0.11006517016654598
2021-10-22,2021,K200,195,163,0.8358974358974359
2021-10-22,2021,KOSPI_EX_K200,567,96,0.1693121693121693
2021-10-22,2021,KOSDAQ,1383,157,0.11352133044107014
2021-10-29,2021,K200,195,162,0.8307692307692308
2021-10-29,2021,KOSPI_EX_K200,567,97,0.1710758377425044
2021-10-29,2021,KOSDAQ,1386,155,0.11183261183261184
2021-11-05,2021,K200,195,166,0.8512820512820513
2021-11-05,2021,KOSPI_EX_K200,568,100,0.176056338028169
2021-11-05,2021,KOSDAQ,1388,153,0.11023054755043228
2021-11-12,2021,K200,195,166,0.8512820512820513
2021-11-12,2021,KOSPI_EX_K200,568,96,0.16901408450704225
2021-11-12,2021,KOSDAQ,1393,148,0.10624551328068917
2021-11-19,2021,K200,195,165,0.8461538461538461
2021-11-19,2021,KOSPI_EX_K200,568,95,0.16725352112676056
2021-11-19,2021,KOSDAQ,1395,152,0.10896057347670252
2021-11-26,2021,K200,195,164,0.841025641025641
2021-11-26,2021,KOSPI_EX_K200,568,95,0.16725352112676056
2021-11-26,2021,KOSDAQ,1397,149,0.1066571224051539
2021-12-03,2021,K200,196,162,0.826530612244898
2021-12-03,2021,KOSPI_EX_K200,568,93,0.1637323943661972
2021-12-03,2021,KOSDAQ,1397,153,0.10952040085898354
2021-12-10,2021,K200,195,162,0.8307692307692308
2021-12-10,2021,KOSPI_EX_K200,569,93,0.1634446397188049
2021-12-10,2021,KOSDAQ,1398,155,0.11087267525035766
2021-12-17,2021,K200,195,163,0.8358974358974359
2021-12-17,2021,KOSPI_EX_K200,569,96,0.1687170474516696
2021-12-17,2021,KOSDAQ,1398,152,0.10872675250357654
2021-12-24,2021,K200,195,165,0.8461538461538461
2021-12-24,2021,KOSPI_EX_K200,569,98,0.17223198594024605
2021-12-24,2021,KOSDAQ,1398,154,0.11015736766809728
2022-01-03,2022,K200,195,165,0.8461538461538461
2022-01-03,2022,KOSPI_EX_K200,569,95,0.16695957820738136
2022-01-03,2022,KOSDAQ,1399,156,0.11150822015725519
2022-01-10,2022,K200,195,163,0.8358974358974359
2022-01-10,2022,KOSPI_EX_K200,569,96,0.1687170474516696
2022-01-10,2022,KOSDAQ,1399,158,0.11293781272337383
2022-01-17,2022,K200,195,163,0.8358974358974359
2022-01-17,2022,KOSPI_EX_K200,569,96,0.1687170474516696
2022-01-17,2022,KOSDAQ,1399,158,0.11293781272337383
2022-01-24,2022,K200,195,163,0.8358974358974359
2022-01-24,2022,KOSPI_EX_K200,569,97,0.1704745166959578
2022-01-24,2022,KOSDAQ,1402,157,0.11198288159771755
2022-02-03,2022,K200,195,165,0.8461538461538461
2022-02-03,2022,KOSPI_EX_K200,570,92,0.16140350877192983
2022-02-03,2022,KOSDAQ,1402,148,0.10556348074179743
2022-02-10,2022,K200,195,166,0.8512820512820513
2022-02-10,2022,KOSPI_EX_K200,570,94,0.1649122807017544
2022-02-10,2022,KOSDAQ,1406,153,0.10881934566145092
2022-02-17,2022,K200,195,166,0.8512820512820513
2022-02-17,2022,KOSPI_EX_K200,570,90,0.15789473684210525
2022-02-17,2022,KOSDAQ,1407,134,0.09523809523809523
2022-02-24,2022,K200,195,165,0.8461538461538461
2022-02-24,2022,KOSPI_EX_K200,570,89,0.156140350877193
2022-02-24,2022,KOSDAQ,1410,137,0.09716312056737589
2022-03-04,2022,K200,195,163,0.8358974358974359
2022-03-04,2022,KOSPI_EX_K200,570,87,0.15263157894736842
2022-03-04,2022,KOSDAQ,1414,135,0.09547383309759547
2022-03-14,2022,K200,196,164,0.8367346938775511
2022-03-14,2022,KOSPI_EX_K200,569,87,0.15289982425307558
2022-03-14,2022,KOSDAQ,1416,138,0.09745762711864407
2022-03-21,2022,K200,196,162,0.826530612244898
2022-03-21,2022,KOSPI_EX_K200,569,89,0.15641476274165203
2022-03-21,2022,KOSDAQ,1417,135,0.09527170077628794
2022-03-28,2022,K200,196,163,0.8316326530612245
2022-03-28,2022,KOSPI_EX_K200,569,86,0.15114235500878734
2022-03-28,2022,KOSDAQ,1419,144,0.1014799154334038
2022-04-04,2022,K200,196,165,0.8418367346938775
2022-04-04,2022,KOSPI_EX_K200,569,89,0.15641476274165203
2022-04-04,2022,KOSDAQ,1421,146,0.10274454609429978
2022-04-11,2022,K200,196,165,0.8418367346938775
2022-04-11,2022,KOSPI_EX_K200,569,88,0.1546572934973638
2022-04-11,2022,KOSDAQ,1421,149,0.10485573539760731
2022-04-18,2022,K200,196,160,0.8163265306122449
2022-04-18,2022,KOSPI_EX_K200,569,91,0.15992970123022848
2022-04-18,2022,KOSDAQ,1421,152,0.10696692470091484
2022-04-25,2022,K200,196,161,0.8214285714285714
2022-04-25,2022,KOSPI_EX_K200,569,93,0.1634446397188049
2022-04-25,2022,KOSDAQ,1421,146,0.10274454609429978
2022-05-02,2022,K200,196,165,0.8418367346938775
2022-05-02,2022,KOSPI_EX_K200,569,97,0.1704745166959578
2022-05-02,2022,KOSDAQ,1422,153,0.10759493670886076
2022-05-10,2022,K200,196,166,0.8469387755102041
2022-05-10,2022,KOSPI_EX_K200,569,97,0.1704745166959578
2022-05-10,2022,KOSDAQ,1422,144,0.10126582278481013
2022-05-17,2022,K200,196,165,0.8418367346938775
2022-05-17,2022,KOSPI_EX_K200,569,95,0.16695957820738136
2022-05-17,2022,KOSDAQ,1423,153,0.10751932536893886
2022-05-24,2022,K200,196,166,0.8469387755102041
2022-05-24,2022,KOSPI_EX_K200,569,96,0.1687170474516696
2022-05-24,2022,KOSDAQ,1424,146,0.10252808988764045
2022-05-31,2022,K200,196,166,0.8469387755102041
2022-05-31,2022,KOSPI_EX_K200,569,99,0.17398945518453426
2022-05-31,2022,KOSDAQ,1424,143,0.10042134831460674
2022-06-09,2022,K200,196,166,0.8469387755102041
