sample,universe,target,definition,metric,horizon,outcome,n_high,n_low,high_mean,low_mean,high_minus_low,nw_t
TRAIN_2017_2022,K200,VALUE,A,FH_A_INCLUSIVE,5,top,27,215,0.0027531318333822775,0.00025320320246975355,0.002499928630912524,0.45937418255774476
TRAIN_2017_2022,K200,VALUE,A,FH_A_INCLUSIVE,5,spread,27,215,0.005463834407654726,-0.0005137988828663135,0.005977633290521039,1.1440751002611853
TRAIN_2017_2022,K200,VALUE,A,FH_A_INCLUSIVE,20,top,27,215,-0.0036328094698009424,0.005806234086712392,-0.009439043556513335,-0.638466733723642
TRAIN_2017_2022,K200,VALUE,A,FH_A_INCLUSIVE,20,spread,27,215,0.013732992062483544,0.0013413209396476835,0.01239167112283586,0.6655650876657112
TRAIN_2017_2022,K200,VALUE,B,FH_B_NET_BREADTH,5,top,103,81,0.002591944763767267,0.0005589232462057173,0.0020330215175615495,0.43103100896521407
TRAIN_2017_2022,K200,VALUE,B,FH_B_NET_BREADTH,5,spread,103,81,0.004665310942335111,-0.0023758769167906966,0.007041187859125808,1.857257193764668
TRAIN_2017_2022,K200,VALUE,B,FH_B_NET_BREADTH,20,top,103,81,0.0032578143794832113,0.0007214287964948753,0.002536385582988336,0.17708894616779974
TRAIN_2017_2022,K200,VALUE,B,FH_B_NET_BREADTH,20,spread,103,81,0.008379207273752558,-0.009256753266469752,0.01763596054022231,1.537531189342177
TRAIN_2017_2022,K200,VALUE,B,FH_B_INCLUSIVE,5,top,117,98,0.0018714990781490506,-0.0018909297268461668,0.003762428804995217,0.7500712881680163
TRAIN_2017_2022,K200,VALUE,B,FH_B_INCLUSIVE,5,spread,117,98,0.0021188485171869478,-0.0024002381735617894,0.004519086690748737,1.2288659759712481
TRAIN_2017_2022,K200,VALUE,B,FH_B_INCLUSIVE,20,top,117,98,0.0037703907032165273,0.0036410782808845355,0.00012931242233199178,0.008177548045106732
TRAIN_2017_2022,K200,VALUE,B,FH_B_INCLUSIVE,20,spread,117,98,0.007545787438804999,-0.0017237004696734448,0.009269487908478443,0.8022674599131884
TRAIN_2017_2022,K200,VALUE,C,FH_C_CONTINUOUS,5,top,97,97,0.0020048350155428916,-0.00043817440820522293,0.0024430094237481146,0.4632979036169078
TRAIN_2017_2022,K200,VALUE,C,FH_C_CONTINUOUS,5,spread,97,97,0.000742593968195843,-0.0006780710490350611,0.001420665017230904,0.39063378271183685
TRAIN_2017_2022,K200,VALUE,C,FH_C_CONTINUOUS,20,top,97,97,0.007004071664843717,0.005334689322938835,0.0016693823419048825,0.10644378022268863
TRAIN_2017_2022,K200,VALUE,C,FH_C_CONTINUOUS,20,spread,97,97,0.006343532027142246,-0.004271418725012891,0.010614950752155137,0.9066367262250778
TRAIN_2017_2022,K200,VALUE,C,FH_C_INCLUSIVE,5,top,97,97,0.004020463442836128,-0.0012320432546675609,0.005252506697503689,0.9775895779599282
TRAIN_2017_2022,K200,VALUE,C,FH_C_INCLUSIVE,5,spread,97,97,0.0018811220946945565,-0.0019073476100370586,0.003788469704731615,0.9856504606840518
TRAIN_2017_2022,K200,VALUE,C,FH_C_INCLUSIVE,20,top,97,97,0.011031804581662433,0.005605596314811209,0.0054262082668512235,0.33913183504147815
TRAIN_2017_2022,K200,VALUE,C,FH_C_INCLUSIVE,20,spread,97,97,0.008858183999959081,-0.001697189005518252,0.010555373005477334,0.8777307748848752
TRAIN_2017_2022,KOSDAQ,FLOW,A,FH_A_HEALTHY_BREADTH,5,top,58,233,-0.0032780770964911166,0.0013609994455241017,-0.004639076542015218,-1.028767356619353
TRAIN_2017_2022,KOSDAQ,FLOW,A,FH_A_HEALTHY_BREADTH,5,spread,58,233,-0.0017370781438457452,-0.00012820579859169597,-0.0016088723452540492,-0.6184280095858068
TRAIN_2017_2022,KOSDAQ,FLOW,A,FH_A_HEALTHY_BREADTH,20,top,58,233,-0.016837044857942553,0.0069638573440329804,-0.023800902201975532,-2.3250639905287445
TRAIN_2017_2022,KOSDAQ,FLOW,A,FH_A_HEALTHY_BREADTH,20,spread,58,233,0.0005246997411679726,-0.0018897507190729814,0.002414450460240954,0.4989817312567687
