sample,universe,target,family,n,ex_beta_per_1sd,ex_t,self_beta_per_1sd,self_t
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,MOMENTUM,C,171,0.001884827208492177,0.13044482571534607,0.003716693220846323,0.2640941190460667
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,REVISION,A,171,0.0044921985172517095,0.6815378285156287,0.00931695831980488,1.1974828067208618
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,REVISION,B,171,0.006208172293267866,0.8179594384917976,0.0039796360655105665,0.46971522732061566
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,REVISION,C,171,0.006747021620114197,0.8322662908841293,-0.00459120475515493,-0.5115696948895246
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,VALUE,A,171,0.0079273810183632,0.9945542196903975,-0.009349637777159522,-1.63086104468692
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,VALUE,B,171,0.005244015933395511,0.6514853560496692,-0.013806780152771649,-2.1115447008009043
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,VALUE,C,171,0.0028078376416478456,0.2691587239588368,-0.012322594548890417,-1.6644695498762425
POST_2023_2024,K200,FLOW,A,97,-0.0031077669774786055,-0.6646491869202291,-0.0022921652292881177,-0.5697710513774705
POST_2023_2024,K200,FLOW,B,97,-0.0038327539112373325,-1.1185840580815394,-0.0045166085973667785,-1.4625134520709748
POST_2023_2024,K200,FLOW,C,97,-0.00866955365792256,-2.145606420829396,-0.009516202382180882,-2.4839378815562743
POST_2023_2024,K200,MOMENTUM,A,97,-0.006259476246590127,-1.0589229505910989,-0.001055850775865233,-0.16763126115523816
POST_2023_2024,K200,MOMENTUM,B,97,-0.008892436527023371,-1.9461551433073268,-0.0005441848580346562,-0.09117804863994174
POST_2023_2024,K200,MOMENTUM,C,97,-0.018851682527261892,-3.5973436900567224,-0.003960040519188352,-0.596742083494525
POST_2023_2024,K200,REVISION,A,97,-0.007368638708159047,-1.1472921507580862,0.0004845575105078144,0.09030337943283143
POST_2023_2024,K200,REVISION,B,97,-0.006186058803687293,-1.1703258035827493,-0.0010717373632770522,-0.1773586169594254
POST_2023_2024,K200,REVISION,C,97,-0.013283411901664996,-2.2970931731222652,-0.008702325762323727,-1.5028734118772153
POST_2023_2024,K200,VALUE,A,97,-0.008666145230514852,-1.4075725201978306,-0.004917490751477393,-1.278400753488062
POST_2023_2024,K200,VALUE,B,97,-0.009787461530418371,-1.7038922592730839,-0.012969314499385829,-1.616025561116957
POST_2023_2024,K200,VALUE,C,97,-0.018443738600303943,-2.2627661334804894,-0.01631198094722909,-1.9822682302899435
POST_2023_2024,KOSDAQ,FLOW,A,97,-0.004506488264243466,-0.6204763519223322,-0.003993177640810701,-0.6615457654216323
POST_2023_2024,KOSDAQ,FLOW,B,97,-0.011750577732230691,-1.8312268762294464,0.0007444830254920237,0.09567606829819024
POST_2023_2024,KOSDAQ,FLOW,C,97,-0.009523046226805281,-1.2284511998550118,-0.007242237118594963,-0.8190537265691855
POST_2023_2024,KOSDAQ,MOMENTUM,A,97,0.007498462284520808,0.6926192944788997,-0.008655526120684662,-0.6352962548716262
POST_2023_2024,KOSDAQ,MOMENTUM,B,97,0.0012235112930971124,0.09860760097254946,-0.00928614887869087,-0.738268766666203
POST_2023_2024,KOSDAQ,MOMENTUM,C,97,-0.006191543290450038,-0.4381006655212474,-0.009826745291524278,-0.7286346060698509
POST_2023_2024,KOSDAQ,REVISION,A,97,-0.0043812026039115005,-0.6121905615676075,-0.003353388990834343,-0.43514963994243133
POST_2023_2024,KOSDAQ,REVISION,B,97,-0.010065964932689,-1.4418188033095223,-0.0027592007054628594,-0.3043907479866425
POST_2023_2024,KOSDAQ,REVISION,C,97,-0.009489988523890908,-1.1740385136007292,-0.0040249414341579715,-0.42186076871374056
POST_2023_2024,KOSDAQ,VALUE,A,97,-0.006785950135512801,-1.3696940057286977,8.788902219476672e-05,0.017890027349184923
POST_2023_2024,KOSDAQ,VALUE,B,97,-0.007726267819995117,-1.5938140098523057,-0.002447064630214376,-0.4191805987258233
POST_2023_2024,KOSDAQ,VALUE,C,97,-0.01034643759669262,-1.6737771613585755,0.002469275350967937,0.43496533014224087
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,A,97,-3.499169667916315e-05,-0.004137834487334691,-0.003146054944799174,-0.4392182765912999
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,B,97,-0.0008894953751464064,-0.10316885896479588,-0.001199533215419365,-0.14546048019547342
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,C,97,-0.0047563052594680605,-0.5039271539665,-0.0006988882710303108,-0.0832483683693099
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,A,97,-0.004799592223085192,-0.46887813361436936,0.012253249015479724,0.8181978242135949
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,B,97,0.0024113924328165687,0.2546625232102397,0.006810386394570934,0.519305690510459
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,C,97,0.0016221782783674363,0.16178730154202772,0.00011093460997306263,0.007906082840411579
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,A,97,0.001870984471066667,0.3549405526962632,-0.0003787712272378473,-0.055043662898412955
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,B,97,0.002170734805912234,0.46076877275969924,-0.0006639320391474318,-0.09346217945815109
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,C,97,0.001504733430336582,0.2370213529116902,-0.0042422087217674955,-0.5846861889299052
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,A,97,-0.0032900060731567015,-0.7811915438104482,-0.011214374672012856,-3.669444176654601
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,B,97,-0.004259849795461257,-0.9705857837507071,-0.008908052566197353,-2.0328401398022247
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,C,97,-0.006974826939159884,-1.428462523711155,-0.008071953607942306,-1.8255726396597303
POST_2023_2024,KOSPI_ALL,FLOW,A,97,-0.006042738740474914,-1.238773569187357,0.0023380161189142244,0.6345303889798074
POST_2023_2024,KOSPI_ALL,FLOW,B,97,-0.004493091169724597,-1.1016826994828133,-0.0010229641272799291,-0.28502248201265923
POST_2023_2024,KOSPI_ALL,FLOW,C,97,-0.005663832035681836,-1.4635729557820654,-0.006086134390414505,-1.537482986697154
POST_2023_2024,KOSPI_ALL,MOMENTUM,A,97,-0.00427068752750966,-0.7058459815004787,0.008053353129252788,0.8409531936998481
POST_2023_2024,KOSPI_ALL,MOMENTUM,B,97,-0.0031266942264627437,-0.5552894169838277,0.007719506948287855,0.8635630329997687
POST_2023_2024,KOSPI_ALL,MOMENTUM,C,97,-0.007882549901389847,-1.3830077273535022,0.0028102427207350707,0.2691293501769371
POST_2023_2024,KOSPI_ALL,REVISION,A,97,0.002630022502535748,0.6278509064595387,-0.0017732687228284839,-0.3449599788738112
POST_2023_2024,KOSPI_ALL,REVISION,B,97,0.001958724167893688,0.5185010966812039,-0.0033682067834438344,-0.5237389559814601
POST_2023_2024,KOSPI_ALL,REVISION,C,97,-0.006075180457486608,-1.5328458830683203,-0.006120489774860718,-0.8599601749116678
POST_2023_2024,KOSPI_ALL,VALUE,A,97,-0.005322385851427562,-1.061853059388486,-0.005436815970182354,-1.60855393233862
POST_2023_2024,KOSPI_ALL,VALUE,B,97,-0.013773772365691276,-2.2473525415207476,-0.01555574129463138,-2.4035804435431976
POST_2023_2024,KOSPI_ALL,VALUE,C,97,-0.017169243102045293,-2.951545086949404,-0.015267304771150203,-2.275712684623749
