date,universe,factor,family,cut_name,spread_20d,strength_vs_cut,state
2020-08-25,K200,MOM1M,MOMENTUM,Q25,0.0487938559747243,4.2028258327108725,WORKING
2020-09-01,K200,MOM1M,MOMENTUM,Q25,0.07447930237873068,6.4152244127162845,WORKING
2020-09-08,K200,MOM1M,MOMENTUM,Q25,-0.013815620834727649,-1.1899991705761064,REVERSE
2020-09-15,K200,MOM1M,MOMENTUM,Q25,0.016030300190694735,1.3807590812757555,WORKING
2020-09-22,K200,MOM1M,MOMENTUM,Q25,-0.03559467267717498,-3.0659230931044315,REVERSE
2020-09-29,K200,MOM1M,MOMENTUM,Q25,-0.03986738085934283,-3.433949926912202,REVERSE
2020-10-12,K200,MOM1M,MOMENTUM,Q25,-0.02317434913982297,-1.9961069129597375,REVERSE
2020-10-19,K200,MOM1M,MOMENTUM,Q25,0.017269208606632613,1.4874716210177235,WORKING
2020-10-26,K200,MOM1M,MOMENTUM,Q25,0.056716366943099006,4.885225964708405,WORKING
2020-11-02,K200,MOM1M,MOMENTUM,Q25,0.03992962954591417,3.4393116754919797,WORKING
2020-11-09,K200,MOM1M,MOMENTUM,Q25,0.024744656659012598,2.1313642906584587,WORKING
2020-11-16,K200,MOM1M,MOMENTUM,Q25,0.006028615440513585,0.5192707196987068,NEUTRAL
2020-11-23,K200,MOM1M,MOMENTUM,Q25,-0.010332803830291448,-0.8900090799296196,NEUTRAL
2020-11-30,K200,MOM1M,MOMENTUM,Q25,0.004436156392660262,0.38210533503800165,NEUTRAL
2020-12-07,K200,MOM1M,MOMENTUM,Q25,0.014415758369587861,1.241691611853887,WORKING
2020-12-14,K200,MOM1M,MOMENTUM,Q25,0.014517958683884391,1.2504945669074725,WORKING
2020-12-21,K200,MOM1M,MOMENTUM,Q25,0.04826355602365706,4.157148804550089,WORKING
2020-12-29,K200,MOM1M,MOMENTUM,Q25,0.03385225141863035,2.915840814698942,WORKING
2021-01-07,K200,MOM1M,MOMENTUM,Q25,0.07494563355615891,6.455391533759332,WORKING
2021-01-14,K200,MOM1M,MOMENTUM,Q25,0.06234191893176355,5.3697790861806,WORKING
2021-01-21,K200,MOM1M,MOMENTUM,Q25,0.06835392453110978,5.887619128427384,WORKING
2021-01-28,K200,MOM1M,MOMENTUM,Q25,0.1036686984767774,8.929433333315817,WORKING
