sample,universe,cut_name,factor_a,factor_b,family_pair,contrast,left_state,right_state,n_left,n_right,mkt_1d_diff,mkt_5d_diff,mkt_20d_diff,a_fwd_5d_diff,a_fwd_20d_diff,b_fwd_5d_diff,b_fwd_20d_diff
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,37,57,-0.0012832508757331521,-0.006593740677742794,0.010748948054363994,0.002069804549443314,0.0003042955419268105,0.0010468636172177256,-0.0020206534464159015
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,37,69,0.00019293551387658786,-0.005922956419473514,-0.0005007699007899269,0.016507414201596713,0.020980220688169574,0.0017446759801554362,-0.00016919071179411285
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,PBR12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,37,29,1.978203218436724e-05,-0.002921551154777937,0.016183033314071525,-0.0027372528812942506,-0.04781981966639188,-0.009058125710822021,-0.010837864585156582
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,PBR12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,37,36,-0.000153657572904682,-0.0019486765966382996,-0.003566904993095631,0.00835495236985059,-0.008985758873095225,-0.0030042911976419897,-0.0049429545647332665
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,PBR12MF,MOMENTUM_X_VALUE,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,46,37,0.00052904233640377,0.0020637432753089777,0.005816203973026937,-0.011343975006784211,-0.02120471584140891,-0.007829888499133256,-0.0104580167744838
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,PBR12MF,MOMENTUM_X_VALUE,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,46,36,0.001305544471581477,-0.0004749555236230068,-0.007797239613824322,0.008177674226373898,0.003994042177949551,-0.0014793704467610323,-0.013805837525488796
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,PER12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,38,24,0.00232458258987076,-0.004509680916448424,0.006013111785033494,0.004576255209381258,-0.023019442505118046,-0.00435140364824267,-0.012081479142233113
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,PER12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,38,40,0.00027649362773803717,0.0004910832684067419,-0.0016478268600450732,0.008779383212418168,-0.0010766772823909247,0.00100651528757987,0.01098557289934125
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,PER12MF,MOMENTUM_X_VALUE,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,46,42,9.847742944985048e-05,0.0011465959427928816,0.0040519052859360714,-0.013268135799282786,-0.01870122325570854,-0.003972195146400351,0.00013688086021464846
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM1M,PER12MF,MOMENTUM_X_VALUE,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,46,40,0.000851503136053459,0.002408807611175132,-0.007254525626070111,0.00582014057431228,0.005411088679077523,0.0020057777307748333,0.00452788427756191
