feature,target,n_universe_years,train_direction_median,DEV_2020_2022_median_dic,DEV_2020_2022_positive_dic_share,DEV_2020_2022_median_dhl,CONFIRM_2023_2024_median_dic,CONFIRM_2023_2024_positive_dic_share,CONFIRM_2023_2024_median_dhl,BULL_2025_median_dic,BULL_2025_positive_dic_share,BULL_2025_median_dhl,YTD_2026_median_dic,YTD_2026_positive_dic_share,YTD_2026_median_dhl,CONFIRM_positive_universes,CONFIRM_universe_count,PASS
PC1_SHARE_60,TARGET_WORST_LEADER_LOSS_20,42,1.0,-0.059687875150060014,0.3888888888888889,-0.002716214350135911,0.043917716022579247,0.6666666666666666,0.026308718289825117,-0.0586734693877551,0.3333333333333333,0.004158778210198975,-0.12500000000000003,0.3333333333333333,-0.009529503587463777,3,6,False
LOSER_WEAKNESS_20,TARGET_WORST_LEADER_LOSS_20,42,1.0,-0.030300120048019203,0.4444444444444444,-0.0011029281945790417,0.04049066435084672,0.5833333333333334,0.0037020977356982208,0.1139795918367347,1.0,0.012036930940870452,0.020833333333333336,0.6666666666666666,-0.030045938711943415,4,6,False
DISPERSION_CHANGE_20,TARGET_WORST_LEADER_LOSS_20,42,1.0,0.014639855942376951,0.5,0.004124589454928194,0.03540816326530612,0.5,-0.005122819357063292,0.0511734693877551,0.6666666666666666,0.00822199391914439,0.1519607843137255,0.8333333333333334,0.018415434437468323,4,6,False
LOSER_WEAKNESS_20,TARGET_REVERSAL_GAP_20,42,1.0,0.03497298919567826,0.5555555555555556,0.0031254079807947806,0.03241315675206252,0.5833333333333334,-0.00034643846926500545,-0.032499999999999994,0.16666666666666666,-0.0038698516542730018,0.11764705882352942,0.8333333333333334,-0.04496706433462107,5,6,False
PC1_SHARE_60,TARGET_TOP2_RELATIVE_LOSS_20,42,1.0,-0.038478570915545705,0.4444444444444444,0.001705640701949172,0.024967433782023447,0.5,-0.001975616352564425,0.07275510204081631,1.0,0.002901200662311385,0.0024509803921568627,0.5,-0.0008006728676776937,2,6,False
PC1_SHARE_60,TARGET_TOP2_DROP_SHARE_20,42,1.0,0.03326811376308479,0.6111111111111112,-0.04789272030651337,0.024732901494437368,0.5,0.038690476190476164,0.021162649440603552,0.5,-0.1001238344988345,0.060796319990382,0.6666666666666666,0.0,3,6,False
RANGE_20,TARGET_REVERSAL_GAP_20,42,1.0,0.03319627851140456,0.5555555555555556,-0.002757615564316705,0.024533217542336082,0.6666666666666666,-0.0015223126125918996,0.011377551020408161,0.6666666666666666,0.00448351119801098,0.2046568627450981,1.0,0.007782656671321483,4,6,False
BREADTH_CHANGE_20,TARGET_WORST_LEADER_LOSS_20,42,-1.0,-0.027371273734531767,0.4444444444444444,0.0035370724961602124,0.022692211302020038,0.5833333333333334,-0.0029491709107260563,-0.05932684691462953,0.3333333333333333,0.002164708643332486,0.0023467672802408683,0.5,0.00412072812671409,3,6,False
PREV_RANK_CORR_20,TARGET_TOP2_DROP_SHARE_20,42,1.0,-0.0952188529655826,0.3333333333333333,-0.07909982174688057,0.021636062254855842,0.5833333333333334,-0.015448319796145915,0.017253556819253203,0.6666666666666666,-0.005050505050505055,-0.15974747589670246,0.16666666666666666,-0.12142857142857144,2,6,False
RANK_TURNOVER_20,TARGET_TOP2_DROP_SHARE_20,42,-1.0,-0.0952188529655826,0.3333333333333333,-0.07909982174688057,0.021636062254855842,0.5833333333333334,-0.015448319796145915,0.017253556819253203,0.6666666666666666,-0.005050505050505055,-0.15974747589670246,0.16666666666666666,-0.12142857142857144,2,6,False
LEADER_Z_20,TARGET_TOP2_RELATIVE_LOSS_20,42,-1.0,-0.03736194477791116,0.3333333333333333,0.002691981643013575,0.02029960920538428,0.5833333333333334,0.0026921090617232097,0.048928571428571425,0.6666666666666666,0.004476876206089715,0.0428921568627451,0.6666666666666666,-0.004065904338689343,2,6,False
TOP2_ABS_SHARE_20,TARGET_WORST_LEADER_LOSS_20,42,-1.0,0.02263505402160864,0.5,0.000793498030919668,0.019281372123317413,0.5833333333333334,0.008307921334989143,0.1168877551020408,0.6666666666666666,0.009205098027873785,-0.3357843137254902,0.16666666666666666,-0.01674403563139793,3,6,False
LEADER_Z_20,TARGET_WORST_LEADER_LOSS_20,42,-1.0,0.05411149075014621,0.6111111111111112,0.012227391361860893,0.018403169778549715,0.5833333333333334,0.002134885164095701,0.1664285714285714,1.0,0.01642366031808242,0.12500000000000003,0.5,0.04608080294838171,3,6,False
