model,universe,cost_bps,period,n_rebalances,cagr,sharpe,mdd,ew8_cagr,ew8_sharpe,ew8_mdd,top2_cagr,top2_sharpe,delta_cagr_vs_ew8,delta_sharpe_vs_ew8,delta_mdd_vs_ew8,delta_sharpe_vs_top2,avg_abs_lambda,avg_lambda,annual_turnover
LIQ_CONT,KOSPI_ALL,0,DEV_2020_2022,38,0.07313949388753938,1.1783911181981583,-0.03341464285234641,0.06784398735064134,1.0980679005285914,-0.04072532130981743,0.04618925709060262,0.39406706339106023,0.005295506536898031,0.08032321766956696,0.00731067845747102,0.7843240548070981,0.1223938901304654,0.014112389074486092,1.809404259160315
COMBINED_CONT,KOSPI_ALL,0,DEV_2020_2022,38,0.08253762886807081,1.311234221057687,-0.03467089396902723,0.06784398735064134,1.0980679005285914,-0.04072532130981743,0.04618925709060262,0.39406706339106023,0.014693641517429468,0.21316632052909568,0.006054427340790203,0.9171671576666268,0.12164627913722284,-0.016075420278659113,1.7239821486370008
PERSIST_CONT,KOSPI_EX_K200,0,DEV_2020_2022,31,0.09513229142376156,1.0934913209993093,-0.06432062576315822,0.08418644663110508,0.9894260487380767,-0.06475484058299585,0.16033114286904793,0.9773542447977174,0.010945844792656478,0.10406527226123263,0.00043421481983763055,0.11613707620159197,0.12082882866767364,-0.02820193831891968,1.760385628041844
LIQ_CONT,KOSPI_EX_K200,0,DEV_2020_2022,31,0.08728787339066768,0.9533070133373963,-0.07266460047767098,0.08418644663110508,0.9894260487380767,-0.06475484058299585,0.16033114286904793,0.9773542447977174,0.0031014267595625977,-0.0361190354006804,-0.007909759894675128,-0.02404723146032106,0.10426160348228873,0.043811299911023706,1.621685075678089
COMBINED_CONT,KOSPI_EX_K200,0,DEV_2020_2022,31,0.0925963308265203,1.030434171193421,-0.07161820469688396,0.08418644663110508,0.9894260487380767,-0.06475484058299585,0.16033114286904793,0.9773542447977174,0.008409884195415218,0.041008122455344354,-0.006863364113888104,0.05307992639570369,0.12961613609143913,0.009648757000607902,1.9728560532556072
PERSIST_CONT,KOSPI_KOSDAQ_ALL,0,DEV_2020_2022,38,0.07891479386551614,1.2450587747166026,-0.03243896266187951,0.07539231049923023,1.231490309029853,-0.0308142093400241,0.022858651921169537,0.22014881101303815,0.003522483366285911,0.013568465686749631,-0.00162475332185541,1.0249099637035646,0.13471313760033427,-0.0619566806940969,1.9398220087508853
LIQ_CONT,KOSPI_KOSDAQ_ALL,0,DEV_2020_2022,38,0.0854081277241423,1.3263409496991623,-0.03079688926632418,0.07539231049923023,1.231490309029853,-0.0308142093400241,0.022858651921169537,0.22014881101303815,0.010015817224912071,0.09485064066930926,1.732007369992239e-05,1.1061921386861242,0.12422834922779333,0.02673975217331177,1.8841851701910088
COMBINED_CONT,KOSPI_KOSDAQ_ALL,0,DEV_2020_2022,38,0.08417861854771314,1.3457910052364692,-0.03175744766419053,0.07539231049923023,1.231490309029853,-0.0308142093400241,0.022858651921169537,0.22014881101303815,0.008786308048482905,0.1143006962066162,-0.0009432383241664288,1.1256421942234311,0.12892471042724535,-0.025623849433847334,1.9465155242072167
PERSIST_CONT,K200,0,CONFIRM_2023_2024,24,0.11846091105145407,1.64709502311935,-0.03047810495308123,0.10812552676521658,1.4845132388569693,-0.03179925204880618,0.09689955473524803,0.6897617652054854,0.010335384286237481,0.16258178426238068,0.0013211470957249505,0.9573332579138646,0.13423551168970016,-0.0064604853544644085,1.737703525583332
LIQ_CONT,K200,0,CONFIRM_2023_2024,24,0.11375642690906829,1.4838958979521601,-0.04587598434833684,0.10812552676521658,1.4845132388569693,-0.03179925204880618,0.09689955473524803,0.6897617652054854,0.0056309001438517026,-0.0006173409048091383,-0.014076732299530659,0.7941341327466748,0.1278528200975845,0.028856572541127515,1.7216546544272195
COMBINED_CONT,K200,0,CONFIRM_2023_2024,24,0.11662584397944942,1.5887553942891894,-0.03250476462994778,0.10812552676521658,1.4845132388569693,-0.03179925204880618,0.09689955473524803,0.6897617652054854,0.008500317214232833,0.10424215543222015,-0.0007055125811415985,0.8989936290837041,0.12429576173031669,0.01837390400872076,1.7915688531707619
PERSIST_CONT,KOSDAQ,0,CONFIRM_2023_2024,24,0.07147154522411991,0.9349238623469417,-0.05887284082499056,0.038296597531923826,0.5408009048568467,-0.06656891878182603,0.04440735746819824,0.30240744461305163,0.03317494769219609,0.39412295749009496,0.007696077956835468,0.63251641773389,0.13657440162675763,0.013813224218983379,1.9401788070544457
LIQ_CONT,KOSDAQ,0,CONFIRM_2023_2024,24,0.06393696089777401,0.8216368263347976,-0.06439932974454321,0.038296597531923826,0.5408009048568467,-0.06656891878182603,0.04440735746819824,0.30240744461305163,0.025640363365850183,0.2808359214779509,0.0021695890372828153,0.5192293817217459,0.10326344014171239,0.003174804385537367,1.541569168281073
