universe,strategy,period,cost_bp,n_phases,median_delta_cagr,mean_delta_cagr,min_delta_cagr,cagr_better_phases,median_delta_sharpe,sharpe_better_phases,median_mdd_improvement,mdd_better_phases,median_delta_annual_turnover,median_cagr,worst_phase_cagr,median_mdd,worst_phase_mdd,median_sharpe,worst_phase_sharpe,median_annual_turnover
KOSDAQ,TURNOVER20_TOP01_LOW30,NORMAL_2023_2024,30,10,0.021162325309696306,0.022538807312238274,0.0018514010784418389,10,0.07569219446568244,10,0.005266911935658425,8,0.1383071726708085,0.04894803101048273,0.012245411739817413,-0.3370171570953507,-0.3661814038767226,0.31551834149299784,0.1773280140133958,10.230386642104373
KOSDAQ,ACT1_LOW05,NORMAL_2023_2024,60,10,0.008342962542483567,0.007953143778272031,-0.001797422492476386,9,0.03329569956200685,9,-0.0007951737118097602,4,0.07339055558591401,0.012600267467120174,-0.04029246979949819,-0.3534900004309424,-0.3832368397330582,0.17643114827543085,-0.037960935968378864,10.173670779010774
KOSDAQ,ACT5_LOW30,NORMAL_2023_2024,60,10,0.0038482646879627325,0.008321958940014963,-0.009803472822615622,6,0.01495251085623997,6,0.0031938049966575566,7,1.7804293898399912,0.002790261522701676,-0.027481804742322646,-0.3495922822684206,-0.3792245719684064,0.13805817122154768,0.013692602916427203,11.882708237520479
KOSDAQ,AMIHUD20_TOP05,NORMAL_2023_2024,60,10,0.0029574759532625117,0.0035761550004889562,0.0014831797343823894,10,0.011833176058556447,10,0.0,5,-0.002354789166234994,0.009851172172320899,-0.05057321792842606,-0.3533247428822609,-0.3815638654921605,0.16569535896343662,-0.08148758772641439,10.076841208718292
KOSDAQ,TURNOVER20_LOW30,NORMAL_2023_2024,60,10,0.015707909141950804,0.019214995013828118,0.0100601661065709,10,0.06753524917781746,10,-0.006929499235748593,0,0.168126376909715,0.018474936033896716,-0.02386132155595677,-0.3634034431890956,-0.3863859673022081,0.2014997489883404,0.03730737795709682,10.242533285478029
KOSDAQ,TURNOVER20_TOP01_LOW30,NORMAL_2023_2024,60,10,0.02017642424791677,0.021480031035575976,0.0016865634355105463,10,0.07748502823039807,10,0.0049684166170141375,8,0.1383071726708085,0.01748584668131148,-0.018251269520826674,-0.34582274488813997,-0.37521046642449374,0.19756992431648396,0.05845118299112401,10.230386642104373
KOSDAQ,ACT1_LOW05,PRE_STRESS_2016_2024,0,10,0.008193981956596486,0.00772678114309624,0.0033585662202815225,10,0.03105971381974512,10,0.008995675677345771,10,0.07286898627042149,0.05313311469132309,0.03094666126393042,-0.4576800034642911,-0.4831363358988521,0.33245544827331697,0.24752740476994425,9.67398314022
KOSDAQ,ACT5_LOW30,PRE_STRESS_2016_2024,0,10,0.014658668428199184,0.014487355056297146,0.0029546936844242477,10,0.054915056620488206,10,0.002090830380730324,6,1.8328637514684365,0.05904906339080995,0.04188009013540284,-0.46885561671358844,-0.4945320369582782,0.35479899895832734,0.289752950966871,11.449480220983826
KOSDAQ,AMIHUD20_TOP05,PRE_STRESS_2016_2024,0,10,0.006739525014084258,0.006917690748778127,0.005386425948736395,10,0.026160792591976956,10,0.007615797348506426,10,0.002629286204693493,0.05076054582909517,0.027025851576429005,-0.45938048660193065,-0.48780719045462484,0.3233024185270188,0.23223380649583983,9.609785689183731
KOSDAQ,TURNOVER20_LOW30,PRE_STRESS_2016_2024,0,10,0.01075624320115276,0.01000988861304326,0.0014384083619467525,10,0.035616007592025656,10,0.01518909641453059,9,0.13406116393130585,0.05547189055843782,0.03116590535014141,-0.4516744092856923,-0.4922861888536769,0.3377096824287592,0.24880074812961606,9.739173761829143
KOSDAQ,TURNOVER20_TOP01_LOW30,PRE_STRESS_2016_2024,0,10,0.015625182040668206,0.014126940656836062,0.0065630646707925955,10,0.05519189033873015,10,0.021065295330506495,9,0.12934643096804432,0.05822844449525033,0.036089403668462694,-0.4487103794972375,-0.49148344094961305,0.34786597472350833,0.26701975920919013,9.730380588027174
KOSDAQ,ACT1_LOW05,PRE_STRESS_2016_2024,30,10,0.007715053336674438,0.007294284680331864,0.0030769671089503348,10,0.030233434003806223,10,0.008495928957724275,10,0.07286898627042149,0.02300638327749338,0.0013332289791212482,-0.481999878322689,-0.5084385517487726,0.21671297001874368,0.13112145049312632,9.67398314022
KOSDAQ,ACT5_LOW30,PRE_STRESS_2016_2024,30,10,0.00832699760709954,0.008409218611217706,-0.0031202350415200364,6,0.032143357704398856,6,-0.0019220345672983918,2,1.8328637514684365,0.023207144059745777,0.006675672513469788,-0.49922362925982205,-0.5221827644510864,0.21757232434038704,0.15297388056553796,11.449480220983826
