variant,top_n,weighting,cost_bps,year,n_periods,return,excess_return,sharpe,mdd,avg_turnover,avg_rank_ic
MOM12_1_BASE,20,rank_linear,0,2022,25,-0.23129155630933618,-0.1144436234443118,-0.889149571057901,-0.2426808518073741,0.22400000000000003,0.013462161456106117
MOM12_1_BASE,20,rank_linear,0,2023,24,0.15979615351550192,0.12171462575189529,0.6378303959749824,-0.26511039467959874,0.21805555555555553,-0.0038000596023804456
MOM12_1_BASE,20,rank_linear,0,2024,24,0.22388572856507394,0.23869282900387878,0.89553086527711,-0.15410081496536265,0.2113095238095238,0.06144272473809429
MOM12_1_BASE,20,rank_linear,0,2025,25,1.268848044939562,0.4704506944948714,2.2923473018062728,-0.12897396667382433,0.1653333333333333,0.05907868765906574
MOM12_1_BASE,20,rank_linear,0,2026,13,0.023788403678132397,0.033725560710754054,0.37773123913138257,-0.424031089978803,0.1882783882783883,-0.048981876807475816
MOM12_1_BASE,20,rank_linear,30,2016,25,-0.1720282769043735,-0.17251259958607001,-0.6923089429588045,-0.23317561041856016,0.25847619047619047,-0.02232554057217394
MOM12_1_BASE,20,rank_linear,30,2017,24,0.14176956733311208,0.008521014214400768,1.0609159718867316,-0.07465879601230097,0.21726190476190474,0.0034107207624585432
MOM12_1_BASE,20,rank_linear,30,2018,25,-0.20361698632351832,-0.06770027322730587,-0.6829687542444459,-0.3361605537801978,0.18114285714285713,-0.042664110102604215
MOM12_1_BASE,20,rank_linear,30,2019,24,-0.16910969521064634,-0.12548073759889922,-1.2936766905700614,-0.21516266468952638,0.27460317460317457,-0.022136318135253158
MOM12_1_BASE,20,rank_linear,30,2020,25,0.658015957752538,0.2899470070150161,1.5219305282897744,-0.27623837327175516,0.16666666666666663,-0.002199697627247541
MOM12_1_BASE,20,rank_linear,30,2021,25,-0.19441136995375718,-0.21633729355589515,-0.7669586038056148,-0.1843064152428261,0.1803809523809524,-0.06131108157880753
MOM12_1_BASE,20,rank_linear,30,2022,25,-0.2442280357511315,-0.129284723234257,-0.9550413638882466,-0.2502765802909631,0.22400000000000003,0.013462161456106117
MOM12_1_BASE,20,rank_linear,30,2023,24,0.14183294896037602,0.10434290642497523,0.5860464478393171,-0.26753059681718727,0.21805555555555553,-0.0038000596023804456
MOM12_1_BASE,20,rank_linear,30,2024,24,0.2055053950907637,0.22006675783219642,0.8375497142133235,-0.16008475297584457,0.2113095238095238,0.06144272473809429
MOM12_1_BASE,20,rank_linear,30,2025,25,1.2416853361760687,0.4525582971426887,2.260832882040305,-0.13030677848490668,0.1653333333333333,0.05907868765906574
