sample,universe,n_pos_alt,horizon,metric,series,n,mean,positive_share,tstat
POST_2023_PLUS,K200,1,5,top,pos_alt_top_5,10,0.02078535385915134,0.7,3.1315516792641422
POST_2023_PLUS,K200,1,5,top,neg_alt_top_5,10,0.017382491130306942,0.8,3.6298700661832353
POST_2023_PLUS,K200,1,5,top,mom_top_5,10,0.01546410367446402,0.7,1.7753941126756967
POST_2023_PLUS,K200,1,5,top,pos_minus_mom_top_5,10,0.00532125018468732,0.7,1.3667062953252929
POST_2023_PLUS,K200,1,5,spread,pos_alt_spread_5,10,0.0092574007742759,0.8,1.9750312137011399
POST_2023_PLUS,K200,1,5,spread,neg_alt_spread_5,10,0.00350897815492104,0.7,0.860953051561076
POST_2023_PLUS,K200,1,5,spread,mom_spread_5,10,0.00340413415697305,0.6,0.7230368727864972
POST_2023_PLUS,K200,1,5,spread,pos_minus_mom_spread_5,10,0.00585326661730285,0.8,1.4279697051520004
POST_2023_PLUS,K200,1,20,top,pos_alt_top_20,10,0.023281598210406353,0.8,2.1852584117326175
POST_2023_PLUS,K200,1,20,top,neg_alt_top_20,10,0.01698639250606033,0.7,2.1191984090207203
POST_2023_PLUS,K200,1,20,top,mom_top_20,10,0.0068164808064835715,0.6,0.5391728880770139
POST_2023_PLUS,K200,1,20,top,pos_minus_mom_top_20,10,0.01646511740392278,0.8,1.9885239334137579
POST_2023_PLUS,K200,1,20,spread,pos_alt_spread_20,10,0.0219347920642033,0.8,1.5601032967617297
POST_2023_PLUS,K200,1,20,spread,neg_alt_spread_20,10,0.013367874876729514,0.7,1.3181607614813973
POST_2023_PLUS,K200,1,20,spread,mom_spread_20,10,0.012541167931015595,0.5,1.23650414142049
POST_2023_PLUS,K200,1,20,spread,pos_minus_mom_spread_20,10,0.009393624133187705,0.7,0.676291026351899
POST_2023_PLUS,K200,2,5,top,pos_alt_top_5,9,-0.0027704667378148267,0.4444444444444444,-0.3349020882961611
POST_2023_PLUS,K200,2,5,top,neg_alt_top_5,9,-0.0017195019419839553,0.4444444444444444,-0.20871034765687183
