factor_a,factor_b,spec,period,observed_r2,placebo_p,observed_percentile,placebo_q90
OP12_REV,PBR12MF,TRAIL20,STRESS_2025,-0.019639745290302546,0.6086956521739131,0.4,0.00048003413693120705
OP12_REV,PBR12MF,TRAIL20,STRESS_2026,-0.008289951482797209,0.8076923076923077,0.2,0.024634907391636478
OP12_REV,PBR12MF,DISLOCATION,VAL_2020_2022,-0.008142005033121125,0.6438356164383562,0.3586206896551724,0.017069544274921064
OP12_REV,PBR12MF,DISLOCATION,CONF_2023_2024,-0.01486547936448468,0.648936170212766,0.3548387096774194,0.02938453225960078
OP12_REV,PBR12MF,DISLOCATION,STRESS_2025,-0.006668291796695813,0.5652173913043478,0.4444444444444444,0.020291790012198257
OP12_REV,PBR12MF,DISLOCATION,STRESS_2026,-0.03465049798857134,0.8461538461538461,0.16,0.028106462325499838
OP12_REV,PER12MF,TRAIL20,VAL_2020_2022,-0.057980511201866314,0.9452054794520548,0.05517241379310345,0.025550868103075674
OP12_REV,PER12MF,TRAIL20,CONF_2023_2024,0.008130315301253521,0.30851063829787234,0.6989247311827957,0.04262283742724544
OP12_REV,PER12MF,TRAIL20,STRESS_2025,-0.03608083664126682,0.5434782608695652,0.4666666666666667,0.019613643700186506
OP12_REV,PER12MF,TRAIL20,STRESS_2026,-0.047043640869135706,0.8076923076923077,0.2,0.06329863839692207
OP12_REV,PER12MF,DISLOCATION,VAL_2020_2022,-0.05274356424577298,0.910958904109589,0.0896551724137931,0.03770677454146293
OP12_REV,PER12MF,DISLOCATION,CONF_2023_2024,-0.03333324807537763,0.6276595744680851,0.3763440860215054,0.06347481782544404
OP12_REV,PER12MF,DISLOCATION,STRESS_2025,-0.001058131882971436,0.391304347826087,0.6222222222222222,0.026426705712013113
OP12_REV,PER12MF,DISLOCATION,STRESS_2026,-0.08442380776812075,0.8461538461538461,0.16,0.04380560693029707
OP12_REV,PRIVATE_FLOW,TRAIL20,VAL_2020_2022,-0.0006890403998478511,0.5753424657534246,0.42758620689655175,0.004181853027369575
OP12_REV,PRIVATE_FLOW,TRAIL20,CONF_2023_2024,-0.0006511149786398995,0.5,0.5053763440860215,0.009247157125958158
OP12_REV,PRIVATE_FLOW,TRAIL20,STRESS_2025,0.003852976386070628,0.45652173913043476,0.5555555555555556,0.01303603439057728
OP12_REV,PRIVATE_FLOW,TRAIL20,STRESS_2026,0.010809198298960099,0.3076923076923077,0.72,0.012177014130454
OP12_REV,PRIVATE_FLOW,DISLOCATION,VAL_2020_2022,-1.1198014136182266e-05,0.5205479452054794,0.4827586206896552,0.00046487855203598545
OP12_REV,PRIVATE_FLOW,DISLOCATION,CONF_2023_2024,-8.915124292552257e-05,0.5851063829787234,0.41935483870967744,0.0008174548245851286
OP12_REV,PRIVATE_FLOW,DISLOCATION,STRESS_2025,0.000395501473570814,0.1956521739130435,0.8222222222222222,0.0005898629756865503
OP12_REV,PRIVATE_FLOW,DISLOCATION,STRESS_2026,-0.0004095631402456501,0.6153846153846154,0.4,-3.067769989544263e-05
OP12_REV,FOREIGN_FLOW,TRAIL20,VAL_2020_2022,0.0047761942759503295,0.2465753424657534,0.7586206896551724,0.01940290350997571
OP12_REV,FOREIGN_FLOW,TRAIL20,CONF_2023_2024,0.011126990435820772,0.7446808510638298,0.25806451612903225,0.1157577413489136
OP12_REV,FOREIGN_FLOW,TRAIL20,STRESS_2025,0.015947501924169494,0.6739130434782609,0.3333333333333333,0.1113947466938301
OP12_REV,FOREIGN_FLOW,TRAIL20,STRESS_2026,0.04759546025913097,0.23076923076923078,0.8,0.07815669277772479
OP12_REV,FOREIGN_FLOW,DISLOCATION,VAL_2020_2022,0.0187792495665684,0.136986301369863,0.8689655172413793,0.022284119196149407
OP12_REV,FOREIGN_FLOW,DISLOCATION,CONF_2023_2024,-0.015353545628249199,0.5638297872340425,0.44086021505376344,0.040887124077130584
OP12_REV,FOREIGN_FLOW,DISLOCATION,STRESS_2025,-0.013769488194471435,0.5434782608695652,0.4666666666666667,0.03740438852765776
OP12_REV,FOREIGN_FLOW,DISLOCATION,STRESS_2026,0.06714412955442162,0.19230769230769232,0.84,0.07450427213382718
OPFY1_REV,PBR12MF,TRAIL20,VAL_2020_2022,-0.016798887171173504,0.952054794520548,0.04827586206896552,0.01028945330595603
OPFY1_REV,PBR12MF,TRAIL20,CONF_2023_2024,-0.012416761402550769,0.8404255319148937,0.16129032258064516,0.019891766263744642
OPFY1_REV,PBR12MF,TRAIL20,STRESS_2025,-0.019662693721863356,0.391304347826087,0.6222222222222222,-0.013094299711149348
OPFY1_REV,PBR12MF,TRAIL20,STRESS_2026,-0.004723688082114208,0.5,0.52,0.027025850065861085
OPFY1_REV,PBR12MF,DISLOCATION,VAL_2020_2022,-0.002165380005706874,0.815068493150685,0.18620689655172415,0.0027439057978416504
OPFY1_REV,PBR12MF,DISLOCATION,CONF_2023_2024,-0.0022832305981155265,0.7553191489361702,0.24731182795698925,0.004685320113557423
OPFY1_REV,PBR12MF,DISLOCATION,STRESS_2025,0.0010215973882418128,0.2608695652173913,0.7555555555555555,0.004594960457480491
OPFY1_REV,PBR12MF,DISLOCATION,STRESS_2026,-0.0025622728175989096,0.6538461538461539,0.36,0.007703101593537977
OPFY1_REV,PER12MF,TRAIL20,VAL_2020_2022,-0.07923729455963402,0.952054794520548,0.04827586206896552,0.019723078834917262
OPFY1_REV,PER12MF,TRAIL20,CONF_2023_2024,-0.023593733760878033,0.574468085106383,0.43010752688172044,0.03446247330695655
OPFY1_REV,PER12MF,TRAIL20,STRESS_2025,-0.017247987743051585,0.2826086956521739,0.7333333333333333,-0.004906620504208359
OPFY1_REV,PER12MF,TRAIL20,STRESS_2026,-0.04750301863099393,0.8076923076923077,0.2,0.05110229584331977
OPFY1_REV,PER12MF,DISLOCATION,VAL_2020_2022,-0.020022871224075534,0.958904109589041,0.041379310344827586,0.009496136795045127
OPFY1_REV,PER12MF,DISLOCATION,CONF_2023_2024,-0.01187020835307595,0.7021276595744681,0.3010752688172043,0.019314411506615232
