universe,base_k,base_rank,base_state,base_role,factor_method,period,n_high,n_low,base_distance_z,factor_distance_z,MKT_FWD_20D_high,MKT_FWD_20D_low,MKT_FWD_20D_diff,MKT_FWD_DD20_high,MKT_FWD_DD20_low,MKT_FWD_DD20_diff,NEXT_UP_high,NEXT_UP_low,NEXT_UP_diff,NEXT_DOWN_high,NEXT_DOWN_low,NEXT_DOWN_diff
KOSDAQ,3,2,B2,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,16,8,1.7071443196177167,2.1068320985940834,0.03493982542576877,0.015576220379351434,0.019363605046417334,-0.020966442400879963,-0.05856343819861359,0.03759699579773363,0.375,0.0,0.375,0.0,0.125,-0.125
KOSDAQ,3,3,B3,STRONG,KMEANS,TRAIN,46,78,0.296573006433829,2.268130054680033,-0.004089139828363141,0.00432323070364351,-0.008412370532006651,-0.043389956937748594,-0.038603265949670486,-0.004786690988078109,0.0,0.0,0.0,0.32608695652173914,0.23076923076923078,0.09531772575250835
KOSDAQ,3,3,B3,STRONG,KMEANS,VALID_2023_2024,11,15,1.2134163005915755,3.5216127105539963,-0.02302558897797432,0.002394012847891041,-0.02541960182586536,-0.053725109857395426,-0.038711635540038876,-0.01501347431735655,0.0,0.0,0.0,0.2727272727272727,0.26666666666666666,0.006060606060606044
KOSDAQ,3,3,B3,STRONG,KMEANS,STRESS_2025,10,13,1.41311863397904,3.107433610907742,0.029569878684228324,0.023839154049234798,0.005730724634993526,-0.01625307224700267,-0.030297528858541374,0.014044456611538705,0.0,0.0,0.0,0.1,0.38461538461538464,-0.2846153846153846
KOSDAQ,3,3,B3,STRONG,SCORE_MEDIAN,TRAIN,75,49,0.5758324412271892,1.8171198725425055,-0.004993384802930064,0.010686029040800902,-0.015679413843730967,-0.04302196596822367,-0.03633357786926445,-0.006688388098959219,0.0,0.0,0.0,0.21333333333333335,0.3469387755102041,-0.13360544217687073
KOSDAQ,3,3,B3,STRONG,SCORE_MEDIAN,VALID_2023_2024,16,10,0.7717273587455125,2.240962588449819,-0.01178599260983053,-0.0028795404282063396,-0.00890645218162419,-0.052439879696782765,-0.03326126663834086,-0.019178613058441908,0.0,0.0,0.0,0.375,0.1,0.275
KOSDAQ,4,2,B2,REPAIR_MID,SCORE_MEDIAN,TRAIN,37,35,1.0813711049478436,1.745058901266531,0.011487504392102789,0.021761016282038845,-0.010273511889936056,-0.047100176915844394,-0.041219849331660695,-0.005880327584183699,0.2702702702702703,0.11428571428571428,0.15598455598455602,0.02702702702702703,0.0,0.02702702702702703
KOSDAQ,4,2,B2,REPAIR_MID,SCORE_MEDIAN,VALID_2023_2024,14,9,1.4506887514252722,2.8947875878927363,0.01841635084410518,0.028728724122369362,-0.010312373278264182,-0.03945701649506711,-0.0553374301303258,0.01588041363525869,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0
KOSDAQ,4,3,B3,REPAIR_MID,KMEANS,TRAIN,68,77,0.9694014309159047,2.5893023525989936,-0.004356437647625124,-0.003997302939072158,-0.00035913470855296597,-0.044656312137477616,-0.04995501934772687,0.005298707210249255,0.25,0.14285714285714285,0.10714285714285715,0.07352941176470588,0.12987012987012986,-0.05634071810542397
KOSDAQ,4,3,B3,REPAIR_MID,KMEANS,VALID_2023_2024,20,31,1.1042917962922074,2.601248500244985,0.011774301344931872,-0.00666562280469596,0.018439924149627834,-0.03167787504748977,-0.05544455338881272,0.02376667834132295,0.2,0.12903225806451613,0.07096774193548389,0.0,0.0967741935483871,-0.0967741935483871
KOSDAQ,4,3,B3,REPAIR_MID,KMEANS,STRESS_2025,16,9,0.7233742514057732,2.0695579427388195,0.02492516927392205,0.0162107694381666,0.008714399835755449,-0.025615989693410855,-0.05110646215775705,0.025490472464346194,0.3125,0.2222222222222222,0.09027777777777779,0.0,0.1111111111111111,-0.1111111111111111
KOSDAQ,4,3,B3,REPAIR_MID,SCORE_MEDIAN,TRAIN,73,72,1.376351918112816,2.0990506838055376,-0.008784588348461301,0.000517289765147364,-0.009301878113608665,-0.04742580781296651,-0.04751502423301238,8.921642004587615e-05,0.2876712328767123,0.09722222222222222,0.1904490106544901,0.0410958904109589,0.16666666666666666,-0.12557077625570776
KOSDAQ,4,3,B3,REPAIR_MID,SCORE_MEDIAN,VALID_2023_2024,27,24,1.7551480982606626,2.1314028948379575,-0.006834802214924675,0.008891307489834537,-0.01572610970475921,-0.04454828173213669,-0.04789729371813747,0.00334901198600078,0.25925925925925924,0.041666666666666664,0.2175925925925926,0.037037037037037035,0.08333333333333333,-0.046296296296296294
KOSDAQ,4,3,B3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,17,8,1.7120348546561046,1.7811820775379885,0.025079258071947354,0.014794030762893397,0.010285227309053957,-0.024378622804994907,-0.056922175853684226,0.03254355304868932,0.4117647058823529,0.0,0.4117647058823529,0.0,0.125,-0.125
KOSDAQ,4,4,B4,STRONG,KMEANS,TRAIN,48,63,0.3076665529341875,2.2190172469215996,-0.018041092085829154,0.007960093716423146,-0.026001185802252302,-0.05593217630577901,-0.032265152627773984,-0.02366702367800503,0.0,0.0,0.0,0.3333333333333333,0.30158730158730157,0.031746031746031744
KOSDAQ,4,4,B4,STRONG,KMEANS,VALID_2023_2024,10,12,1.4314961927127072,3.7369091454733554,-0.02117393533550595,-0.00593970876229745,-0.015234226573208502,-0.05494340830286919,-0.03755424339501654,-0.017389164907852646,0.0,0.0,0.0,0.3,0.4166666666666667,-0.1166666666666667
