universe,state,sample,n,ret60,liq,abs_confirmed,defensive,leader_strength,fwd5,fwd20,fwd_dd20
KOSPI_KOSDAQ_ALL,BROAD_EXPANSION,TRAIN,25,0.11155610128092334,0.48949805570083965,0.52,0.02,0.09421156680968501,0.005101792785546546,0.009951585629522404,-0.025092443790132746
KOSPI_KOSDAQ_ALL,BROAD_EXPANSION,POST_2023,27,0.22229452628966642,0.5011331675580898,0.5694444444444444,0.0,0.08109394347189415,0.026376985223892188,0.07885496737014487,-0.02745710272054392
KOSPI_KOSDAQ_ALL,BROAD_WEAKNESS,TRAIN,40,-0.0701689064088393,0.37152361162144143,0.334375,0.0,0.05812603967769061,0.002380637931874649,-0.0011619270797744413,-0.029518524621088928
KOSPI_KOSDAQ_ALL,BROAD_WEAKNESS,POST_2023,15,-0.054854046074624414,0.35273769497547247,0.25833333333333336,0.0,0.05445798289015621,0.0005307224513614509,0.01706664479570188,-0.027445120322897934
KOSPI_KOSDAQ_ALL,BROAD_WEAKNESS,NORMAL_2023_2024,10,-0.0647547296723499,0.3410431083229007,0.2,0.0,0.06095383685703931,-0.0020184199452307062,-0.0033381742152235596,-0.033447523653376485
KOSPI_KOSDAQ_ALL,CONCENTRATED_TREND,TRAIN,19,0.11157961617508871,0.3360191296308847,0.19736842105263158,0.09210526315789473,0.13355510313156835,0.012487084884773434,0.04697658311429334,-0.009464054785963863
KOSPI_KOSDAQ_ALL,CONCENTRATED_TREND,POST_2023,21,0.2447163433848654,0.2484366930789624,0.22023809523809523,0.26785714285714285,0.08956699951145604,0.00377345457282273,0.012753275488390198,-0.0720215733482789
KOSPI_KOSDAQ_ALL,DEFENSIVE_WEAKNESS,TRAIN,70,-0.0852947553133252,0.32834234128624395,0.075,0.3821428571428571,0.05431803288764405,0.0009820647392952072,0.016024810505933584,-0.031197948130258807
KOSPI_KOSDAQ_ALL,DEFENSIVE_WEAKNESS,POST_2023,17,-0.08641523152740269,0.3476710315858767,0.058823529411764705,0.5,0.0860605676768963,0.011604245477293888,0.019976010317923117,-0.03167738688523907
KOSPI_KOSDAQ_ALL,DEFENSIVE_WEAKNESS,NORMAL_2023_2024,13,-0.08149945546626433,0.3474073386824287,0.057692307692307696,0.5192307692307693,0.07475040771331552,0.004474314948654768,0.014085096741603194,-0.03482644713402102
KOSPI_KOSDAQ_ALL,MIXED,TRAIN,110,0.0066348854301598766,0.3552475173322669,0.2534090909090909,0.14431818181818182,0.06638395079551639,-0.0013852365536438285,-0.011901006664615936,-0.039469062256505996
KOSPI_KOSDAQ_ALL,MIXED,POST_2023,43,0.004727405157160171,0.33521370684369817,0.31976744186046513,0.15406976744186046,0.05779854067029909,0.0003592648056247668,0.008086577377866869,-0.03446922968114082
KOSPI_KOSDAQ_ALL,MIXED,NORMAL_2023_2024,35,0.004382246623116342,0.335744111184862,0.30714285714285716,0.14642857142857144,0.0599711790793015,-0.0001596602518821972,-0.003620585395884242,-0.03569035976508852
KOSPI_KOSDAQ_ALL,OTHER_UPTREND,TRAIN,67,0.09794440380721119,0.35921211992911095,0.27611940298507465,0.054104477611940295,0.050923124332903615,-0.00158644600815864,0.00372158413793059,-0.02811393980226458
KOSPI_KOSDAQ_ALL,OTHER_UPTREND,POST_2023,45,0.11185365593156224,0.3370159255514414,0.2777777777777778,0.04722222222222222,0.052016054799150294,0.002598458627908417,0.016738839108536296,-0.0330516940257895
KOSPI_KOSDAQ_ALL,OTHER_UPTREND,NORMAL_2023_2024,26,0.06623354684069872,0.35395127636166035,0.24519230769230768,0.03365384615384615,0.05734690966372204,0.0003469219861669721,0.010514266119359805,-0.02839255650821166
KOSPI_KOSDAQ_ALL,ROTATION,POST_2023,7,0.11618941982678731,0.2871261094453247,0.32142857142857145,0.125,0.06430319296635197,-0.009887466216753722,0.028552311677328333,-0.055141933288822394
KOSPI_KOSDAQ_ALL,ROTATION,NORMAL_2023_2024,5,0.04556322633192918,0.3285363943264125,0.375,0.025,0.07713388081099923,-0.0013402486187565725,0.012356977429486328,-0.026890872647967568
