model,date,universe,state,MKT_RET_20D,MKT_RET_60D,MKT_VOL_20D,MKT_DD_60D,LIQ_5D_20D,MKT_FWD_5D,MKT_FWD_20D,MKT_FWD_DD20,MKT_FWD_VOL20
BASE,2017-08-02,KOSDAQ,S3,-0.009950379060786996,0.023620702694665985,0.11909452610282212,-0.029900652250817505,0.2924710424710425,-0.019540148596810736,0.009101759010112962,-0.041231346012574166,0.14888639078529786
BASE,2017-08-09,KOSDAQ,S3,-0.013149799581869237,0.010274128686646122,0.15581587874134914,-0.048856537659505817,0.2339405560882071,0.0008778383379860074,0.02931127200354508,-0.022123493771539993,0.12772811864688066
BASE,2017-08-17,KOSDAQ,S3,-0.03775085769814135,0.0013628301939530019,0.16858685941453183,-0.04802158746333862,0.3557692307692308,0.009884896235781046,0.03855147861060059,-0.0016052175335310448,0.10564448670938269
BASE,2017-08-24,KOSDAQ,S3,-0.0234439278127625,0.004089879925700757,0.16646639392894885,-0.03861137963671002,0.2641690682036503,0.018244794553887247,0.02002213967436516,0.002627023983287957,0.12756846100144834
BASE,2017-08-31,KOSDAQ,S4,0.009101759010112787,-0.006012008228981625,0.14888639078529775,-0.021071041771736576,0.3582375478927203,9.574632612409235e-05,-0.016872777936436198,-0.028643874312930362,0.1546222568455022
BASE,2017-09-07,KOSDAQ,S4,0.029311272003545108,-0.015699367721929924,0.12772811864688052,-0.020977312920449576,0.4307545367717287,0.009862795819957743,0.0011818524592402903,-0.028736869189405434,0.14248399695695393
BASE,2017-09-14,KOSDAQ,S4,0.03855147861060071,0.0032637439402600776,0.1056444867093825,-0.009542687024445051,0.4589694656488549,-0.008132987243593305,0.006216288544974244,-0.038222682496211746,0.15177887096465745
BASE,2017-09-21,KOSDAQ,S4,0.02002213967436517,-0.005609558117136593,0.1275684610014482,-0.024279622478323604,0.4618320610687023,-0.018585835234880232,0.041471053169008724,-0.03033642097744438,0.16272198888645226
BASE,2017-09-28,KOSDAQ,S3,-0.016872777936436267,-0.017796117262511846,0.1546222568455021,-0.042414200650256695,0.3314339981006647,0.01846199502210311,0.08246161713297806,0.0045469095050689745,0.12838838515321008
BASE,2017-10-13,KOSDAQ,S3,0.0011818524592401847,0.01697653247442399,0.14248399695695382,-0.024735256389424864,0.1897533206831119,0.014940883969905661,0.0926205563272948,-0.006445723444241547,0.12607070819845437
BASE,2017-10-20,KOSDAQ,S4,0.00621628854497458,0.005557488080827344,0.15177887096465734,-0.010163939015199408,0.2556603773584905,0.026619022310571634,0.1583155329103895,0.00525865998212649,0.15069104289616872
BASE,2017-10-27,KOSDAQ,S4,0.04147105316900901,0.03741849586289803,0.16272198888645215,0.0,0.3320790216368767,0.02004098974843683,0.15110622812763605,0.002439720174707727,0.15856461415121967
BASE,2017-11-03,KOSDAQ,S4,0.08246161713297795,0.0738835516685572,0.12838838515320997,0.0,0.3990610328638497,0.028020295580192082,0.11988077774108605,0.003223699461170959,0.21724985600868624
BASE,2017-11-10,KOSDAQ,S5,0.09262055632729482,0.12597582106504435,0.12607070819845426,0.0,0.4691011235955056,0.0759652873819676,0.029119511278019115,0.027800017316603975,0.24832491909679633
BASE,2017-11-17,KOSDAQ,S5,0.15831553291039024,0.21044831995598856,0.15069104289616864,-0.003768694259475125,0.7088014981273408,0.02022939080056942,-0.009574992916613498,-0.04353837122193194,0.22751142588618345
BASE,2017-11-24,KOSDAQ,S5,0.1511062281276363,0.2228472340435388,0.15856461415121959,-0.004021503589122455,0.6211412535079514,-0.0076291231736743854,-0.048727274316010837,-0.0735786190769262,0.2403965937092036
BASE,2017-12-01,KOSDAQ,S5,0.11988077774108619,0.19177430453165156,0.21724985600868615,-0.011619946216572141,0.3975678203928905,-0.05529609472771121,0.038909588805004475,-0.06645650073303544,0.26326914889160774
BASE,2017-12-08,KOSDAQ,S3,0.029119511278018706,0.1257660517306889,0.24832491909679627,-0.06627350329756065,0.3792134831460674,0.03550939973275059,0.12154231208248988,-0.01181365499077458,0.26057330928095995
BASE,2017-12-15,KOSDAQ,S3,-0.009574992916613678,0.1543561494615029,0.2275114258861834,-0.03311743588509308,0.24812734082397,-0.02010108138549545,0.14238759970711165,-0.045700265720174604,0.26242692782660115
