Code,Name,결산월,WICS업종명(중)
A023000,삼원강재,12,자동차와부품
A023150,MH에탄올,12,"식품,음료,담배"
A023160,태광,12,자본재
A023350,한국종합기술,12,자본재
A023410,유진기업,12,자본재
A023440,제이스코홀딩스,12,소재
A023450,동남합성,12,소재
A023530,롯데쇼핑,12,소매(유통)
A023590,다우기술,12,증권
A023600,삼보판지,12,소재
A023760,한국캐피탈,12,다각화된금융
A023770,플레이위드,12,미디어와엔터테인먼트
A023790,동일스틸럭스,12,소재
A023800,인지컨트롤스,12,자동차와부품
A023810,인팩,12,자동차와부품
A023900,풍국주정,12,소재
A023910,대한약품,12,제약과생물공학
A023960,에쓰씨엔지니어링,12,자본재
A024060,흥구석유,12,에너지
A024070,WISCOM,12,소재
A024090,디씨엠,12,소재
A024110,기업은행,12,은행
A024120,KB오토시스,12,자동차와부품
A024720,콜마홀딩스,12,내구소비재와의류
A024740,한일단조,12,자동차와부품
A024800,유성티엔에스,12,운송
A024830,세원물산,12,자동차와부품
A024840,KBI메탈,12,자본재
A024850,HLB이노베이션,12,반도체와반도체장비
A024880,케이피에프,12,자본재
A024890,대원화성,12,내구소비재와의류
A024900,디와이덕양,12,자동차와부품
A024910,경창산업,12,자동차와부품
A024940,PN풍년,12,내구소비재와의류
A024950,삼천리자전거,12,내구소비재와의류
A025000,KPX케미칼,12,소재
A025320,시노펙스,12,기술하드웨어와장비
A025440,DH오토웨어,12,자동차와부품
A025530,SJM홀딩스,12,자동차와부품
A025540,한국단자,12,자동차와부품
A025550,한국선재,12,소재
A025560,미래산업,12,반도체와반도체장비
A025620,차AI헬스케어,12,내구소비재와의류
A025750,한솔홈데코,12,자본재
A025770,한국정보통신,12,소프트웨어와서비스
A025820,이구산업,12,소재
A025860,남해화학,12,소재
A025870,신라에스지,12,"식품,음료,담배"
A025880,케이씨피드,12,"식품,음료,담배"
A025890,한국주강,12,소재
A025900,동화기업,12,자본재
A025950,동신건설,12,자본재
A025980,아난티,12,"호텔,레스토랑,레저등"
A026040,제이에스티나,12,내구소비재와의류
A026150,특수건설,12,자본재
A026890,스틱인베스트먼트,12,다각화된금융
A026910,광진실업,12,소재
A026940,부국철강,12,소재
A026960,동서,12,"식품,음료,담배"
A027040,서울전자통신,12,기술하드웨어와장비
A027050,코리아나,12,내구소비재와의류
A027360,아주IB투자,12,다각화된금융
A027410,BGF,12,소재
A027580,상보,12,소재
A027710,팜스토리,12,"식품,음료,담배"
A027740,마니커,12,"식품,음료,담배"
A027830,대성창투,12,다각화된금융
A027970,한국제지,12,소재
A028050,삼성E&A,12,자본재
A028080,휴맥스홀딩스,12,전자와 전기제품
A028100,동아지질,12,자본재
A028260,삼성물산,12,자본재
A028300,HLB,12,건강관리장비와서비스
A028670,팬오션,12,운송
A029460,케이씨,12,반도체와반도체장비
A029480,광무,12,소프트웨어와서비스
A029530,신도리코,12,기술하드웨어와장비
A029780,삼성카드,12,다각화된금융
A030000,제일기획,12,미디어와엔터테인먼트
A030190,NICE평가정보,12,상업서비스와공급품
A030200,KT,12,전기통신서비스
A030210,다올투자증권,12,증권
A030350,드래곤플라이,12,미디어와엔터테인먼트
A030520,한컴,12,소프트웨어와서비스
A030530,원익홀딩스,12,반도체와반도체장비
A030610,교보증권,12,증권
A030720,동원수산,12,"식품,음료,담배"
A030960,양지사,6,상업서비스와공급품
A031210,서울보증보험,12,보험
A031310,아이즈비전,12,기술하드웨어와장비
A031330,에스에이엠티,12,기술하드웨어와장비
A031430,신세계인터내셔날,12,내구소비재와의류
A031440,신세계푸드,12,
A031510,오스템,12,자동차와부품
A031820,아이티센씨티에스,12,소프트웨어와서비스
A031860,디에이치엑스컴퍼니,12,기술하드웨어와장비
A031980,피에스케이홀딩스,12,반도체와반도체장비
A032080,아즈텍WB,12,내구소비재와의류
A032190,다우데이타,12,증권
A032280,삼일,12,운송
A032300,한국파마,12,제약과생물공학
A032350,롯데관광개발,12,"호텔,레스토랑,레저등"
A032500,케이엠더블유,12,기술하드웨어와장비
A032540,TJ미디어,12,전자와 전기제품
A032560,황금에스티,12,소재
A032580,피델릭스,12,반도체와반도체장비
A032620,GC메디아이,12,건강관리장비와서비스
A032640,LG유플러스,12,전기통신서비스
A032680,소프트센,12,소프트웨어와서비스
A032750,삼진,12,전자와 전기제품
A032790,엠젠솔루션,12,소프트웨어와서비스
A032800,판타지오,6,미디어와엔터테인먼트
A032820,우리기술,12,자본재
A032830,삼성생명,12,보험
A032850,비트컴퓨터,12,건강관리장비와서비스
A032860,더라미,12,소매(유통)
A032940,원익,12,내구소비재와의류
A032960,동일기연,12,기술하드웨어와장비
A032980,바이온,12,
A033050,제이엠아이,12,가정용품과개인용품
A033100,제룡전기,12,자본재
A033130,디지틀조선,12,소프트웨어와서비스
A033160,엠케이전자,12,반도체와반도체장비
A033170,시그네틱스,12,반도체와반도체장비
A033200,모아텍,3,기술하드웨어와장비
A033230,인성정보,12,소프트웨어와서비스
A033240,자화전자,12,기술하드웨어와장비
A033250,체시스,12,자동차와부품
A033270,유나이티드제약,12,제약과생물공학
A033290,로젠,12,운송
A033310,엠투엔,12,자동차와부품
