sample,factor,overlay,top_n,cost_bps,n_periods,annualized_return,annualized_excess,sharpe,excess_sharpe,mdd,avg_turnover,hit_rate,avg_eligible
FULL,MOM12_1,ACT1_W10,10,30,257,-0.007172395495217532,-0.05368569083750796,0.11825529107355871,-0.20201192694883907,-0.6405694917866342,0.4509727626459144,0.556420233463035,193.30739299610894
FULL,MOM12_1,ACT1_W10,10,60,257,-0.04053532955728678,-0.08550739928669815,-0.0018435802386719369,-0.38464120884523156,-0.6835415991122962,0.4509727626459144,0.5408560311284046,193.30739299610894
FULL,MOM12_1,ACT1_W10,20,0,257,0.030221401018394323,-0.01731949997275728,0.24595102226598126,-0.05078739128758762,-0.535396593065192,0.29688715953307393,0.5525291828793775,193.30739299610894
FULL,MOM12_1,ACT1_W10,20,30,257,0.00734886934425516,-0.039150421885025044,0.15976201573856677,-0.20769676603441933,-0.5710819146865009,0.29688715953307393,0.5486381322957199,193.30739299610894
FULL,MOM12_1,ACT1_W10,20,60,257,-0.015037280654423446,-0.06051677033701908,0.0735500896047346,-0.3647826915107348,-0.6040554296678975,0.29688715953307393,0.5408560311284046,193.30739299610894
FULL,MOM12_1,ACT1_W20,10,0,257,0.011148305214541354,-0.038245437862339915,0.17676368548302673,-0.1391052986439928,-0.5935036696155143,0.6513618677042803,0.5486381322957199,193.30739299610894
FULL,MOM12_1,ACT1_W20,10,30,257,-0.03752028264835605,-0.08459660318827644,-0.007401322212092804,-0.4240734359074861,-0.6765164833329635,0.6513618677042803,0.5330739299610895,193.30739299610894
FULL,MOM12_1,ACT1_W20,10,60,257,-0.083939316420933,-0.1288024363121777,-0.19160413944427382,-0.7089895757629516,-0.7454805225625813,0.6513618677042803,0.5252918287937743,193.30739299610894
FULL,MOM12_1,ACT1_W20,20,0,257,0.03632056616415724,-0.013632700473468762,0.2688264921741569,-0.02580786168998749,-0.5430753324206149,0.4601167315175097,0.5369649805447471,193.30739299610894
FULL,MOM12_1,ACT1_W20,20,30,257,0.0008842617602595748,-0.04739895817960926,0.13059030276640737,-0.270604222769311,-0.5995093011704572,0.4601167315175097,0.5291828793774319,193.30739299610894
FULL,MOM12_1,ACT1_W20,20,60,257,-0.03338885136846059,-0.080055513549538,-0.00768616105030909,-0.5155548381659265,-0.6490588191836628,0.4601167315175097,0.5214007782101168,193.30739299610894
FULL,MOM12_1,ACT5_GT1,10,0,257,0.013102298924679623,-0.03826334939374332,0.1794623668808498,-0.14593644992561655,-0.5906831561692721,0.7389105058365758,0.5019455252918288,80.10505836575875
FULL,MOM12_1,ACT5_GT1,10,30,257,-0.042042880022936324,-0.09066667319643418,-0.03586290011304353,-0.47552580596722316,-0.6642836469363371,0.7389105058365758,0.4785992217898833,80.10505836575875
FULL,MOM12_1,ACT5_GT1,10,60,257,-0.09430545115722633,-0.1403276822732875,-0.2511531084279683,-0.8051783368749634,-0.7283393097592856,0.7389105058365758,0.4591439688715953,80.10505836575875
FULL,MOM12_1,ACT5_GT1,20,0,256,0.04991188678734493,-0.006844060130355434,0.32572455826513513,0.002371540181334612,-0.45497387564546954,0.7125,0.546875,80.34375
FULL,MOM12_1,ACT5_GT1,20,30,256,-0.0051577446732827825,-0.05899646791314317,0.0942951026658502,-0.4449587379770175,-0.5246187397730804,0.7125,0.52734375,80.34375
FULL,MOM12_1,ACT5_GT1,20,60,256,-0.057452145349321526,-0.10851745733039075,-0.13710212944681202,-0.8926676610031409,-0.6345700694701966,0.7125,0.484375,80.34375
FULL,MOM12_1,ACT5_KEEP_TOP50,10,0,257,0.008402238580239585,-0.040666048818785216,0.16597992044200574,-0.14926846059263188,-0.5980666122327176,0.6517509727626459,0.5369649805447471,97.34241245136187
FULL,MOM12_1,ACT5_KEEP_TOP50,10,30,257,-0.04020496258724138,-0.08692981494032548,-0.01555581710678486,-0.42942833456906165,-0.6628379490020666,0.6517509727626459,0.5136186770428015,97.34241245136187
FULL,MOM12_1,ACT5_KEEP_TOP50,10,60,257,-0.08656300957850172,-0.13105160780137282,-0.196945337758304,-0.7095274265341787,-0.7172760191023144,0.6517509727626459,0.490272373540856,97.34241245136187
FULL,MOM12_1,ACT5_KEEP_TOP50,20,0,257,0.05197952334555245,-0.0010860881053578186,0.3322861960210097,0.058182757889684675,-0.43066315173231207,0.613035019455253,0.5603112840466926,97.34241245136187
FULL,MOM12_1,ACT5_KEEP_TOP50,20,30,257,0.004305435311310779,-0.046390511926593714,0.1375622779733475,-0.2870156229506392,-0.5173606124300739,0.613035019455253,0.5486381322957199,97.34241245136187
FULL,MOM12_1,ACT5_KEEP_TOP50,20,60,257,-0.041293335433395306,-0.08972106170062222,-0.056967714231999374,-0.6317640633051343,-0.5909865628913957,0.613035019455253,0.5175097276264592,97.34241245136187
FULL,MOM12_1,ACT5_KEEP_TOP70,10,0,257,0.023052536597663487,-0.025868308112826477,0.2215023854077015,-0.049017040970758374,-0.6359090490483938,0.5007782101167316,0.5408560311284046,135.82879377431905
FULL,MOM12_1,ACT5_KEEP_TOP70,10,30,257,-0.015128860750778572,-0.0621858110475394,0.08651166266831686,-0.25207946229679495,-0.6848448789977561,0.5007782101167316,0.5291828793774319,135.82879377431905
FULL,MOM12_1,ACT5_KEEP_TOP70,10,60,257,-0.05194581476355453,-0.09720644364512121,-0.04807064911402495,-0.4545360547441025,-0.7272716153541234,0.5007782101167316,0.5175097276264592,135.82879377431905
FULL,MOM12_1,ACT5_KEEP_TOP70,20,0,257,0.058267339051034206,0.005523075886469719,0.3560728291167002,0.1074057397409353,-0.40194321744205097,0.45408560311284046,0.556420233463035,135.82879377431905
FULL,MOM12_1,ACT5_KEEP_TOP70,20,30,257,0.022526994600811978,-0.028446588277260765,0.21334916453908917,-0.14808335811520507,-0.4712563532142273,0.45408560311284046,0.5408560311284046,135.82879377431905
FULL,MOM12_1,ACT5_KEEP_TOP70,20,60,257,-0.012055600322356974,-0.06131534743170208,0.07081491986339841,-0.40319802729187654,-0.5326211488124788,0.45408560311284046,0.5369649805447471,135.82879377431905
FULL,MOM12_1,ACT5_MULTIPLY,10,0,257,-0.004334765169588417,-0.05531374028561509,0.11261270770951597,-0.2417274161321608,-0.6602485846193669,0.7571984435797664,0.5175097276264592,193.24124513618676
FULL,MOM12_1,ACT5_MULTIPLY,10,30,257,-0.05987154784798199,-0.10808475465916412,-0.1071699860610301,-0.5712178110425136,-0.7238135860145545,0.7571984435797664,0.5019455252918288,193.24124513618676
FULL,MOM12_1,ACT5_MULTIPLY,10,60,257,-0.11243089147038965,-0.15802228154175946,-0.3269553266613098,-0.9003775643699947,-0.7755983085371239,0.7571984435797664,0.490272373540856,193.24124513618676
FULL,MOM12_1,ACT5_MULTIPLY,20,0,257,0.06985248928169585,0.016799791098401018,0.40049052200724866,0.19032778187847998,-0.4145639767091188,0.6285992217898834,0.5408560311284046,193.24124513618676
FULL,MOM12_1,ACT5_MULTIPLY,20,30,257,0.02020318409002586,-0.030414787331969895,0.20402200436583792,-0.16297459752325472,-0.5056550839649444,0.6285992217898834,0.5291828793774319,193.24124513618676
FULL,MOM12_1,ACT5_MULTIPLY,20,60,257,-0.027232127874247225,-0.07552248331468059,0.007699485860429713,-0.5163738349323624,-0.5831153941609659,0.6285992217898834,0.5136186770428015,193.24124513618676
