year,factor,direction,overlay,top_n,cost_bps,return_delta,turnover_delta
2016,OP12_REV,LOW,ACT1_W10,10,60,-0.020246204472977203,0.062086956521739234
2016,OP12_REV,LOW,ACT5_KEEP_TOP50,10,60,-0.0519090583404499,0.1925217391304349
2016,OP12_REV,LOW,ACT5_KEEP_TOP70,10,60,-0.0035933551770700456,0.1403478260869565
2016,OP12_REV,LOW,ACT5_W10,10,60,0.01732664419102281,0.08817391304347832
2016,OP12_REV,LOW,RAW_TA_W10,10,60,-0.0982718663571901,-0.0039999999999998925
2016,OP12_REV,LOW,TURNOVER_W10,10,60,-0.06914680311681876,0.02400000000000002
2016,OP12_REV,LOW,ACT1_W10,20,0,0.038354552225527194,0.010347826086956613
2016,OP12_REV,LOW,ACT5_KEEP_TOP50,20,0,0.15656625093974208,0.21469565217391307
2016,OP12_REV,LOW,ACT5_KEEP_TOP70,20,0,0.07661625641485592,0.11252173913043484
2016,OP12_REV,LOW,ACT5_W10,20,0,0.03739502028485431,0.03208695652173921
2016,OP12_REV,LOW,RAW_TA_W10,20,0,0.0030948766952231255,-0.00599999999999995
2016,OP12_REV,LOW,TURNOVER_W10,20,0,-0.019762776761211187,0.008000000000000007
2016,OP12_REV,LOW,ACT1_W10,20,30,0.03915942048839838,0.010347826086956613
2016,OP12_REV,LOW,ACT5_KEEP_TOP50,20,30,0.13918993803497826,0.21469565217391307
2016,OP12_REV,LOW,ACT5_KEEP_TOP70,20,30,0.06954400357477164,0.11252173913043484
