sample,factor,direction,overlay,top_n,cost_bps,return_delta,sharpe_delta,mdd_delta,turnover_delta
FULL,FOREIGN_FLOW,LOW,ACT1_W10,20,60,-0.007314505704238861,-0.029160771739858773,-0.01005628141928705,0.025798116070489596
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,20,60,-0.026560261394275697,-0.12532810487673046,-0.05130477953778256,0.23241290206270748
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,20,60,-0.007598285943579697,-0.03830749878813612,-0.012279716282348252,0.14097321334675417
FULL,FOREIGN_FLOW,LOW,ACT5_W10,20,60,-0.018637746414227774,-0.07963558296379399,-0.0329010808958885,0.02696543124558698
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,20,60,-0.01302370512121065,-0.05027796483486628,0.0029817794624938943,-0.005212355212355246
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,20,60,-0.0003347413849855707,0.0035459503070567056,-0.02251144327582355,-0.002702702702702675
FULL,MOM12_1,HIGH,ACT1_W10,10,0,-0.036203455673696094,-0.10305771028268418,-0.11532369050671099,0.20481949431365773
FULL,MOM12_1,HIGH,ACT5_KEEP_TOP50,10,0,-0.0024565364262323364,-0.0012647697754239462,-0.026060634653689352,0.4032630740801947
FULL,MOM12_1,HIGH,ACT5_KEEP_TOP70,10,0,0.014978890160006753,0.043958011695749755,-0.08553013494309725,0.2585159923681325
FULL,MOM12_1,HIGH,ACT5_W10,10,0,-0.03286464592251237,-0.09347967816279168,-0.12582795340847197,0.1845860312786383
FULL,MOM12_1,HIGH,RAW_TA_W10,10,0,0.022207067918805112,0.058282057083178296,0.007816659637762347,-0.0015444015444015247
FULL,MOM12_1,HIGH,TURNOVER_W10,10,0,0.034029831604941,0.08348564879793541,-0.07557614763242071,0.03166023166023166
FULL,MOM12_1,HIGH,ACT1_W10,10,30,-0.05163198702654026,-0.15114671274090896,-0.12548417030226733,0.20481949431365773
FULL,MOM12_1,HIGH,ACT5_KEEP_TOP50,10,30,-0.03450407123088617,-0.10338816583779348,-0.06554084445974151,0.4032630740801947
FULL,MOM12_1,HIGH,ACT5_KEEP_TOP70,10,30,-0.006218272090188215,-0.01836031197332072,-0.10359111602771143,0.2585159923681325
FULL,MOM12_1,HIGH,ACT5_W10,10,30,-0.04672953864424567,-0.13527954568955766,-0.1326247436204484,0.1845860312786383
FULL,MOM12_1,HIGH,RAW_TA_W10,10,30,0.021968582034111783,0.05875802153596482,0.008870175835125393,-0.0015444015444015247
FULL,MOM12_1,HIGH,TURNOVER_W10,10,30,0.030844250228915016,0.0787818672550657,-0.07358300067019918,0.03166023166023166
FULL,MOM12_1,HIGH,ACT1_W10,10,60,-0.06632935143928098,-0.1991076230668348,-0.1332985486405135,0.20481949431365773
FULL,MOM12_1,HIGH,ACT5_KEEP_TOP50,10,60,-0.06462796543133686,-0.20556852690102076,-0.09673865730299558,0.4032630740801947
FULL,MOM12_1,HIGH,ACT5_KEEP_TOP70,10,60,-0.026368926911612967,-0.08077012564175878,-0.12189844129503535,0.2585159923681325
FULL,MOM12_1,HIGH,ACT5_W10,10,60,-0.05995941693438167,-0.1771174279787173,-0.1593416442705291,0.1845860312786383
FULL,MOM12_1,HIGH,RAW_TA_W10,10,60,0.0217311719887312,0.059246090255493045,0.00977580426588509,-0.0015444015444015247
FULL,MOM12_1,HIGH,TURNOVER_W10,10,60,0.027755736566901223,0.07407242364455952,-0.07154781435294166,0.03166023166023166
FULL,MOM12_1,HIGH,ACT1_W10,20,0,-0.01658718445143048,-0.05329826398188453,-0.009786795789545666,0.06398674939530974
