sample,signal,top_n,cost_bps,n_periods,annualized_return,annualized_excess,sharpe,excess_sharpe,mdd,avg_turnover
FULL,TURNOVER_LOW,20,0,259,-0.02571940954717944,-0.08442731309154838,-0.06339686809489788,-0.8307672991053263,-0.598655323906229,0.43494208494208497
FULL,TURNOVER_LOW,20,30,259,-0.05730724713940505,-0.11416261489905355,-0.25366757997749134,-1.1607199195157671,-0.6482089321932336,0.43494208494208497
FULL,TURNOVER_LOW,20,60,259,-0.08791256033704764,-0.1429713603665772,-0.4439007312549023,-1.490891684846259,-0.6960457015242996,0.43494208494208497
IS_PRE_2023,ACT1_HIGH,10,0,171,0.041335135348307794,0.030558541381397353,0.2960275203401498,0.28507461431657155,-0.4120537589471317,0.947953216374269
IS_PRE_2023,ACT1_HIGH,10,30,171,-0.0307424424202849,-0.04074724160981569,-0.03427180313810758,-0.229633198657319,-0.4949437251744334,0.947953216374269
IS_PRE_2023,ACT1_HIGH,10,60,171,-0.09801731762557087,-0.1073032009577668,-0.3644389900188461,-0.7446673446191118,-0.6038779917858054,0.947953216374269
IS_PRE_2023,ACT1_HIGH,20,0,171,0.024821505125811383,0.01582004782990154,0.22427203772704132,0.21329365338337633,-0.4161920024989426,0.899122807017544
IS_PRE_2023,ACT1_HIGH,20,30,171,-0.04260871654320142,-0.05099363176554572,-0.11770069149460392,-0.5098554362990964,-0.4869936757847967,0.899122807017544
IS_PRE_2023,ACT1_HIGH,20,60,171,-0.10576843246257761,-0.11357717577596682,-0.45950767176091656,-1.232510573183947,-0.5928307119285606,0.899122807017544
IS_PRE_2023,ACT1_LOW,10,0,171,-0.08779208175951203,-0.09196650354037017,-0.27347376142605123,-0.7009910705010933,-0.5370871270704041,0.8584795321637427
IS_PRE_2023,ACT1_LOW,10,30,171,-0.14543422740952716,-0.14931312645577544,-0.5517971315665862,-1.2171915567402143,-0.6952229372771426,0.8584795321637427
IS_PRE_2023,ACT1_LOW,10,60,171,-0.19957215528145844,-0.2031752161289253,-0.8303109693950184,-1.7341721524170983,-0.8014359903548897,0.8584795321637427
IS_PRE_2023,ACT1_LOW,20,0,171,-0.02561349908487487,-0.02963345315146093,-0.0028210002789830937,-0.2516728159319353,-0.5041956422732132,0.8251461988304093
IS_PRE_2023,ACT1_LOW,20,30,171,-0.08475306902870194,-0.08848611018800157,-0.2834764859133085,-0.8737345040074014,-0.5844533437667324,0.8251461988304093
IS_PRE_2023,ACT1_LOW,20,60,171,-0.14043945291591098,-0.14390458389215188,-0.5638078960593439,-1.492623917873826,-0.6898304464735667,0.8251461988304093
IS_PRE_2023,ACT5_HIGH,10,0,171,-0.01463135258392989,-0.022314640972182942,0.06332234730973942,-0.05464065597542231,-0.5572791915704967,0.9497076023391813
IS_PRE_2023,ACT5_HIGH,10,30,171,-0.08312194358157465,-0.09021443923293149,-0.23005549823274593,-0.4893063682374359,-0.6485616454117169,0.9497076023391813
IS_PRE_2023,ACT5_HIGH,10,60,171,-0.14702964242827665,-0.15357426911635907,-0.52333141780011,-0.9246910222897031,-0.7314775188294919,0.9497076023391813
IS_PRE_2023,ACT5_HIGH,20,0,171,-0.03202465981176439,-0.03988244614776104,-0.04933800050277072,-0.32203439302717,-0.534827918226938,0.9061403508771929
IS_PRE_2023,ACT5_HIGH,20,30,171,-0.0963525934195435,-0.10363139529502763,-0.3774416576284351,-0.9571480133722735,-0.6251601648640375,0.9061403508771929
IS_PRE_2023,ACT5_HIGH,20,60,171,-0.15656551700752908,-0.1633056316991609,-0.7052359896816079,-1.5943128758826992,-0.7310041121641959,0.9061403508771929
IS_PRE_2023,ACT5_LOW,10,0,171,0.06399955948282932,0.06270617502067344,0.3701916759481879,0.49100830903234777,-0.4472730296501507,0.8187134502923978
IS_PRE_2023,ACT5_LOW,10,30,171,0.00012765339902731654,-0.0010487406793985299,0.1310797437790427,0.06470359547784688,-0.4816810932935668,0.8187134502923978
IS_PRE_2023,ACT5_LOW,10,60,171,-0.06005802004074401,-0.06112623121105587,-0.10798433001570967,-0.36063873179651373,-0.5817060906735494,0.8187134502923978
IS_PRE_2023,ACT5_LOW,20,0,171,0.04797459244545976,0.0445550261504164,0.3223167347555186,0.5026921588580482,-0.4653139793174773,0.7903508771929824
IS_PRE_2023,ACT5_LOW,20,30,171,-0.012842762177720068,-0.016034340060684604,0.0573703627304301,-0.1205740087318169,-0.527825269718897,0.7903508771929824
IS_PRE_2023,ACT5_LOW,20,60,171,-0.07026594535797237,-0.07324374692662827,-0.20742254088387535,-0.7399008034432344,-0.5873070177175216,0.7903508771929824
IS_PRE_2023,RAW_HIGH,10,0,173,0.03694968871158588,0.02178001555668385,0.2761071343699736,0.21405126336529007,-0.40524893760295766,0.40115606936416187
IS_PRE_2023,RAW_HIGH,10,30,173,0.005987393280316722,-0.008751241602548476,0.13809230762971555,0.025427413323166507,-0.4251410263640747,0.40115606936416187
IS_PRE_2023,RAW_HIGH,10,60,173,-0.02409057283554361,-0.03840990151515922,1.2927313818830234e-05,-0.16315320933326613,-0.44439337195186324,0.40115606936416187
IS_PRE_2023,RAW_HIGH,20,0,173,0.007201094683126685,-0.005358829375509244,0.13782182122298553,0.015390712589253846,-0.38411474300846526,0.33121387283236997
