date,factor,direction,overlay,top_n,cost_bps,net,turnover
2016-01-04,PER12MF,LOW,BASE,10,0,-0.02094981278944994,1.0
2016-01-04,PER12MF,LOW,BASE,10,30,-0.02394981278944994,1.0
2016-01-04,PER12MF,LOW,BASE,10,60,-0.02694981278944994,1.0
2016-01-04,PER12MF,LOW,BASE,20,0,-0.03481149630686957,1.0
2016-01-04,PER12MF,LOW,BASE,20,30,-0.03781149630686957,1.0
2016-01-04,PER12MF,LOW,BASE,20,60,-0.04081149630686957,1.0
2016-01-04,PER12MF,LOW,RAW_TA_W10,10,0,-0.03181388513341528,1.0
2016-01-04,PER12MF,LOW,RAW_TA_W10,10,30,-0.03481388513341528,1.0
2016-01-04,PER12MF,LOW,RAW_TA_W10,10,60,-0.03781388513341528,1.0
2016-01-04,PER12MF,LOW,RAW_TA_W10,20,0,-0.021667022242115187,1.0
2016-01-04,PER12MF,LOW,RAW_TA_W10,20,30,-0.024667022242115186,1.0
2016-01-04,PER12MF,LOW,RAW_TA_W10,20,60,-0.02766702224211519,1.0
2016-01-04,PER12MF,LOW,MCAP_W10,10,0,-0.03181388513341528,1.0
2016-01-04,PER12MF,LOW,MCAP_W10,10,30,-0.03481388513341528,1.0
2016-01-04,PER12MF,LOW,MCAP_W10,10,60,-0.03781388513341528,1.0
2016-01-04,PER12MF,LOW,MCAP_W10,20,0,-0.03481149630686956,1.0
2016-01-04,PER12MF,LOW,MCAP_W10,20,30,-0.037811496306869564,1.0
2016-01-04,PER12MF,LOW,MCAP_W10,20,60,-0.04081149630686956,1.0
2016-01-04,PER12MF,LOW,TURNOVER_W10,10,0,-0.013431119928147712,1.0
2016-01-04,PER12MF,LOW,TURNOVER_W10,10,30,-0.016431119928147712,1.0
2016-01-04,PER12MF,LOW,TURNOVER_W10,10,60,-0.01943111992814771,1.0
2016-01-04,PER12MF,LOW,TURNOVER_W10,20,0,-0.023841171570304014,1.0
2016-01-04,PER12MF,LOW,TURNOVER_W10,20,30,-0.026841171570304013,1.0
2016-01-04,PER12MF,LOW,TURNOVER_W10,20,60,-0.029841171570304012,1.0
2016-01-04,PER12MF,LOW,RESID_TA_W10,10,0,-0.013431119928147712,1.0
2016-01-04,PER12MF,LOW,RESID_TA_W10,10,30,-0.016431119928147712,1.0
2016-01-04,PER12MF,LOW,RESID_TA_W10,10,60,-0.01943111992814771,1.0
2016-01-04,PER12MF,LOW,RESID_TA_W10,20,0,-0.02384117157030402,1.0
2016-01-04,PER12MF,LOW,RESID_TA_W10,20,30,-0.02684117157030402,1.0
2016-01-04,PER12MF,LOW,RESID_TA_W10,20,60,-0.02984117157030402,1.0
2016-01-04,MOM1M,HIGH,BASE,10,0,0.0516402011820002,1.0
2016-01-04,MOM1M,HIGH,BASE,10,30,0.0486402011820002,1.0
2016-01-04,MOM1M,HIGH,BASE,10,60,0.045640201182000205,1.0
2016-01-04,MOM1M,HIGH,BASE,20,0,0.02742453900840073,1.0
