sample,factor,direction,overlay,top_n,cost_bps,return,sharpe,mdd,turnover
FULL,FOREIGN_FLOW,LOW,RESID_TA_W10,10,30,-0.01633595673494681,0.08901594908308764,-0.6638841052690423,0.5231660231660231
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RESID_TA_W10,10,30,0.02319433617045008,0.23756110431456287,-0.41968813121738,0.5558139534883721
FULL,FOREIGN_FLOW,LOW,RESID_TA_W10,10,60,-0.05462415831721534,-0.04642450806296347,-0.7385107487232166,0.5231660231660231
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RESID_TA_W10,10,60,-0.01902442733284837,0.1221248702129582,-0.4242816220906447,0.5558139534883721
FULL,FOREIGN_FLOW,LOW,RESID_TA_W10,20,0,0.06853345136585154,0.39264048284097575,-0.5199146526656557,0.46525096525096526
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RESID_TA_W10,20,0,0.1585345105484488,0.6506628603885504,-0.34933463181128277,0.4831395348837208
FULL,FOREIGN_FLOW,LOW,RESID_TA_W10,20,30,0.03164615114602287,0.2503021760062097,-0.5479892260193467,0.46525096525096526
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RESID_TA_W10,20,30,0.11717388147015995,0.5247865052978775,-0.3537963169185675,0.4831395348837208
FULL,FOREIGN_FLOW,LOW,RESID_TA_W10,20,60,-0.004019207691497995,0.10787882721245863,-0.576209957658252,0.46525096525096526
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RESID_TA_W10,20,60,0.07723071366238687,0.39875507416786665,-0.3582353109352029,0.4831395348837208
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,10,0,0.038507790628082184,0.2744671460816352,-0.5321943432924077,0.525096525096525
OOS_2023_PLUS,FOREIGN_FLOW,LOW,TURNOVER_W10,10,0,0.10028091418533625,0.43837273426615925,-0.3914353007133893,0.5546511627906977
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,10,30,-0.001958610598364219,0.13741134540462557,-0.6124746157908251,0.525096525096525
OOS_2023_PLUS,FOREIGN_FLOW,LOW,TURNOVER_W10,10,30,0.05515104044186758,0.3221315959723257,-0.39639720064133666,0.5546511627906977
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,10,60,-0.040912598502012676,0.000371962441648147,-0.6986058317890314,0.525096525096525
OOS_2023_PLUS,FOREIGN_FLOW,LOW,TURNOVER_W10,10,60,0.011797149661311623,0.20581624749910446,-0.4013289072946832,0.5546511627906977
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,20,0,0.06852076058498136,0.3922833274613722,-0.5227048940777692,0.4615830115830116
