sample,factor,direction,overlay,top_n,cost_bps,return_delta,sharpe_delta,mdd_delta,turnover_delta
FULL,MOM1M,LOW,MCAP_W10,20,0,0.002692418479830927,0.010935081972954563,0.002885366540651302,-0.004826254826254761
FULL,MOM1M,LOW,RAW_TA_W10,20,0,0.0006001048507904283,0.0012588352077133602,-0.008996359630856432,-0.013899613899613805
FULL,MOM1M,LOW,RESID_TA_W10,20,0,0.0018966643745244038,0.004939335500699749,0.004236319872615968,-0.01737451737451734
FULL,MOM1M,LOW,TURNOVER_W10,20,0,0.0026369371469543434,0.007386217058863387,0.0049897798817856165,-0.01602316602316589
FULL,MOM1M,LOW,MCAP_W10,20,30,0.0029377638024483677,0.010026636692078539,-0.005827296515675262,-0.004826254826254761
FULL,MOM1M,LOW,RAW_TA_W10,20,30,0.0016416771282785625,0.0067887230740381055,-0.01677331180967534,-0.013899613899613805
FULL,MOM1M,LOW,RESID_TA_W10,20,30,0.0031289385382133883,0.01401187690970443,-0.025176230766233654,-0.01737451737451734
FULL,MOM1M,LOW,TURNOVER_W10,20,30,0.0037197301661420212,0.016170673199346147,-0.0300425979292398,-0.01602316602316589
FULL,MOM1M,LOW,MCAP_W10,20,60,0.0031533000259559296,0.009106545561395146,-0.028259892804181508,-0.004826254826254761
FULL,MOM1M,LOW,RAW_TA_W10,20,60,0.0025829276852676886,0.012255756118277686,-0.0158026610685007,-0.013899613899613805
FULL,MOM1M,LOW,RESID_TA_W10,20,60,0.00424032892723325,0.02305284708888612,-0.012991517933996222,-0.01737451737451734
FULL,MOM1M,LOW,TURNOVER_W10,20,60,0.004693909075826896,0.024979922603794443,-0.017311180688689642,-0.01602316602316589
FULL,OP12_REV,HIGH,MCAP_W10,10,0,0.003646410120255572,-0.029631237342323202,-0.01832480693802252,-0.018918918918918892
FULL,OP12_REV,HIGH,RAW_TA_W10,10,0,-0.01561307642208476,-0.08627473586937717,-0.03534989364479313,0.0038610038610038533
FULL,OP12_REV,HIGH,RESID_TA_W10,10,0,-0.023095589293877783,-0.09537240884732301,-0.04816831967170665,0.03281853281853281
FULL,OP12_REV,HIGH,TURNOVER_W10,10,0,-0.029351869105805006,-0.12099289952131309,-0.07485348016370852,0.03436293436293436
