universe,strategy,period,cost_bp,n_phases,median_cagr,median_mdd,median_sharpe,median_benchmark_cagr,median_excess_cagr,median_information_ratio,median_relative_mdd,median_turnover,positive_cagr_phases,positive_excess_phases
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,30,10,0.10713035605228549,-0.5064400155040205,0.47610323185006165,0.02669404119639318,0.08084571385068196,0.490195609851875,-0.3943314303481573,12.77046012511822,10,10
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,60,10,0.06616496411652517,-0.5230119160221951,0.35939293690370777,0.02669404119639318,0.04085285105724734,0.3201222857520304,-0.41514186835764394,12.77046012511822,9,7
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,0,10,-0.06740899702267217,-0.5803673506430811,0.00477273221302153,0.010954874215636456,-0.07751470736921712,-0.17155925318942883,-0.4218233731863808,13.570315312881299,0,0
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,30,10,-0.10463463083721397,-0.6000995325605554,-0.10278636517460067,0.010954874215636456,-0.11433695805911431,-0.31859680305224947,-0.4501511306491973,13.570315312881299,0,0
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,60,10,-0.1404340299252086,-0.6189376843445559,-0.2102626337802608,0.010954874215636456,-0.14974842893784202,-0.46530003232540784,-0.48790913755155624,13.570315312881299,0,0
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,0,10,-0.08457076138912123,-0.5291049653085715,-0.021134452563671538,0.0014985933119997519,-0.08594056474556316,-0.14109771946546312,-0.37372445496899936,13.675436920474136,0,0
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,30,10,-0.12112549001348927,-0.5575036096260273,-0.12303888995801471,0.0014985933119997519,-0.12244059466919976,-0.28407991584455017,-0.3935572275881579,13.675436920474136,0,0
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,60,10,-0.1562780159116791,-0.5819281873779265,-0.22482766896209777,0.0014985933119997519,-0.1575405200539563,-0.4266576610049323,-0.4278984938994014,13.675436920474136,0,0
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,0,10,0.016041543380650114,-0.6777048920788435,0.22572325122451456,0.014393132603617964,0.0016397350110445852,0.14548660680875591,-0.5291554960118106,13.296223501599142,7,5
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,30,10,-0.023570185202454463,-0.715249972904386,0.11650641793598031,0.014393132603617964,-0.03741036344453269,-0.006920750894596741,-0.5780397499537266,13.296223501599142,0,0
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,60,10,-0.061700129876679166,-0.7501193564412727,0.007298389891958857,0.014393132603617964,-0.0749996932066136,-0.15905979014167038,-0.6423701073413013,13.296223501599142,0,0
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,0,10,0.1409747979699646,-0.5177896492160741,0.5521242329408593,-0.2345756976108171,0.4906435481713166,1.16384296412047,-0.19434560889162378,13.288911979962316,8,10
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,30,10,0.0962211126989635,-0.5221889761453402,0.49962472899349863,-0.2345756976108171,0.432174428323264,1.0808500724255685,-0.19839742428352636,13.288911979962316,7,10
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,60,10,0.053157286790938674,-0.5265548587634773,0.4494337592631656,-0.2345756976108171,0.3759130504527104,0.9974128627053958,-0.20358321013820702,13.288911979962316,7,10
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,BULL_2025,0,10,0.44581208798879346,-0.22947617497989148,1.2448166947679806,0.3840265641669287,0.04464186267917014,0.30784499390553455,-0.2505388320752375,13.20816696411846,10,8
